{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.380492277, 'lon': 127.81614909}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.93}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.93, 'thr4': 20.014, 'thr5': 19.62, 'cur0': 0.0}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.93, 'thr4': 20.014, 'thr5': 19.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.93, 'thr4': 20.014, 'thr5': 19.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 6.2, 'cel3': 5.4}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.93, 'thr4': 20.014, 'thr5': 19.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 4.9, 'cel5': 4.5, 'rot0': 0}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.93, 'thr4': 20.014, 'thr5': 19.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 4.9, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.93, 'thr4': 20.014, 'thr5': 19.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 4.9, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1083, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.93, 'thr4': 20.014, 'thr5': 19.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 4.9, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1448, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.635, 'thr3': 18.93, 'thr4': 20.014, 'thr5': 19.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 4.9, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1448, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.817, 'thr1': -273.15, 'thr2': 18.438, 'thr3': 18.832, 'thr4': 19.817, 'thr5': 19.423, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.5, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 4.9, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1448, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.817, 'thr1': -273.15, 'thr2': 18.438, 'thr3': 18.832, 'thr4': 19.817, 'thr5': 19.423, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 4.9, 'cel5': 4.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1448, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.817, 'thr1': -273.15, 'thr2': 18.438, 'thr3': 18.832, 'thr4': 19.817, 'thr5': 19.423, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1811, 'x': 177.063, 'y': 0.188, 'z': 172.0, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.817, 'thr1': -273.15, 'thr2': 18.438, 'thr3': 18.832, 'thr4': 19.817, 'thr5': 19.423, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1811, 'x': 177.063, 'y': 0.188, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.045, 'thr3': 18.832, 'thr4': 19.423, 'thr5': 19.521, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.9, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1811, 'x': 177.063, 'y': 0.188, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.045, 'thr3': 18.832, 'thr4': 19.423, 'thr5': 19.521, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.9, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 17, 'rot1': 119, 'rot2': 118, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1811, 'x': 177.063, 'y': 0.188, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.045, 'thr3': 18.832, 'thr4': 19.423, 'thr5': 19.521, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.9, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 17, 'rot1': 119, 'rot2': 118, 'rot3': 28, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 2181, 'x': 177.063, 'y': 0.188, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.916, 'thr1': -273.15, 'thr2': 18.045, 'thr3': 18.832, 'thr4': 19.423, 'thr5': 19.521, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.9, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 17, 'rot1': 119, 'rot2': 118, 'rot3': 28, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 2181, 'x': 177.063, 'y': 0.188, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 19.817, 'thr1': -273.15, 'thr2': 17.849, 'thr3': 18.93, 'thr4': 19.423, 'thr5': 19.521, 'cur0': 2.5, 'cur1': 0.0, 'cur2': 2.9, 'cel0': 11.2, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 17, 'rot1': 119, 'rot2': 118, 'rot3': 28, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1822}
