{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1082, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1082, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.226, 'thr4': 20.409, 'thr5': 20.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1082, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.226, 'thr4': 20.409, 'thr5': 20.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1082, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.226, 'thr4': 20.409, 'thr5': 20.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1082, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 18.93, 'thr3': 19.226, 'thr4': 20.409, 'thr5': 20.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1447, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 18.733, 'thr3': 19.127, 'thr4': 20.212, 'thr5': 20.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.2, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1447, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 18.733, 'thr3': 19.127, 'thr4': 20.212, 'thr5': 20.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1810, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 18.733, 'thr3': 19.127, 'thr4': 20.212, 'thr5': 20.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.9, 'cel5': 4.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 1810, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 18.733, 'thr3': 18.635, 'thr4': 20.113, 'thr5': 19.521, 'cur0': 2.7, 'cur1': 0.0, 'cur2': 2.9, 'cel0': 11.0, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 15, 'rot1': 109, 'rot2': 134, 'rot3': 21, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 2181, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 18.733, 'thr3': 18.635, 'thr4': 20.113, 'thr5': 19.521, 'cur0': 2.7, 'cur1': 0.0, 'cur2': 2.9, 'cel0': 11.0, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 15, 'rot1': 109, 'rot2': 134, 'rot3': 21, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 2181, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 18.832, 'thr3': 18.733, 'thr4': 20.212, 'thr5': 19.423, 'cur0': 2.7, 'cur1': 0.0, 'cur2': 2.9, 'cel0': 11.0, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 15, 'rot1': 109, 'rot2': 134, 'rot3': 21, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 2181, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 18.832, 'thr3': 18.733, 'thr4': 20.212, 'thr5': 19.423, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.6, 'cel0': 10.7, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 15, 'rot1': 109, 'rot2': 134, 'rot3': 21, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 2181, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 18.832, 'thr3': 18.733, 'thr4': 20.212, 'thr5': 19.423, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.6, 'cel0': 10.7, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 32, 'rot1': 296, 'rot2': 321, 'rot3': 43, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 2181, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 18.832, 'thr3': 18.733, 'thr4': 20.212, 'thr5': 19.423, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.6, 'cel0': 10.7, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 32, 'rot1': 296, 'rot2': 321, 'rot3': 43, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2192}
{'lat': 26.380492277, 'lon': 127.81614909, 'time': 2550, 'x': 177.75, 'y': 0.125, 'z': 172.063, 'watertmp': 25.0, 'depth': 0.0, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 18.832, 'thr3': 18.733, 'thr4': 20.212, 'thr5': 19.423, 'cur0': 2.4, 'cur1': 0.0, 'cur2': 2.6, 'cel0': 10.7, 'cel1': 7.8, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 4.9, 'rot0': 32, 'rot1': 296, 'rot2': 321, 'rot3': 43, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2192}
