{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.31}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.508}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.508, 'thr4': 19.029, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.508, 'thr4': 19.029, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.508, 'thr4': 19.029, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.508, 'thr4': 19.029, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 176.5, 'y': 0.188, 'z': 172.063, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.508, 'thr4': 19.029, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 176.5, 'y': 0.188, 'z': 172.063, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.508, 'thr4': 19.029, 'thr5': 20.212, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 176.5, 'y': 0.188, 'z': 172.063, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.706, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 176.5, 'y': 0.188, 'z': 172.063, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.706, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 176.5, 'y': 0.188, 'z': 172.063, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.706, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1436, 'x': 176.5, 'y': 0.188, 'z': 172.063, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.706, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1436, 'x': 176.5, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.706, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1436, 'x': 176.5, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.409, 'thr1': -86.987, 'thr2': 20.212, 'thr3': 20.805, 'thr4': 19.423, 'thr5': 20.706, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.7, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1436, 'x': 176.5, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.409, 'thr1': -86.987, 'thr2': 20.212, 'thr3': 20.805, 'thr4': 19.423, 'thr5': 20.706, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.7, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 188, 'rot3': 189, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1801, 'x': 176.5, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.409, 'thr1': -86.987, 'thr2': 20.212, 'thr3': 20.805, 'thr4': 19.423, 'thr5': 20.706, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.7, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 188, 'rot3': 189, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1446}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1801, 'x': 176.5, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.508, 'thr1': -86.987, 'thr2': 20.31, 'thr3': 20.805, 'thr4': 19.423, 'thr5': 20.706, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.7, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 188, 'rot3': 189, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1446}
