{'lat': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 19.423}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 20.212, 'thr4': 18.832, 'thr5': 19.817, 'cur0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 20.212, 'thr4': 18.832, 'thr5': 19.817, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 20.212, 'thr4': 18.832, 'thr5': 19.817, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 20.212, 'thr4': 18.832, 'thr5': 19.817, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 20.212, 'thr4': 18.832, 'thr5': 19.817, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1081, 'x': 177.125, 'y': 0.0, 'z': 0.0, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 20.212, 'thr4': 18.832, 'thr5': 19.817, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1081, 'x': 177.125, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 20.212, 'thr4': 18.832, 'thr5': 19.817, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1081, 'x': 177.125, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.423, 'thr3': 20.212, 'thr4': 18.832, 'thr5': 19.817, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1081, 'x': 177.125, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 20.409, 'thr4': 19.226, 'thr5': 19.817, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1081, 'x': 177.125, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.1, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 20.409, 'thr4': 19.226, 'thr5': 20.409, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1446, 'x': 177.125, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.113, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 20.409, 'thr4': 19.226, 'thr5': 20.409, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1446, 'x': 177.125, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.113, 'thr1': -86.987, 'thr2': 19.916, 'thr3': 20.31, 'thr4': 19.127, 'thr5': 20.31, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1446, 'x': 177.125, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.113, 'thr1': -86.987, 'thr2': 19.916, 'thr3': 20.31, 'thr4': 19.127, 'thr5': 20.31, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.7, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1446, 'x': 177.125, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.113, 'thr1': -86.987, 'thr2': 19.916, 'thr3': 20.31, 'thr4': 19.127, 'thr5': 20.31, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.7, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 5, 'rot2': 154, 'rot3': 184, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1446, 'x': 177.125, 'y': 0.188, 'z': 172.125, 'watertmp': 25.3, 'depth': 0.0, 'thr0': 20.113, 'thr1': -86.987, 'thr2': 19.916, 'thr3': 20.31, 'thr4': 19.127, 'thr5': 20.31, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.7, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 5, 'rot2': 154, 'rot3': 184, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
