{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.2}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.31}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.31, 'thr4': 19.324, 'thr5': 20.31}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.31, 'thr4': 19.324, 'thr5': 20.31, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.31, 'thr4': 19.324, 'thr5': 20.31, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 745}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.508, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.31, 'thr4': 19.324, 'thr5': 20.31, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 745}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.508, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.607, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 745}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 177.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.508, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.607, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1446, 'x': 177.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.607, 'thr4': 19.423, 'thr5': 20.706, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1446, 'x': 177.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.607, 'thr4': 19.423, 'thr5': 20.706, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.9, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1446, 'x': 177.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.212, 'thr3': 20.607, 'thr4': 19.423, 'thr5': 20.706, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.9, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 6, 'rot2': 14, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1809, 'x': 177.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.31, 'thr3': 20.706, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 1.2, 'cur1': 0.1, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 1.9, 'cel3': 2.3, 'cel4': 3.1, 'cel5': 3.1, 'rot0': 0, 'rot1': 6, 'rot2': 14, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1809, 'x': 177.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.31, 'thr3': 20.706, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 1.2, 'cur1': 0.1, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 1.9, 'cel3': 2.3, 'cel4': 3.1, 'cel5': 3.1, 'rot0': 0, 'rot1': 44, 'rot2': 213, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1809, 'x': 177.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.31, 'thr3': 20.706, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 1.2, 'cur1': 0.1, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 1.9, 'cel3': 2.3, 'cel4': 3.1, 'cel5': 3.1, 'rot0': 0, 'rot1': 44, 'rot2': 213, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2177, 'x': 177.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.31, 'thr3': 20.706, 'thr4': 19.521, 'thr5': 20.706, 'cur0': 1.2, 'cur1': 0.1, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 1.9, 'cel3': 2.3, 'cel4': 3.1, 'cel5': 3.1, 'rot0': 0, 'rot1': 44, 'rot2': 213, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
