{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 177.625}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 177.625, 'y': 0.125, 'z': 172.063}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.805}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.62, 'thr5': 20.904, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.62, 'thr5': 20.904, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1072, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.62, 'thr5': 20.904, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1436, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.607, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.521, 'thr5': 20.805, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1436, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.607, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.521, 'thr5': 20.805, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1799, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.805, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 21.003, 'thr4': 19.718, 'thr5': 21.003, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.8, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 2, 'rot2': 102, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1809}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2164, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 21.003, 'thr4': 19.718, 'thr5': 21.003, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.8, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 2, 'rot2': 102, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1809}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2164, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.62, 'thr5': 20.904, 'cur0': 0.6, 'cur1': 0.0, 'cur2': 0.9, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 2, 'rot2': 102, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1809}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2164, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.62, 'thr5': 20.904, 'cur0': 0.6, 'cur1': 0.0, 'cur2': 0.9, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 10, 'rot2': 276, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1809}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2164, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.706, 'thr1': -273.15, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.62, 'thr5': 20.904, 'cur0': 0.6, 'cur1': 0.0, 'cur2': 0.9, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 10, 'rot2': 276, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2174}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2897, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.607, 'thr1': -86.987, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.718, 'thr5': 21.003, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.7, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 16, 'rot2': 430, 'rot3': 98, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2539}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2897, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.607, 'thr1': -86.987, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.718, 'thr5': 21.003, 'cur0': 2.6, 'cur1': 0.1, 'cur2': 3.1, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 16, 'rot2': 430, 'rot3': 98, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2539}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2897, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.607, 'thr1': -86.987, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.718, 'thr5': 21.003, 'cur0': 2.6, 'cur1': 0.1, 'cur2': 3.1, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 16, 'rot2': 430, 'rot3': 98, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2539}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2897, 'x': 177.625, 'y': 0.125, 'z': 172.063, 'watertmp': 25.2, 'depth': 0.1, 'thr0': 20.607, 'thr1': -86.987, 'thr2': 20.409, 'thr3': 20.805, 'thr4': 19.718, 'thr5': 21.003, 'cur0': 2.6, 'cur1': 0.1, 'cur2': 3.1, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.0, 'cel3': 2.4, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 0, 'rot1': 16, 'rot2': 430, 'rot3': 98, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2539}
