{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.380254953, 'lon': 127.816238173}
{'lat': 26.380247198, 'lon': 127.816188077}
{'lat': 26.380247198, 'lon': 127.816188077, 'time': 1072}
{'lat': 26.380247198, 'lon': 127.816188077, 'time': 1072, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1}
{'lat': 26.380247198, 'lon': 127.816188077, 'time': 1072, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 20.014}
{'lat': 26.380247198, 'lon': 127.816188077, 'time': 1072, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 20.014, 'thr4': 20.607, 'thr5': 21.498, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 26.380247198, 'lon': 127.816188077, 'time': 1072, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 20.014, 'thr4': 20.607, 'thr5': 21.498, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.38031543, 'lon': 127.816248689, 'time': 1072, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 20.014, 'thr4': 20.607, 'thr5': 21.498, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.38031543, 'lon': 127.816248689, 'time': 1436, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 20.014, 'thr4': 20.607, 'thr5': 21.498, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.38031543, 'lon': 127.816248689, 'time': 1436, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.916, 'thr4': 20.508, 'thr5': 21.498, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.7, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.38031543, 'lon': 127.816248689, 'time': 1436, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.916, 'thr4': 20.508, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.2, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.38031543, 'lon': 127.816248689, 'time': 1436, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.916, 'thr4': 20.508, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.38031543, 'lon': 127.816248689, 'time': 1436, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.916, 'thr4': 20.508, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.38031543, 'lon': 127.816248689, 'time': 1436, 'x': 176.063, 'y': 0.25, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.916, 'thr4': 20.508, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.38031543, 'lon': 127.816248689, 'time': 1798, 'x': 176.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.916, 'thr4': 20.508, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.38031543, 'lon': 127.816248689, 'time': 1798, 'x': 176.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 20.113, 'thr4': 20.706, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.38031543, 'lon': 127.816248689, 'time': 1798, 'x': 176.063, 'y': 0.188, 'z': 172.125, 'watertmp': 25.1, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 20.113, 'thr4': 20.706, 'thr5': 21.498, 'cur0': 0.7, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.1, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
