{}
{'lat': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 152.125, 'y': 5.5}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 152.125, 'y': 5.5, 'z': 171.75, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 152.125, 'y': 5.5, 'z': 171.75, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.794}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 152.125, 'y': 5.5, 'z': 171.75, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.794, 'thr3': 31.971, 'thr4': 32.946, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 152.125, 'y': 5.5, 'z': 171.75, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.794, 'thr3': 31.971, 'thr4': 32.946, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.1, 'cel2': 5.2}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 152.125, 'y': 5.5, 'z': 171.75, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.794, 'thr3': 31.971, 'thr4': 32.946, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.1, 'cel2': 5.2, 'cel3': 4.5, 'cel4': 3.7, 'cel5': 3.5}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 152.125, 'y': 5.5, 'z': 171.75, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.794, 'thr3': 31.971, 'thr4': 32.946, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.1, 'cel2': 5.2, 'cel3': 4.5, 'cel4': 3.7, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 152.125, 'y': 5.5, 'z': 171.75, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.794, 'thr3': 31.971, 'thr4': 32.946, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.1, 'cel2': 5.2, 'cel3': 4.5, 'cel4': 3.7, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1427, 'x': 156.875, 'y': 3.625, 'z': 172.438, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.794, 'thr3': 31.971, 'thr4': 32.946, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.1, 'cel2': 5.2, 'cel3': 4.5, 'cel4': 3.7, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1427, 'x': 156.875, 'y': 3.625, 'z': 172.438, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 31.864, 'thr4': 32.837, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.2, 'cel3': 4.5, 'cel4': 3.7, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1427, 'x': 156.875, 'y': 3.625, 'z': 172.438, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 31.864, 'thr4': 32.837, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.2, 'cel3': 4.5, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1790, 'x': 159.313, 'y': 0.875, 'z': 167.438, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 31.864, 'thr4': 32.837, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.2, 'cel3': 4.5, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1437}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1790, 'x': 159.313, 'y': 0.875, 'z': 167.438, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.164, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 31.864, 'thr4': 32.946, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.3, 'cel3': 4.5, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1437}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1790, 'x': 159.313, 'y': 0.875, 'z': 167.438, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.164, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 31.864, 'thr4': 32.946, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.3, 'cel3': 4.5, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1801}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2156, 'x': 161.625, 'y': 0.875, 'z': 167.438, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.164, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 31.864, 'thr4': 32.946, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.3, 'cel3': 4.5, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1801}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2156, 'x': 161.625, 'y': -1.0, 'z': 167.5, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.164, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 31.864, 'thr4': 32.946, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.3, 'cel3': 4.5, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1801}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2156, 'x': 161.625, 'y': -1.0, 'z': 167.5, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 31.649, 'thr4': 32.512, 'thr5': 32.837, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.1, 'cel2': 5.3, 'cel3': 4.5, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1801}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2156, 'x': 161.625, 'y': -1.0, 'z': 167.5, 'watertmp': 28.4, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 31.649, 'thr4': 32.512, 'thr5': 32.837, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.2, 'cel2': 5.3, 'cel3': 4.5, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2166}
