{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 715, 'x': 0.0}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 715, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.3}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 715, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.971, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 29.947, 'thr4': 31.327, 'thr5': 30.901}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 715, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.971, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 29.947, 'thr4': 31.327, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 715, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.971, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 29.947, 'thr4': 31.327, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.0, 'cel2': 5.1, 'cel3': 4.5, 'cel4': 3.7, 'cel5': 3.5}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 715, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.971, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 29.947, 'thr4': 31.327, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.0, 'cel2': 5.1, 'cel3': 4.5, 'cel4': 3.7, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1062, 'x': 213.125, 'y': -1.563, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.971, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 29.947, 'thr4': 31.327, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.0, 'cel2': 5.1, 'cel3': 4.5, 'cel4': 3.7, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 724}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1062, 'x': 213.125, 'y': -1.563, 'z': 170.75, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 32.079, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 30.476, 'thr4': 31.327, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.0, 'cel2': 5.1, 'cel3': 4.5, 'cel4': 3.7, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 724}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1062, 'x': 213.125, 'y': -1.563, 'z': 170.75, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 32.079, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 30.476, 'thr4': 31.434, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.2, 'cel2': 5.3, 'cel3': 4.6, 'cel4': 3.7, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 724}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1428, 'x': 212.875, 'y': -1.563, 'z': 170.75, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 32.079, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 30.476, 'thr4': 31.434, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.2, 'cel2': 5.3, 'cel3': 4.6, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1428, 'x': 212.875, 'y': -0.25, 'z': 168.313, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 32.079, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 30.476, 'thr4': 31.434, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.2, 'cel2': 5.3, 'cel3': 4.6, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1428, 'x': 212.875, 'y': -0.25, 'z': 168.313, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.327, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 30.476, 'thr4': 31.434, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.2, 'cel2': 5.3, 'cel3': 4.6, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1428, 'x': 212.875, 'y': -0.25, 'z': 168.313, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.327, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 30.158, 'thr4': 31.327, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.2, 'cel2': 5.3, 'cel3': 4.6, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1428, 'x': 212.875, 'y': -0.25, 'z': 168.313, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.327, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 30.158, 'thr4': 31.327, 'thr5': 30.688, 'cur0': 8.9, 'cur1': 0.2, 'cur2': 10.9, 'cel0': 11.5, 'cel1': 7.2, 'cel2': 5.3, 'cel3': 4.6, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1428, 'x': 212.875, 'y': -0.25, 'z': 168.313, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.327, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 30.158, 'thr4': 31.327, 'thr5': 30.688, 'cur0': 8.9, 'cur1': 0.2, 'cur2': 10.9, 'cel0': 11.2, 'cel1': 8.6, 'cel2': 6.3, 'cel3': 4.6, 'cel4': 3.8, 'cel5': 3.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1428, 'x': 212.875, 'y': -0.25, 'z': 168.313, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.327, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 30.158, 'thr4': 31.327, 'thr5': 30.688, 'cur0': 8.9, 'cur1': 0.2, 'cur2': 10.9, 'cel0': 11.2, 'cel1': 8.6, 'cel2': 6.3, 'cel3': 5.4, 'cel4': 4.5, 'cel5': 4.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
{'lat': 26.221469607, 'lon': 127.667974013, 'time': 1428, 'x': 212.875, 'y': -0.25, 'z': 168.313, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 31.327, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 30.158, 'thr4': 31.327, 'thr5': 30.688, 'cur0': 8.9, 'cur1': 0.2, 'cur2': 10.9, 'cel0': 11.2, 'cel1': 8.6, 'cel2': 6.3, 'cel3': 5.4, 'cel4': 4.5, 'cel5': 4.4, 'rot0': 15, 'rot1': 138, 'rot2': 145, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1073}
