{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221464866, 'lon': 127.66800931}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1073, 'x': 188.125, 'y': -0.813}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1073, 'x': 188.125, 'y': -0.813, 'z': 170.375, 'watertmp': 28.1}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1073, 'x': 188.125, 'y': -0.813, 'z': 170.375, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1073, 'x': 188.125, 'y': -0.813, 'z': 170.375, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.654}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1073, 'x': 188.125, 'y': -0.813, 'z': 170.375, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.654, 'thr4': 29.108, 'thr5': 29.317, 'cur0': 0.0}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1073, 'x': 188.125, 'y': -0.813, 'z': 170.375, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.654, 'thr4': 29.108, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1073, 'x': 188.125, 'y': -0.813, 'z': 170.375, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.654, 'thr4': 29.108, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.4, 'cel2': 5.5, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1073, 'x': 188.125, 'y': -0.813, 'z': 170.375, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.654, 'thr4': 29.108, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.4, 'cel2': 5.5, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1073, 'x': 188.125, 'y': -0.813, 'z': 170.375, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.654, 'thr4': 29.108, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.4, 'cel2': 5.5, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1073, 'x': 188.125, 'y': -0.813, 'z': 170.375, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.654, 'thr4': 29.108, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.4, 'cel2': 5.5, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1438, 'x': 188.813, 'y': -2.063, 'z': 172.188, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.422, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.654, 'thr4': 29.108, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.4, 'cel2': 5.5, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1438, 'x': 188.813, 'y': -2.063, 'z': 172.188, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.422, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.448, 'thr4': 28.794, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.4, 'cel2': 5.5, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1438, 'x': 188.813, 'y': -2.063, 'z': 172.188, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.422, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.448, 'thr4': 28.794, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.4, 'cel1': 7.4, 'cel2': 5.5, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1448}
{'lat': 26.221464866, 'lon': 127.66800931, 'time': 1805, 'x': 188.875, 'y': -2.375, 'z': 172.625, 'watertmp': 28.1, 'depth': 0.4, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.037, 'thr3': 27.654, 'thr4': 29.003, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 1.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.4, 'cel2': 5.6, 'cel3': 4.9, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 26.221464146, 'lon': 127.667995274, 'time': 1805, 'x': 188.875, 'y': -2.375, 'z': 172.625, 'watertmp': 28.1, 'depth': 0.4, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.037, 'thr3': 27.654, 'thr4': 29.003, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 1.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.4, 'cel2': 5.6, 'cel3': 4.9, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 26.221464146, 'lon': 127.667995274, 'time': 2168, 'x': 188.688, 'y': -1.625, 'z': 172.625, 'watertmp': 28.1, 'depth': 0.4, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.037, 'thr3': 27.654, 'thr4': 29.003, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 1.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.4, 'cel2': 5.6, 'cel3': 4.9, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 26.221464146, 'lon': 127.667995274, 'time': 2168, 'x': 188.688, 'y': -1.625, 'z': 170.75, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.861, 'thr4': 29.003, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 1.0, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.4, 'cel2': 5.6, 'cel3': 4.9, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 26.221464146, 'lon': 127.667995274, 'time': 2168, 'x': 188.688, 'y': -1.625, 'z': 170.75, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.861, 'thr4': 29.003, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 1.3, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.4, 'cel2': 5.6, 'cel3': 4.9, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 26.221464146, 'lon': 127.667995274, 'time': 2168, 'x': 188.688, 'y': -1.625, 'z': 170.75, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.861, 'thr4': 29.003, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 1.3, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.5, 'cel2': 5.6, 'cel3': 4.9, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 26.221464146, 'lon': 127.667995274, 'time': 2168, 'x': 188.688, 'y': -1.625, 'z': 170.75, 'watertmp': 28.1, 'depth': 0.3, 'thr0': 29.527, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 27.861, 'thr4': 29.003, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 1.3, 'cur2': 0.0, 'cel0': 11.5, 'cel1': 7.5, 'cel2': 5.6, 'cel3': 4.9, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2179}
