{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221694344, 'lon': 127.667957062}
{'lat': 26.221694344, 'lon': 127.667957062}
{'lat': 26.221691907, 'lon': 127.667964983}
{'lat': 26.221700004, 'lon': 127.667964983}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 6126, 'x': 0.0, 'y': 0.0}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 6126, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 6126, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.264, 'thr1': -273.15, 'thr2': 28.586}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 6126, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.264, 'thr1': -273.15, 'thr2': 28.586, 'thr3': 30.37, 'thr4': 30.053, 'thr5': 30.264}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 6126, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.264, 'thr1': -273.15, 'thr2': 28.586, 'thr3': 30.37, 'thr4': 30.053, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.9, 'cel2': 5.5, 'cel3': 4.6, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 1, 'endtime': 6136}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 6489, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.476, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.582, 'thr4': 30.158, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.9, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6499}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 6849, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.476, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.582, 'thr4': 30.158, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.9, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6499}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 6849, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.688, 'thr1': -273.15, 'thr2': 28.794, 'thr3': 30.37, 'thr4': 30.476, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.9, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.2, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6499}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 6849, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.688, 'thr1': -273.15, 'thr2': 28.794, 'thr3': 30.37, 'thr4': 30.476, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.9, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.0, 'cel2': 5.7, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6499}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 6849, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.688, 'thr1': -273.15, 'thr2': 28.794, 'thr3': 30.37, 'thr4': 30.476, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.9, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.0, 'cel2': 5.7, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6858}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 7208, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.476, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 30.476, 'thr4': 30.158, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.9, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.0, 'cel2': 5.7, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6858}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 7208, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.476, 'thr1': -273.15, 'thr2': 28.69, 'thr3': 30.476, 'thr4': 30.158, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.9, 'cur2': 0.1, 'cel0': 11.7, 'cel1': 7.9, 'cel2': 5.7, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6858}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 7569, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.37, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.476, 'thr4': 30.158, 'thr5': 30.158, 'cur0': 0.0, 'cur1': 0.9, 'cur2': 0.1, 'cel0': 11.7, 'cel1': 7.9, 'cel2': 5.7, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7219}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 7569, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.37, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.476, 'thr4': 30.053, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 0.8, 'cur2': 0.1, 'cel0': 11.8, 'cel1': 8.0, 'cel2': 5.7, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7219}
{'lat': 26.221700004, 'lon': 127.667964983, 'time': 7569, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.37, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.476, 'thr4': 30.053, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 0.8, 'cur2': 0.1, 'cel0': 11.8, 'cel1': 8.0, 'cel2': 5.8, 'cel3': 4.8, 'cel4': 4.3, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7219}
