{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1073, 'x': 213.313, 'y': -1.438}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1073, 'x': 213.313, 'y': -1.438, 'z': 171.438, 'watertmp': 28.2, 'depth': 0.4}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1073, 'x': 213.313, 'y': -1.438, 'z': 171.438, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.582, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.582, 'thr4': 30.37, 'thr5': 30.901}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1073, 'x': 213.313, 'y': -1.438, 'z': 171.438, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.582, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.582, 'thr4': 30.37, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1073, 'x': 213.313, 'y': -1.438, 'z': 171.438, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.582, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.582, 'thr4': 30.37, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1073, 'x': 213.313, 'y': -1.438, 'z': 171.438, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.582, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.582, 'thr4': 30.37, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1073, 'x': 213.313, 'y': -1.438, 'z': 171.438, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.582, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.582, 'thr4': 30.37, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1438, 'x': 214.125, 'y': -1.0, 'z': 171.438, 'watertmp': 28.2, 'depth': 0.4, 'thr0': 30.582, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.582, 'thr4': 30.37, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1438, 'x': 214.125, 'y': -1.0, 'z': 170.125, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 28.899, 'thr3': 30.582, 'thr4': 30.37, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1438, 'x': 214.125, 'y': -1.0, 'z': 170.125, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 29.632, 'thr4': 30.37, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1438, 'x': 214.125, 'y': -1.0, 'z': 170.125, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 29.632, 'thr4': 29.317, 'thr5': 29.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1438, 'x': 214.125, 'y': -1.0, 'z': 170.125, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 29.632, 'thr4': 29.317, 'thr5': 29.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1438, 'x': 214.125, 'y': -1.0, 'z': 170.125, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 29.632, 'thr4': 29.317, 'thr5': 29.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1448}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1805, 'x': 212.813, 'y': -2.063, 'z': 170.125, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 29.632, 'thr4': 29.317, 'thr5': 29.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1448}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1805, 'x': 212.813, 'y': -2.063, 'z': 172.5, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 30.688, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 30.794, 'thr4': 30.37, 'thr5': 29.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.8, 'cel2': 5.6, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1448}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1805, 'x': 212.813, 'y': -2.063, 'z': 172.5, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 30.688, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 30.794, 'thr4': 30.37, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.8, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.0, 'cel2': 5.7, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1448}
{'lat': 26.221710538, 'lon': 127.667957062, 'time': 1805, 'x': 212.813, 'y': -2.063, 'z': 172.5, 'watertmp': 28.2, 'depth': 0.3, 'thr0': 30.688, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 30.794, 'thr4': 30.37, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.8, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.0, 'cel2': 5.7, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1448}
