{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221571303, 'lon': 127.667998474}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1082, 'x': 210.125}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1082, 'x': 210.125, 'y': -2.125, 'z': 170.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1082, 'x': 210.125, 'y': -2.125, 'z': 170.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 29.737, 'thr3': 31.22, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1082, 'x': 210.125, 'y': -2.125, 'z': 170.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 29.737, 'thr3': 31.22, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1082, 'x': 210.125, 'y': -2.125, 'z': 170.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 29.737, 'thr3': 31.22, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1082, 'x': 210.125, 'y': -2.125, 'z': 170.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 29.737, 'thr3': 31.22, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1447, 'x': 210.438, 'y': -1.875, 'z': 172.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 29.527, 'thr3': 31.22, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1813, 'x': 210.875, 'y': -1.625, 'z': 172.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 29.527, 'thr3': 31.22, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1813, 'x': 210.875, 'y': -1.625, 'z': 172.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 31.327, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1813, 'x': 210.875, 'y': -1.625, 'z': 172.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 31.327, 'thr4': 29.737, 'thr5': 31.114, 'cur0': 6.3, 'cur1': 0.0, 'cur2': 7.3, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1813, 'x': 210.875, 'y': -1.625, 'z': 172.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 31.327, 'thr4': 29.737, 'thr5': 31.114, 'cur0': 6.3, 'cur1': 0.0, 'cur2': 7.3, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1813, 'x': 210.875, 'y': -1.625, 'z': 172.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 31.327, 'thr4': 29.737, 'thr5': 31.114, 'cur0': 6.3, 'cur1': 0.0, 'cur2': 7.3, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1813, 'x': 210.875, 'y': -1.625, 'z': 172.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 31.327, 'thr4': 29.737, 'thr5': 31.114, 'cur0': 6.3, 'cur1': 0.0, 'cur2': 7.3, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1813, 'x': 210.875, 'y': -1.625, 'z': 172.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 31.327, 'thr4': 29.737, 'thr5': 31.114, 'cur0': 6.3, 'cur1': 0.0, 'cur2': 7.3, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 11, 'rot1': 26, 'rot2': 102, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 1813, 'x': 210.875, 'y': -1.625, 'z': 172.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 31.327, 'thr4': 29.737, 'thr5': 31.114, 'cur0': 6.3, 'cur1': 0.0, 'cur2': 7.3, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 11, 'rot1': 26, 'rot2': 102, 'rot3': 138, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
{'lat': 26.221571303, 'lon': 127.667998474, 'time': 2184, 'x': 210.125, 'y': -1.25, 'z': 174.25, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 31.327, 'thr4': 29.737, 'thr5': 31.114, 'cur0': 6.3, 'cur1': 0.0, 'cur2': 7.3, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.9, 'rot0': 11, 'rot1': 26, 'rot2': 102, 'rot3': 138, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
