{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221616906, 'lon': 127.668017516}
{'lat': 26.221616906, 'lon': 127.668017516, 'time': 1082, 'x': 216.375, 'y': 0.313, 'z': 174.75}
{'lat': 26.221616906, 'lon': 127.668017516, 'time': 1082, 'x': 216.375, 'y': 0.313, 'z': 174.75, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15}
{'lat': 26.221616906, 'lon': 127.668017516, 'time': 1082, 'x': 216.375, 'y': 0.313, 'z': 174.75, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.712, 'thr3': 32.946}
{'lat': 26.221616906, 'lon': 127.668017516, 'time': 1082, 'x': 216.375, 'y': 0.313, 'z': 174.75, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.712, 'thr3': 32.946, 'thr4': 34.597, 'thr5': 36.97, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221616906, 'lon': 127.668017516, 'time': 1082, 'x': 216.375, 'y': 0.313, 'z': 174.75, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.712, 'thr3': 32.946, 'thr4': 34.597, 'thr5': 36.97, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2}
{'lat': 26.221616906, 'lon': 127.668017516, 'time': 1082, 'x': 216.375, 'y': 0.313, 'z': 174.75, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.712, 'thr3': 32.946, 'thr4': 34.597, 'thr5': 36.97, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221614468, 'lon': 127.668025438, 'time': 1082, 'x': 216.375, 'y': 0.313, 'z': 174.75, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.712, 'thr3': 32.946, 'thr4': 34.597, 'thr5': 36.97, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221614468, 'lon': 127.668025438, 'time': 1446, 'x': 213.688, 'y': 0.563, 'z': 173.625, 'watertmp': 26.6, 'depth': 0.4, 'thr0': 33.274, 'thr1': -273.15, 'thr2': 33.822, 'thr3': 33.055, 'thr4': 34.597, 'thr5': 36.97, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221614468, 'lon': 127.668025438, 'time': 1810, 'x': 212.063, 'y': -0.125, 'z': 170.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.274, 'thr1': -273.15, 'thr2': 32.187, 'thr3': 32.729, 'thr4': 33.383, 'thr5': 37.2, 'cur0': 5.9, 'cur1': 0.1, 'cur2': 7.6, 'cel0': 11.5, 'cel1': 8.6, 'cel2': 6.6, 'cel3': 5.8, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 8, 'rot1': 97, 'rot2': 116, 'rot3': 195, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221614468, 'lon': 127.668025438, 'time': 2926, 'x': 203.063, 'y': -2.25, 'z': 171.313, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 32.187, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 32.512, 'thr4': 41.362, 'thr5': 36.741, 'cur0': 6.9, 'cur1': 0.0, 'cur2': 6.8, 'cel0': 11.5, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.0, 'cel5': 4.8, 'rot0': 34, 'rot1': 131, 'rot2': 376, 'rot3': 531, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2566}
{'lat': 26.221614468, 'lon': 127.668025438, 'time': 2926, 'x': 203.063, 'y': -2.25, 'z': 172.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.493, 'thr1': -273.15, 'thr2': 33.055, 'thr3': 32.837, 'thr4': 33.603, 'thr5': 37.315, 'cur0': 7.5, 'cur1': 0.0, 'cur2': 6.3, 'cel0': 11.8, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.0, 'cel5': 4.8, 'rot0': 34, 'rot1': 131, 'rot2': 376, 'rot3': 531, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2566}
{'lat': 26.221614468, 'lon': 127.668025438, 'time': 2926, 'x': 203.063, 'y': -2.25, 'z': 172.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.493, 'thr1': -273.15, 'thr2': 33.055, 'thr3': 32.837, 'thr4': 33.603, 'thr5': 37.315, 'cur0': 7.5, 'cur1': 0.0, 'cur2': 6.3, 'cel0': 11.8, 'cel1': 8.5, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 34, 'rot1': 131, 'rot2': 376, 'rot3': 531, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2566}
{'lat': 26.221614468, 'lon': 127.668025438, 'time': 2926, 'x': 203.063, 'y': -2.25, 'z': 172.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.493, 'thr1': -273.15, 'thr2': 33.055, 'thr3': 32.837, 'thr4': 33.603, 'thr5': 37.315, 'cur0': 7.5, 'cur1': 0.0, 'cur2': 6.3, 'cel0': 11.8, 'cel1': 8.5, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 47, 'rot1': 145, 'rot2': 449, 'rot3': 710, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2566}
{'lat': 26.221614468, 'lon': 127.668025438, 'time': 2926, 'x': 203.063, 'y': -2.25, 'z': 172.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.493, 'thr1': -273.15, 'thr2': 33.055, 'thr3': 32.837, 'thr4': 33.603, 'thr5': 37.315, 'cur0': 7.5, 'cur1': 0.0, 'cur2': 6.3, 'cel0': 11.8, 'cel1': 8.5, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 47, 'rot1': 145, 'rot2': 449, 'rot3': 710, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2937}
{'lat': 26.221614468, 'lon': 127.668025438, 'time': 3298, 'x': 201.125, 'y': -2.25, 'z': 172.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.493, 'thr1': -273.15, 'thr2': 33.055, 'thr3': 32.837, 'thr4': 33.603, 'thr5': 37.315, 'cur0': 7.5, 'cur1': 0.0, 'cur2': 6.3, 'cel0': 11.8, 'cel1': 8.5, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 47, 'rot1': 145, 'rot2': 449, 'rot3': 710, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2937}
{'lat': 26.221614468, 'lon': 127.668025438, 'time': 3298, 'x': 201.125, 'y': -1.625, 'z': 170.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.493, 'thr1': -273.15, 'thr2': 33.055, 'thr3': 32.837, 'thr4': 33.603, 'thr5': 37.315, 'cur0': 7.5, 'cur1': 0.0, 'cur2': 6.3, 'cel0': 11.8, 'cel1': 8.5, 'cel2': 6.6, 'cel3': 5.9, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 47, 'rot1': 145, 'rot2': 449, 'rot3': 710, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2937}
