{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1083, 'x': 184.375, 'y': -0.25, 'z': 172.188}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1083, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 26.116, 'thr4': 25.0, 'thr5': 25.202, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1083, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 26.116, 'thr4': 25.0, 'thr5': 25.202, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.1}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1083, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 26.116, 'thr4': 25.0, 'thr5': 25.202, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1083, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 26.116, 'thr4': 25.0, 'thr5': 25.202, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1083, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 26.116, 'thr4': 25.0, 'thr5': 25.202, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1448, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 26.116, 'thr4': 25.0, 'thr5': 25.202, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1448, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 26.422, 'thr3': 26.116, 'thr4': 25.202, 'thr5': 25.709, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1448, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 26.422, 'thr3': 26.116, 'thr4': 25.202, 'thr5': 25.709, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.2, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1448, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 26.422, 'thr3': 26.116, 'thr4': 25.202, 'thr5': 25.709, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.2, 'cel2': 7.1, 'cel3': 6.5, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1448, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 26.422, 'thr3': 26.116, 'thr4': 25.202, 'thr5': 25.709, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.2, 'cel2': 7.1, 'cel3': 6.5, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 24.395, 'thr1': -273.15, 'thr2': 26.32, 'thr3': 26.116, 'thr4': 25.202, 'thr5': 25.709, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.2, 'cel2': 7.1, 'cel3': 6.5, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 24.395, 'thr1': -273.15, 'thr2': 26.32, 'thr3': 25.913, 'thr4': 24.697, 'thr5': 25.709, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.2, 'cel2': 7.1, 'cel3': 6.5, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 24.395, 'thr1': -273.15, 'thr2': 26.32, 'thr3': 25.913, 'thr4': 24.697, 'thr5': 25.202, 'cur0': 2.6, 'cur1': 0.1, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 8.2, 'cel2': 7.1, 'cel3': 6.5, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 24.395, 'thr1': -273.15, 'thr2': 26.32, 'thr3': 25.913, 'thr4': 24.697, 'thr5': 25.202, 'cur0': 2.6, 'cur1': 0.1, 'cur2': 2.6, 'cel0': 11.7, 'cel1': 8.2, 'cel2': 7.1, 'cel3': 6.5, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.375, 'y': -0.25, 'z': 172.188, 'watertmp': 24.6, 'depth': 0.0, 'thr0': 24.395, 'thr1': -273.15, 'thr2': 26.32, 'thr3': 25.913, 'thr4': 24.697, 'thr5': 25.202, 'cur0': 2.6, 'cur1': 0.1, 'cur2': 2.6, 'cel0': 11.7, 'cel1': 8.5, 'cel2': 7.3, 'cel3': 6.7, 'cel4': 5.9, 'cel5': 5.6, 'rot0': 11, 'rot1': 64, 'rot2': 134, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1459}
