{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.037, 'thr4': 24.395, 'thr5': 25.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.037, 'thr4': 24.395, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.037, 'thr4': 24.395, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.037, 'thr4': 24.395, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 0, 'rot1': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.037, 'thr4': 24.395, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.037, 'thr4': 24.395, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1448, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.037, 'thr4': 24.395, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1448, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.729, 'thr4': 24.395, 'thr5': 25.0, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1448, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.729, 'thr4': 24.294, 'thr5': 24.798, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1448, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.729, 'thr4': 24.294, 'thr5': 24.798, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.729, 'thr4': 24.294, 'thr5': 24.798, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 28.171, 'thr3': 27.964, 'thr4': 25.709, 'thr5': 25.913, 'cur0': 4.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 28.171, 'thr3': 27.964, 'thr4': 25.709, 'thr5': 25.913, 'cur0': 4.0, 'cur1': 0.0, 'cur2': 4.3, 'cel0': 11.7, 'cel1': 8.7, 'cel2': 7.5, 'cel3': 6.9, 'cel4': 5.7, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 28.171, 'thr3': 27.964, 'thr4': 25.709, 'thr5': 25.913, 'cur0': 4.0, 'cur1': 0.0, 'cur2': 4.3, 'cel0': 11.7, 'cel1': 8.7, 'cel2': 7.5, 'cel3': 6.9, 'cel4': 6.1, 'cel5': 5.9, 'rot0': 64, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 28.171, 'thr3': 27.964, 'thr4': 25.709, 'thr5': 25.913, 'cur0': 4.0, 'cur1': 0.0, 'cur2': 4.3, 'cel0': 11.7, 'cel1': 8.7, 'cel2': 7.5, 'cel3': 6.9, 'cel4': 6.1, 'cel5': 5.9, 'rot0': 64, 'rot1': 20, 'rot2': 205, 'rot3': 100, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1814, 'x': 184.438, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 28.171, 'thr3': 27.964, 'thr4': 25.709, 'thr5': 25.913, 'cur0': 4.0, 'cur1': 0.0, 'cur2': 4.3, 'cel0': 11.7, 'cel1': 8.7, 'cel2': 7.5, 'cel3': 6.9, 'cel4': 6.1, 'cel5': 5.9, 'rot0': 64, 'rot1': 20, 'rot2': 205, 'rot3': 100, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
