{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1448, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.596, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 26.525, 'thr4': 24.093, 'thr5': 24.495, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 8.1, 'cel2': 7.0, 'cel3': 6.4, 'cel4': 5.6, 'cel5': 5.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1813, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 26.729, 'thr3': 26.627, 'thr4': 24.093, 'thr5': 24.798, 'cur0': 3.7, 'cur1': 0.0, 'cur2': 4.2, 'cel0': 11.6, 'cel1': 8.5, 'cel2': 7.4, 'cel3': 6.7, 'cel4': 6.0, 'cel5': 5.7, 'rot0': 13, 'rot1': 19, 'rot2': 137, 'rot3': 151, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1813, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 26.729, 'thr3': 26.627, 'thr4': 24.093, 'thr5': 24.798, 'cur0': 3.7, 'cur1': 0.0, 'cur2': 4.2, 'cel0': 11.6, 'cel1': 8.5, 'cel2': 7.4, 'cel3': 6.7, 'cel4': 6.0, 'cel5': 5.7, 'rot0': 13, 'rot1': 19, 'rot2': 137, 'rot3': 151, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1825}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2184, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.395, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 25.709, 'thr4': 24.193, 'thr5': 23.491, 'cur0': 3.6, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 11.2, 'cel1': 8.5, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.0, 'cel5': 5.6, 'rot0': 37, 'rot1': 49, 'rot2': 339, 'rot3': 343, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2195}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2928, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 26.014, 'thr3': 26.729, 'thr4': 23.191, 'thr5': 24.798, 'cur0': 3.3, 'cur1': 0.1, 'cur2': 4.0, 'cel0': 11.6, 'cel1': 8.7, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 87, 'rot1': 111, 'rot2': 725, 'rot3': 726, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2939}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3299, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.093, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 25.506, 'thr4': 24.093, 'thr5': 24.798, 'cur0': 3.3, 'cur1': 0.1, 'cur2': 4.0, 'cel0': 11.6, 'cel1': 8.7, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 87, 'rot1': 111, 'rot2': 725, 'rot3': 726, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2939}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3299, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.093, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 25.506, 'thr4': 24.093, 'thr5': 23.591, 'cur0': 3.5, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 11.2, 'cel1': 8.6, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 87, 'rot1': 111, 'rot2': 725, 'rot3': 726, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2939}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3299, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.093, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 25.506, 'thr4': 24.093, 'thr5': 23.591, 'cur0': 3.5, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 11.2, 'cel1': 8.6, 'cel2': 7.5, 'cel3': 6.8, 'cel4': 6.0, 'cel5': 5.6, 'rot0': 110, 'rot1': 143, 'rot2': 926, 'rot3': 726, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 2939}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3674, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.093, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 25.506, 'thr4': 24.093, 'thr5': 23.591, 'cur0': 3.5, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 11.2, 'cel1': 8.6, 'cel2': 7.5, 'cel3': 6.8, 'cel4': 6.0, 'cel5': 5.6, 'rot0': 110, 'rot1': 143, 'rot2': 926, 'rot3': 925, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3310}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3674, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 25.913, 'thr4': 24.093, 'thr5': 23.591, 'cur0': 3.5, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 11.2, 'cel1': 8.6, 'cel2': 7.5, 'cel3': 6.8, 'cel4': 6.0, 'cel5': 5.6, 'rot0': 110, 'rot1': 143, 'rot2': 926, 'rot3': 925, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3310}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3674, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 25.913, 'thr4': 24.093, 'thr5': 23.992, 'cur0': 3.5, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 11.2, 'cel1': 8.6, 'cel2': 7.5, 'cel3': 6.8, 'cel4': 6.0, 'cel5': 5.6, 'rot0': 110, 'rot1': 143, 'rot2': 926, 'rot3': 925, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3310}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3674, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 25.913, 'thr4': 24.093, 'thr5': 23.992, 'cur0': 3.5, 'cur1': 0.1, 'cur2': 3.8, 'cel0': 11.0, 'cel1': 8.6, 'cel2': 7.5, 'cel3': 6.8, 'cel4': 6.0, 'cel5': 5.6, 'rot0': 110, 'rot1': 143, 'rot2': 926, 'rot3': 925, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3310}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3674, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 25.913, 'thr4': 24.093, 'thr5': 23.992, 'cur0': 3.5, 'cur1': 0.1, 'cur2': 3.8, 'cel0': 11.0, 'cel1': 8.6, 'cel2': 7.5, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 110, 'rot1': 143, 'rot2': 926, 'rot3': 925, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3310}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3674, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 25.913, 'thr4': 24.093, 'thr5': 23.992, 'cur0': 3.5, 'cur1': 0.1, 'cur2': 3.8, 'cel0': 11.0, 'cel1': 8.6, 'cel2': 7.5, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 135, 'rot1': 173, 'rot2': 1126, 'rot3': 925, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3310}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4048, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.798, 'thr1': -79.71, 'thr2': 26.934, 'thr3': 26.832, 'thr4': 24.495, 'thr5': 24.798, 'cur0': 3.7, 'cur1': 0.1, 'cur2': 3.9, 'cel0': 11.5, 'cel1': 8.6, 'cel2': 7.5, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 135, 'rot1': 173, 'rot2': 1126, 'rot3': 1115, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 3685}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4048, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.798, 'thr1': -79.71, 'thr2': 26.934, 'thr3': 26.832, 'thr4': 24.495, 'thr5': 24.798, 'cur0': 3.7, 'cur1': 0.1, 'cur2': 3.9, 'cel0': 11.5, 'cel1': 8.3, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 161, 'rot1': 204, 'rot2': 1327, 'rot3': 1316, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4060}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4422, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.798, 'thr1': -79.71, 'thr2': 26.934, 'thr3': 26.832, 'thr4': 24.495, 'thr5': 24.798, 'cur0': 3.7, 'cur1': 0.1, 'cur2': 3.9, 'cel0': 11.5, 'cel1': 8.3, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 161, 'rot1': 204, 'rot2': 1327, 'rot3': 1316, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4060}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4422, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.495, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.832, 'thr4': 24.495, 'thr5': 24.798, 'cur0': 3.7, 'cur1': 0.1, 'cur2': 3.9, 'cel0': 11.5, 'cel1': 8.3, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 161, 'rot1': 204, 'rot2': 1327, 'rot3': 1316, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4060}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4422, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.495, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.422, 'thr4': 23.191, 'thr5': 24.395, 'cur0': 3.7, 'cur1': 0.1, 'cur2': 3.9, 'cel0': 11.5, 'cel1': 8.3, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 161, 'rot1': 204, 'rot2': 1327, 'rot3': 1316, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4060}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4422, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.495, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.422, 'thr4': 23.191, 'thr5': 24.395, 'cur0': 3.3, 'cur1': 0.0, 'cur2': 4.0, 'cel0': 11.5, 'cel1': 8.3, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 161, 'rot1': 204, 'rot2': 1327, 'rot3': 1316, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4060}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4422, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.495, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.422, 'thr4': 23.191, 'thr5': 24.395, 'cur0': 3.3, 'cur1': 0.0, 'cur2': 4.0, 'cel0': 11.5, 'cel1': 8.7, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 187, 'rot1': 234, 'rot2': 1327, 'rot3': 1316, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4060}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4422, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.495, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.422, 'thr4': 23.191, 'thr5': 24.395, 'cur0': 3.3, 'cur1': 0.0, 'cur2': 4.0, 'cel0': 11.5, 'cel1': 8.7, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 187, 'rot1': 234, 'rot2': 1520, 'rot3': 1508, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4060}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4422, 'x': 183.813, 'y': -0.25, 'z': 172.188, 'watertmp': 24.5, 'depth': 0.0, 'thr0': 24.495, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 26.422, 'thr4': 23.191, 'thr5': 24.395, 'cur0': 3.3, 'cur1': 0.0, 'cur2': 4.0, 'cel0': 11.5, 'cel1': 8.7, 'cel2': 7.4, 'cel3': 6.8, 'cel4': 6.1, 'cel5': 5.7, 'rot0': 187, 'rot1': 234, 'rot2': 1520, 'rot3': 1508, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 4433}
