{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 182.938, 'y': -1.25, 'z': 176.75, 'watertmp': 26.7, 'depth': 0.2}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 182.938, 'y': -1.25, 'z': 176.75, 'watertmp': 26.7, 'depth': 0.2, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 30.264, 'thr4': 30.582, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.1, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 182.938, 'y': -1.25, 'z': 176.75, 'watertmp': 26.7, 'depth': 0.2, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 30.264, 'thr4': 30.582, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.1, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 182.0, 'y': -1.625, 'z': 176.75, 'watertmp': 26.7, 'depth': 0.2, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 30.264, 'thr4': 30.582, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.1, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 182.0, 'y': -1.625, 'z': 175.625, 'watertmp': 26.7, 'depth': 0.3, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 30.264, 'thr4': 30.582, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.1, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 182.0, 'y': -1.625, 'z': 175.625, 'watertmp': 26.7, 'depth': 0.3, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 30.053, 'thr4': 30.37, 'thr5': 30.476, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.1, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 182.0, 'y': -1.625, 'z': 175.625, 'watertmp': 26.7, 'depth': 0.3, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 30.053, 'thr4': 30.37, 'thr5': 30.476, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 182.0, 'y': -1.625, 'z': 175.625, 'watertmp': 26.7, 'depth': 0.3, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 30.053, 'thr4': 30.37, 'thr5': 30.476, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1804, 'x': 180.688, 'y': -0.438, 'z': 173.438, 'watertmp': 26.7, 'depth': 0.3, 'thr0': 29.842, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 30.053, 'thr4': 30.37, 'thr5': 30.476, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.2, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1804, 'x': 180.688, 'y': -0.438, 'z': 173.438, 'watertmp': 26.7, 'depth': 0.3, 'thr0': 29.842, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 30.053, 'thr4': 30.264, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2168, 'x': 180.125, 'y': 0.188, 'z': 173.438, 'watertmp': 26.7, 'depth': 0.3, 'thr0': 29.842, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 30.053, 'thr4': 30.264, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1813}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2168, 'x': 180.125, 'y': 0.188, 'z': 175.938, 'watertmp': 26.7, 'depth': 0.3, 'thr0': 29.422, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 30.053, 'thr4': 30.264, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1813}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2168, 'x': 180.125, 'y': 0.188, 'z': 175.938, 'watertmp': 26.7, 'depth': 0.3, 'thr0': 29.422, 'thr1': -273.15, 'thr2': 27.037, 'thr3': 29.317, 'thr4': 29.737, 'thr5': 29.842, 'cur0': 0.0, 'cur1': 1.4, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1813}
