{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221560702, 'lon': 127.667996668}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1082, 'x': 191.688, 'y': 0.25, 'z': 171.375}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1082, 'x': 191.688, 'y': 0.25, 'z': 171.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1082, 'x': 191.688, 'y': 0.25, 'z': 171.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 32.512, 'thr4': 29.632}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1082, 'x': 191.688, 'y': 0.25, 'z': 171.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 32.512, 'thr4': 29.632, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1082, 'x': 191.688, 'y': 0.25, 'z': 171.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 32.512, 'thr4': 29.632, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1082, 'x': 191.688, 'y': 0.25, 'z': 171.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 32.512, 'thr4': 29.632, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1082, 'x': 191.688, 'y': 0.25, 'z': 171.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 32.512, 'thr4': 29.632, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1446, 'x': 191.875, 'y': 0.188, 'z': 171.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 32.512, 'thr4': 29.632, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1446, 'x': 191.875, 'y': 0.188, 'z': 172.875, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 30.476, 'thr3': 32.512, 'thr4': 29.632, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1446, 'x': 191.875, 'y': 0.188, 'z': 172.875, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 30.476, 'thr3': 32.295, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1446, 'x': 191.875, 'y': 0.188, 'z': 172.875, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 30.476, 'thr3': 32.295, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1810, 'x': 192.5, 'y': -0.25, 'z': 172.875, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 30.476, 'thr3': 32.295, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1810, 'x': 192.5, 'y': -0.25, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 32.295, 'thr4': 29.737, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1810, 'x': 192.5, 'y': -0.25, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 33.274, 'thr4': 29.737, 'thr5': 31.864, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1810, 'x': 192.5, 'y': -0.25, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 33.274, 'thr4': 29.737, 'thr5': 31.864, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.9, 'cel1': 8.1, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1810, 'x': 192.5, 'y': -0.25, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 33.274, 'thr4': 29.737, 'thr5': 31.864, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.9, 'cel1': 8.1, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 5, 'rot1': 118, 'rot2': 143, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 1810, 'x': 192.5, 'y': -0.25, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 33.274, 'thr4': 29.737, 'thr5': 31.864, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.9, 'cel1': 8.1, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 5, 'rot1': 118, 'rot2': 143, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 2180, 'x': 195.875, 'y': -0.875, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.737, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 33.274, 'thr4': 29.737, 'thr5': 31.864, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.9, 'cel1': 8.1, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 5, 'rot1': 118, 'rot2': 143, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 2180, 'x': 195.875, 'y': -0.875, 'z': 171.063, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.422, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 32.512, 'thr4': 29.737, 'thr5': 31.864, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.9, 'cel1': 8.1, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 5, 'rot1': 118, 'rot2': 143, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 2180, 'x': 195.875, 'y': -0.875, 'z': 171.063, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.422, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 32.512, 'thr4': 30.37, 'thr5': 31.756, 'cur0': 1.9, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.9, 'cel1': 8.1, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 5, 'rot1': 118, 'rot2': 143, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 2180, 'x': 195.875, 'y': -0.875, 'z': 171.063, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.422, 'thr1': -273.15, 'thr2': 31.007, 'thr3': 32.512, 'thr4': 30.37, 'thr5': 31.756, 'cur0': 1.9, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.9, 'cel1': 8.0, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.6, 'cel5': 4.3, 'rot0': 13, 'rot1': 269, 'rot2': 317, 'rot3': 15, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 2550, 'x': 200.0, 'y': -1.188, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 32.512, 'thr4': 29.003, 'thr5': 31.114, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 2.3, 'cel0': 11.9, 'cel1': 8.0, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 4.6, 'cel5': 4.3, 'rot0': 13, 'rot1': 269, 'rot2': 317, 'rot3': 15, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 26.221560702, 'lon': 127.667996668, 'time': 2550, 'x': 200.0, 'y': -1.188, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 32.512, 'thr4': 29.003, 'thr5': 31.114, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 2.2, 'cel0': 11.9, 'cel1': 8.1, 'cel2': 6.4, 'cel3': 5.5, 'cel4': 4.7, 'cel5': 4.3, 'rot0': 21, 'rot1': 449, 'rot2': 490, 'rot3': 15, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
