{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1072, 'x': 205.938, 'y': -1.063}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1072, 'x': 205.938, 'y': -1.063, 'z': 171.375, 'watertmp': 26.5, 'depth': 0.3}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1072, 'x': 205.938, 'y': -1.063, 'z': 171.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 30.794, 'thr1': -273.15}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1072, 'x': 205.938, 'y': -1.063, 'z': 171.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 30.794, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 31.22, 'thr4': 32.946, 'thr5': 35.944, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1072, 'x': 205.938, 'y': -1.063, 'z': 171.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 30.794, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 31.22, 'thr4': 32.946, 'thr5': 35.944, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1072, 'x': 205.938, 'y': -1.063, 'z': 171.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 30.794, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 31.22, 'thr4': 32.946, 'thr5': 35.944, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1803, 'x': 204.563, 'y': -1.5, 'z': 174.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.114, 'thr1': -273.15, 'thr2': 29.527, 'thr3': 31.007, 'thr4': 33.055, 'thr5': 36.17, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1803, 'x': 204.563, 'y': -1.5, 'z': 174.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 28.482, 'thr3': 31.649, 'thr4': 31.649, 'thr5': 36.17, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1803, 'x': 204.563, 'y': -1.5, 'z': 174.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 28.482, 'thr3': 31.649, 'thr4': 31.649, 'thr5': 36.512, 'cur0': 6.2, 'cur1': 0.2, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1803, 'x': 204.563, 'y': -1.5, 'z': 174.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 28.482, 'thr3': 31.649, 'thr4': 31.649, 'thr5': 36.512, 'cur0': 6.2, 'cur1': 0.2, 'cur2': 7.8, 'cel0': 11.8, 'cel1': 8.7, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1803, 'x': 204.563, 'y': -1.5, 'z': 174.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 28.482, 'thr3': 31.649, 'thr4': 31.649, 'thr5': 36.512, 'cur0': 6.2, 'cur1': 0.2, 'cur2': 7.8, 'cel0': 11.8, 'cel1': 8.7, 'cel2': 6.7, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1803, 'x': 204.563, 'y': -1.5, 'z': 174.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 28.482, 'thr3': 31.649, 'thr4': 31.649, 'thr5': 36.512, 'cur0': 6.2, 'cur1': 0.2, 'cur2': 7.8, 'cel0': 11.8, 'cel1': 8.7, 'cel2': 6.7, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 11, 'rot1': 91, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 1803, 'x': 204.563, 'y': -1.5, 'z': 174.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 28.482, 'thr3': 31.649, 'thr4': 31.649, 'thr5': 36.512, 'cur0': 6.2, 'cur1': 0.2, 'cur2': 7.8, 'cel0': 11.8, 'cel1': 8.7, 'cel2': 6.7, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 11, 'rot1': 91, 'rot2': 131, 'rot3': 122, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 2173, 'x': 203.125, 'y': -1.563, 'z': 174.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 28.482, 'thr3': 31.649, 'thr4': 31.649, 'thr5': 36.512, 'cur0': 6.2, 'cur1': 0.2, 'cur2': 7.8, 'cel0': 11.8, 'cel1': 8.7, 'cel2': 6.7, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 11, 'rot1': 91, 'rot2': 131, 'rot3': 122, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 2173, 'x': 203.125, 'y': -1.563, 'z': 172.688, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 30.476, 'thr1': -273.15, 'thr2': 28.482, 'thr3': 31.649, 'thr4': 31.649, 'thr5': 36.512, 'cur0': 6.2, 'cur1': 0.2, 'cur2': 7.8, 'cel0': 11.8, 'cel1': 8.7, 'cel2': 6.7, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 11, 'rot1': 91, 'rot2': 131, 'rot3': 122, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
{'lat': 26.221570959, 'lon': 127.668038777, 'time': 2173, 'x': 203.125, 'y': -1.563, 'z': 172.688, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 30.476, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 31.327, 'thr4': 32.837, 'thr5': 36.512, 'cur0': 6.2, 'cur1': 0.2, 'cur2': 7.8, 'cel0': 11.8, 'cel1': 8.7, 'cel2': 6.7, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 11, 'rot1': 91, 'rot2': 131, 'rot3': 122, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1814}
