{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 735, 'x': 0.0}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.864}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.864, 'thr1': -273.15, 'thr2': 29.212}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.864, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 30.264, 'thr4': 33.383, 'thr5': 35.83}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.864, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 30.264, 'thr4': 33.383, 'thr5': 35.83, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 31.864, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 30.264, 'thr4': 33.383, 'thr5': 35.83, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 7.6, 'cel2': 5.8}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1082, 'x': 206.938, 'y': -1.063, 'z': 170.5, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.729, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 30.264, 'thr4': 33.383, 'thr5': 35.83, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 7.6, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1082, 'x': 206.938, 'y': -1.063, 'z': 170.5, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.729, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 31.434, 'thr4': 34.597, 'thr5': 35.83, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 7.6, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1082, 'x': 206.938, 'y': -1.063, 'z': 170.5, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.729, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 31.434, 'thr4': 34.597, 'thr5': 37.2, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.1, 'cel4': 4.3, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1082, 'x': 206.938, 'y': -1.063, 'z': 170.5, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.729, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 31.434, 'thr4': 34.597, 'thr5': 37.2, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1082, 'x': 206.938, 'y': -1.063, 'z': 170.5, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.729, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 31.434, 'thr4': 34.597, 'thr5': 37.2, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1447, 'x': 206.563, 'y': -1.0, 'z': 170.5, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.729, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 31.434, 'thr4': 34.597, 'thr5': 37.2, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1447, 'x': 206.563, 'y': -1.0, 'z': 173.438, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.729, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 31.434, 'thr4': 34.597, 'thr5': 37.2, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1447, 'x': 206.563, 'y': -1.0, 'z': 173.438, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.187, 'thr1': -273.15, 'thr2': 30.264, 'thr3': 30.158, 'thr4': 34.82, 'thr5': 36.398, 'cur0': 6.6, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1447, 'x': 206.563, 'y': -1.0, 'z': 173.438, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.187, 'thr1': -273.15, 'thr2': 30.264, 'thr3': 30.158, 'thr4': 34.82, 'thr5': 36.398, 'cur0': 6.6, 'cur1': 0.3, 'cur2': 0.0, 'cel0': 11.7, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1447, 'x': 206.563, 'y': -1.0, 'z': 173.438, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.187, 'thr1': -273.15, 'thr2': 30.264, 'thr3': 30.158, 'thr4': 34.82, 'thr5': 36.398, 'cur0': 6.6, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 10.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221606504, 'lon': 127.668044892, 'time': 1447, 'x': 206.563, 'y': -1.0, 'z': 173.438, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.187, 'thr1': -273.15, 'thr2': 30.264, 'thr3': 30.158, 'thr4': 34.82, 'thr5': 36.398, 'cur0': 6.6, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 10.8, 'cel1': 8.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
