{'lat': 26.221597621, 'lon': 127.668021128}
{'lat': 26.221597621, 'lon': 127.668021128, 'time': 1082, 'x': 199.563, 'y': -1.813, 'z': 174.125, 'watertmp': 26.6}
{'lat': 26.221597621, 'lon': 127.668021128, 'time': 1082, 'x': 199.563, 'y': -1.813, 'z': 174.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.264, 'thr1': -273.15}
{'lat': 26.221597621, 'lon': 127.668021128, 'time': 1082, 'x': 199.563, 'y': -1.813, 'z': 174.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.264, 'thr1': -273.15, 'thr2': 30.264, 'thr3': 30.582, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.221597621, 'lon': 127.668021128, 'time': 1082, 'x': 199.563, 'y': -1.813, 'z': 174.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.264, 'thr1': -273.15, 'thr2': 30.264, 'thr3': 30.582, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0}
{'lat': 26.221597621, 'lon': 127.668021128, 'time': 1082, 'x': 199.563, 'y': -1.813, 'z': 174.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.264, 'thr1': -273.15, 'thr2': 30.264, 'thr3': 30.582, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221597621, 'lon': 127.668021128, 'time': 1082, 'x': 199.563, 'y': -1.813, 'z': 174.125, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.264, 'thr1': -273.15, 'thr2': 30.264, 'thr3': 30.582, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221597621, 'lon': 127.668021128, 'time': 1447, 'x': 199.063, 'y': -1.875, 'z': 172.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 30.476, 'thr4': 31.007, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221597621, 'lon': 127.668021128, 'time': 1447, 'x': 199.063, 'y': -1.875, 'z': 172.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 30.476, 'thr4': 31.007, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221595184, 'lon': 127.668021128, 'time': 1447, 'x': 199.063, 'y': -1.875, 'z': 172.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 30.476, 'thr4': 31.007, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221595184, 'lon': 127.66802905, 'time': 1447, 'x': 199.063, 'y': -1.875, 'z': 172.938, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.053, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 30.476, 'thr4': 31.007, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221595184, 'lon': 127.66802905, 'time': 1813, 'x': 199.5, 'y': -1.438, 'z': 169.688, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.158, 'thr1': -273.15, 'thr2': 28.378, 'thr3': 30.901, 'thr4': 29.737, 'thr5': 32.62, 'cur0': 5.9, 'cur1': 0.0, 'cur2': 8.0, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221595184, 'lon': 127.66802905, 'time': 1813, 'x': 199.5, 'y': -1.438, 'z': 169.688, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.158, 'thr1': -273.15, 'thr2': 28.378, 'thr3': 30.901, 'thr4': 29.737, 'thr5': 32.62, 'cur0': 5.9, 'cur1': 0.0, 'cur2': 8.0, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221595184, 'lon': 127.66802905, 'time': 1813, 'x': 199.5, 'y': -1.438, 'z': 169.688, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.158, 'thr1': -273.15, 'thr2': 28.378, 'thr3': 30.901, 'thr4': 29.737, 'thr5': 32.62, 'cur0': 5.9, 'cur1': 0.0, 'cur2': 8.0, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 17, 'rot1': 25, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221595184, 'lon': 127.66802905, 'time': 1813, 'x': 199.5, 'y': -1.438, 'z': 169.688, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.158, 'thr1': -273.15, 'thr2': 28.378, 'thr3': 30.901, 'thr4': 29.737, 'thr5': 32.62, 'cur0': 5.9, 'cur1': 0.0, 'cur2': 8.0, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 17, 'rot1': 25, 'rot2': 127, 'rot3': 124, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221595184, 'lon': 127.66802905, 'time': 1813, 'x': 199.5, 'y': -1.438, 'z': 169.688, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.158, 'thr1': -273.15, 'thr2': 28.378, 'thr3': 30.901, 'thr4': 29.737, 'thr5': 32.62, 'cur0': 5.9, 'cur1': 0.0, 'cur2': 8.0, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 17, 'rot1': 25, 'rot2': 127, 'rot3': 124, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
{'lat': 26.221595184, 'lon': 127.66802905, 'time': 2184, 'x': 198.688, 'y': -1.313, 'z': 173.25, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 30.476, 'thr1': -273.15, 'thr2': 28.378, 'thr3': 30.901, 'thr4': 29.737, 'thr5': 32.62, 'cur0': 5.9, 'cur1': 0.0, 'cur2': 8.0, 'cel0': 11.7, 'cel1': 8.8, 'cel2': 6.8, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 17, 'rot1': 25, 'rot2': 127, 'rot3': 124, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
