{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.22158959, 'lon': 127.668030856}
{'lat': 26.22158959, 'lon': 127.668030856, 'time': 1082, 'x': 205.25, 'y': -1.75, 'z': 172.5}
{'lat': 26.22158959, 'lon': 127.668030856, 'time': 1082, 'x': 205.25, 'y': -1.75, 'z': 172.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 34.043, 'thr4': 32.403, 'thr5': 34.154, 'cur0': 0.0}
{'lat': 26.22158959, 'lon': 127.668030856, 'time': 1082, 'x': 205.25, 'y': -1.75, 'z': 172.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 34.043, 'thr4': 32.403, 'thr5': 34.154, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0}
{'lat': 26.22158959, 'lon': 127.668030856, 'time': 1082, 'x': 205.25, 'y': -1.75, 'z': 172.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 34.043, 'thr4': 32.403, 'thr5': 34.154, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221586433, 'lon': 127.668024741, 'time': 1082, 'x': 205.25, 'y': -1.75, 'z': 172.5, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 34.043, 'thr4': 32.403, 'thr5': 34.154, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221586433, 'lon': 127.668024741, 'time': 1447, 'x': 204.625, 'y': -1.688, 'z': 171.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.22, 'thr1': -273.15, 'thr2': 33.383, 'thr3': 34.043, 'thr4': 32.403, 'thr5': 34.154, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221586433, 'lon': 127.668024741, 'time': 1447, 'x': 204.625, 'y': -1.688, 'z': 171.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.541, 'thr1': -273.15, 'thr2': 33.493, 'thr3': 33.822, 'thr4': 31.971, 'thr5': 33.712, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.9, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221586433, 'lon': 127.668024741, 'time': 1447, 'x': 204.625, 'y': -1.688, 'z': 171.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.541, 'thr1': -273.15, 'thr2': 33.493, 'thr3': 33.822, 'thr4': 31.971, 'thr5': 33.712, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221586433, 'lon': 127.668024741, 'time': 1447, 'x': 204.625, 'y': -1.688, 'z': 171.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.541, 'thr1': -273.15, 'thr2': 33.493, 'thr3': 33.822, 'thr4': 31.971, 'thr5': 33.712, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221586433, 'lon': 127.668024741, 'time': 1813, 'x': 203.813, 'y': -1.5, 'z': 171.438, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.541, 'thr1': -273.15, 'thr2': 33.493, 'thr3': 33.822, 'thr4': 31.971, 'thr5': 33.712, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221586433, 'lon': 127.668024741, 'time': 1813, 'x': 203.813, 'y': -1.5, 'z': 173.188, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.007, 'thr1': -273.15, 'thr2': 33.493, 'thr3': 33.493, 'thr4': 31.971, 'thr5': 33.712, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.9, 'cel1': 7.8, 'cel2': 6.1, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221586433, 'lon': 127.668024741, 'time': 1813, 'x': 203.813, 'y': -1.5, 'z': 173.188, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.007, 'thr1': -273.15, 'thr2': 33.493, 'thr3': 33.493, 'thr4': 31.756, 'thr5': 33.164, 'cur0': 6.6, 'cur1': 0.2, 'cur2': 7.5, 'cel0': 11.3, 'cel1': 8.4, 'cel2': 6.7, 'cel3': 5.3, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221586433, 'lon': 127.668024741, 'time': 1813, 'x': 203.813, 'y': -1.5, 'z': 173.188, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.007, 'thr1': -273.15, 'thr2': 33.493, 'thr3': 33.493, 'thr4': 31.756, 'thr5': 33.164, 'cur0': 6.6, 'cur1': 0.2, 'cur2': 7.5, 'cel0': 11.3, 'cel1': 8.4, 'cel2': 6.7, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.7, 'rot0': 16, 'rot1': 108, 'rot2': 140, 'rot3': 183, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221586433, 'lon': 127.668024741, 'time': 1813, 'x': 203.813, 'y': -1.5, 'z': 173.188, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 31.007, 'thr1': -273.15, 'thr2': 33.493, 'thr3': 33.493, 'thr4': 31.756, 'thr5': 33.164, 'cur0': 6.6, 'cur1': 0.2, 'cur2': 7.5, 'cel0': 11.3, 'cel1': 8.4, 'cel2': 6.7, 'cel3': 5.9, 'cel4': 5.1, 'cel5': 4.7, 'rot0': 16, 'rot1': 108, 'rot2': 140, 'rot3': 183, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1824}
