{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221615598, 'lon': 'n/a'}
{'lat': 26.221615598, 'lon': 127.668008898}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 735, 'x': 0.0}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.4, 'thr0': 33.383}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.4, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.603, 'thr3': 33.274}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.4, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.603, 'thr3': 33.274, 'thr4': 33.603, 'thr5': 35.38, 'cur0': 0.0}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.4, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.603, 'thr3': 33.274, 'thr4': 33.603, 'thr5': 35.38, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.4, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.603, 'thr3': 33.274, 'thr4': 33.603, 'thr5': 35.38, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.6}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.4, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.603, 'thr3': 33.274, 'thr4': 33.603, 'thr5': 35.38, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.6, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.3}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.4, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.603, 'thr3': 33.274, 'thr4': 33.603, 'thr5': 35.38, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.6, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.4, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.603, 'thr3': 33.274, 'thr4': 33.603, 'thr5': 35.38, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.6, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1082, 'x': 222.875, 'y': -2.5, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.4, 'thr0': 33.383, 'thr1': -273.15, 'thr2': 33.603, 'thr3': 33.274, 'thr4': 33.603, 'thr5': 35.38, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.6, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1082, 'x': 222.875, 'y': -2.5, 'z': 170.875, 'watertmp': 26.6, 'depth': 0.4, 'thr0': 33.822, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.274, 'thr4': 33.603, 'thr5': 35.38, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.6, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1082, 'x': 222.875, 'y': -2.5, 'z': 170.875, 'watertmp': 26.6, 'depth': 0.4, 'thr0': 33.822, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 34.486, 'thr4': 35.717, 'thr5': 36.284, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.6, 'cel1': 7.6, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1082, 'x': 222.875, 'y': -2.5, 'z': 170.875, 'watertmp': 26.6, 'depth': 0.4, 'thr0': 33.822, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 34.486, 'thr4': 35.717, 'thr5': 36.284, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1082, 'x': 222.875, 'y': -2.5, 'z': 170.875, 'watertmp': 26.6, 'depth': 0.4, 'thr0': 33.822, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 34.486, 'thr4': 35.717, 'thr5': 36.284, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1447, 'x': 222.875, 'y': -2.5, 'z': 170.875, 'watertmp': 26.6, 'depth': 0.4, 'thr0': 33.822, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 34.486, 'thr4': 35.717, 'thr5': 36.284, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1447, 'x': 222.813, 'y': -2.0, 'z': 169.375, 'watertmp': 26.6, 'depth': 0.4, 'thr0': 33.822, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 34.486, 'thr4': 35.717, 'thr5': 36.284, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1447, 'x': 222.813, 'y': -2.0, 'z': 169.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.274, 'thr1': -273.15, 'thr2': 32.62, 'thr3': 33.822, 'thr4': 32.079, 'thr5': 36.284, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1447, 'x': 222.813, 'y': -2.0, 'z': 169.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.274, 'thr1': -273.15, 'thr2': 32.62, 'thr3': 33.822, 'thr4': 32.079, 'thr5': 35.605, 'cur0': 5.9, 'cur1': 0.1, 'cur2': 0.0, 'cel0': 11.8, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221615598, 'lon': 127.668008898, 'time': 1447, 'x': 222.813, 'y': -2.0, 'z': 169.375, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 33.274, 'thr1': -273.15, 'thr2': 32.62, 'thr3': 33.822, 'thr4': 32.079, 'thr5': 35.605, 'cur0': 5.9, 'cur1': 0.1, 'cur2': 7.8, 'cel0': 11.6, 'cel1': 8.6, 'cel2': 6.5, 'cel3': 5.8, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
