{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1072, 'x': 164.813, 'y': -0.438, 'z': 172.25, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.101, 'thr4': 25.101, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1072, 'x': 164.813, 'y': -0.438, 'z': 172.25, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.101, 'thr4': 25.101, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1072, 'x': 164.813, 'y': -0.438, 'z': 172.25, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.101, 'thr4': 25.101, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1435, 'x': 165.188, 'y': -2.0, 'z': 172.25, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.101, 'thr4': 25.101, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1435, 'x': 165.188, 'y': -2.0, 'z': 173.375, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.101, 'thr4': 25.101, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1435, 'x': 165.188, 'y': -2.0, 'z': 173.375, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.202, 'thr4': 24.798, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1435, 'x': 165.188, 'y': -2.0, 'z': 173.375, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.202, 'thr4': 24.798, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1799, 'x': 165.313, 'y': -1.813, 'z': 172.938, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.202, 'thr4': 24.798, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1799, 'x': 165.313, 'y': -1.813, 'z': 172.938, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.202, 'thr4': 24.798, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1799, 'x': 165.313, 'y': -1.813, 'z': 172.938, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.304, 'thr4': 25.202, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1799, 'x': 165.313, 'y': -1.813, 'z': 172.938, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.304, 'thr4': 25.202, 'thr5': 26.422, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1799, 'x': 165.313, 'y': -1.813, 'z': 172.938, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.304, 'thr4': 25.202, 'thr5': 26.422, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1799, 'x': 165.313, 'y': -1.813, 'z': 172.938, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.304, 'thr4': 25.202, 'thr5': 26.422, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 5, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 1799, 'x': 165.313, 'y': -1.813, 'z': 172.938, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.304, 'thr4': 25.202, 'thr5': 26.422, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 5, 'rot1': 122, 'rot2': 145, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 2167, 'x': 168.875, 'y': -0.438, 'z': 172.688, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.608, 'thr1': -273.15, 'thr2': 24.899, 'thr3': 25.304, 'thr4': 25.202, 'thr5': 26.422, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 5, 'rot1': 122, 'rot2': 145, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 2167, 'x': 168.875, 'y': -0.438, 'z': 172.688, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.0, 'thr4': 25.101, 'thr5': 26.422, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 5, 'rot1': 122, 'rot2': 145, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 2167, 'x': 168.875, 'y': -0.438, 'z': 172.688, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.0, 'thr4': 25.101, 'thr5': 26.218, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 5, 'rot1': 122, 'rot2': 145, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 2167, 'x': 168.875, 'y': -0.438, 'z': 172.688, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.0, 'thr4': 25.101, 'thr5': 26.218, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 2.2, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.2, 'rot0': 13, 'rot1': 302, 'rot2': 325, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
{'lat': 26.221448163, 'lon': 127.667935516, 'time': 2167, 'x': 168.875, 'y': -0.438, 'z': 172.688, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 25.0, 'thr4': 25.101, 'thr5': 26.218, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 2.2, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.2, 'rot0': 13, 'rot1': 302, 'rot2': 325, 'rot3': 15, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2179}
