{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221449881, 'lon': 127.667913559}
{'lat': 26.221447444, 'lon': 127.66792148}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 726, 'x': 0.0, 'y': 0.0}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.304}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.395}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.395, 'thr4': 24.697, 'thr5': 25.405}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.395, 'thr4': 24.697, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.395, 'thr4': 24.697, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.395, 'thr4': 24.697, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.395, 'thr4': 24.697, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 1072, 'x': 216.375, 'y': -1.313, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.395, 'thr4': 24.697, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 1072, 'x': 216.375, 'y': -1.313, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.304, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.395, 'thr4': 24.697, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 1072, 'x': 216.375, 'y': -1.313, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 24.395, 'thr4': 24.697, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 1072, 'x': 216.375, 'y': -1.313, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 24.697, 'thr4': 24.697, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 1072, 'x': 216.375, 'y': -1.313, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 24.697, 'thr4': 25.0, 'thr5': 25.405, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.5, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 1072, 'x': 216.375, 'y': -1.313, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 24.697, 'thr4': 25.0, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221447444, 'lon': 127.66792148, 'time': 1072, 'x': 216.375, 'y': -1.313, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 24.697, 'thr4': 25.0, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221449881, 'lon': 127.667913559, 'time': 1072, 'x': 216.375, 'y': -1.313, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 24.697, 'thr4': 25.0, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221449881, 'lon': 127.667913559, 'time': 1435, 'x': 216.688, 'y': 0.0, 'z': 174.0, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.697, 'thr4': 24.899, 'thr5': 25.608, 'cur0': 2.0, 'cur1': 0.1, 'cur2': 2.2, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.3, 'cel3': 2.9, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 5, 'rot1': 110, 'rot2': 114, 'rot3': 5, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1446}
{'lat': 26.221449881, 'lon': 127.667913559, 'time': 1804, 'x': 219.063, 'y': 0.438, 'z': 174.0, 'watertmp': 26.1, 'depth': 0.2, 'thr0': 25.506, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.697, 'thr4': 24.899, 'thr5': 25.608, 'cur0': 2.0, 'cur1': 0.1, 'cur2': 2.2, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.3, 'cel3': 2.9, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 5, 'rot1': 110, 'rot2': 114, 'rot3': 5, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1446}
