{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.291}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.291, 'thr3': 23.491, 'thr4': 24.596, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.291, 'thr3': 23.491, 'thr4': 24.596, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.291, 'thr3': 23.491, 'thr4': 24.596, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.291, 'thr3': 23.491, 'thr4': 24.596, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.291, 'thr3': 23.491, 'thr4': 24.596, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1081, 'x': 200.375, 'y': -0.438, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.291, 'thr3': 23.491, 'thr4': 24.596, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1081, 'x': 200.375, 'y': -0.438, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.892, 'thr4': 24.596, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1081, 'x': 200.375, 'y': -0.438, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.892, 'thr4': 25.304, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1081, 'x': 200.375, 'y': -0.438, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.892, 'thr4': 25.304, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1081, 'x': 200.375, 'y': -0.438, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.892, 'thr4': 25.304, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1081, 'x': 200.375, 'y': -0.438, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.892, 'thr4': 25.304, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1445, 'x': 200.625, 'y': -0.438, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.892, 'thr4': 25.304, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1445, 'x': 200.625, 'y': 0.313, 'z': 173.813, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 25.0, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.892, 'thr4': 25.304, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1445, 'x': 200.625, 'y': 0.313, 'z': 173.813, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.892, 'thr4': 25.304, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1445, 'x': 200.625, 'y': 0.313, 'z': 173.813, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 24.093, 'thr4': 25.101, 'thr5': 26.218, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1445, 'x': 200.625, 'y': 0.313, 'z': 173.813, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 24.093, 'thr4': 25.101, 'thr5': 26.32, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221475612, 'lon': 127.667941632, 'time': 1445, 'x': 200.625, 'y': 0.313, 'z': 173.813, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 24.093, 'thr4': 25.101, 'thr5': 26.32, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
