{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221467514, 'lon': 127.667941632}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1081, 'x': 152.125, 'y': 1.438}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1081, 'x': 152.125, 'y': 1.438, 'z': 172.563, 'watertmp': 26.2}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1081, 'x': 152.125, 'y': 1.438, 'z': 172.563, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.691}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1081, 'x': 152.125, 'y': 1.438, 'z': 172.563, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 23.892, 'thr4': 25.709, 'thr5': 26.422}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1081, 'x': 152.125, 'y': 1.438, 'z': 172.563, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 23.892, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1081, 'x': 152.125, 'y': 1.438, 'z': 172.563, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 23.892, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1081, 'x': 152.125, 'y': 1.438, 'z': 172.563, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 23.892, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1081, 'x': 152.125, 'y': 1.438, 'z': 172.563, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 23.892, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1444, 'x': 150.438, 'y': 1.438, 'z': 172.563, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 23.892, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1444, 'x': 150.438, 'y': 0.0, 'z': 173.313, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 23.892, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1444, 'x': 150.438, 'y': 0.0, 'z': 173.313, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.892, 'thr3': 23.992, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1444, 'x': 150.438, 'y': 0.0, 'z': 173.313, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.892, 'thr3': 23.992, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1444, 'x': 150.438, 'y': 0.0, 'z': 173.313, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.892, 'thr3': 23.992, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1454}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1808, 'x': 149.375, 'y': -1.313, 'z': 173.313, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 23.892, 'thr3': 23.992, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1454}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1808, 'x': 149.375, 'y': -1.313, 'z': 172.688, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.892, 'thr3': 23.992, 'thr4': 25.709, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1454}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1808, 'x': 149.375, 'y': -1.313, 'z': 172.688, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.992, 'thr3': 24.193, 'thr4': 25.913, 'thr5': 26.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1454}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1808, 'x': 149.375, 'y': -1.313, 'z': 172.688, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.992, 'thr3': 24.193, 'thr4': 25.913, 'thr5': 26.729, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1454}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1808, 'x': 149.375, 'y': -1.313, 'z': 172.688, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.992, 'thr3': 24.193, 'thr4': 25.913, 'thr5': 26.729, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1454}
{'lat': 26.221467514, 'lon': 127.667941632, 'time': 1808, 'x': 149.375, 'y': -1.313, 'z': 172.688, 'watertmp': 26.2, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.992, 'thr3': 24.193, 'thr4': 25.913, 'thr5': 26.729, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.2, 'rot0': 9, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1454}
