{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221469232, 'lon': 127.667919674}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 726, 'x': 0.0}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 23.191}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 23.191, 'thr3': 23.191, 'thr4': 25.506, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 23.191, 'thr3': 23.191, 'thr4': 25.506, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 23.191, 'thr3': 23.191, 'thr4': 25.506, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1072, 'x': 193.125, 'y': 0.0, 'z': 171.5, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 23.191, 'thr3': 23.191, 'thr4': 25.506, 'thr5': 25.608, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1072, 'x': 193.125, 'y': 0.0, 'z': 171.5, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 23.792, 'thr4': 26.014, 'thr5': 26.116, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1072, 'x': 193.125, 'y': 0.0, 'z': 171.5, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 23.792, 'thr4': 26.014, 'thr5': 26.116, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1072, 'x': 193.125, 'y': 0.0, 'z': 171.5, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.691, 'thr3': 23.792, 'thr4': 26.014, 'thr5': 26.116, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1435, 'x': 192.563, 'y': -0.188, 'z': 171.375, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.014, 'thr1': -86.987, 'thr2': 23.191, 'thr3': 23.491, 'thr4': 25.709, 'thr5': 26.116, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1435, 'x': 192.563, 'y': -0.188, 'z': 171.375, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.014, 'thr1': -86.987, 'thr2': 23.191, 'thr3': 23.491, 'thr4': 25.709, 'thr5': 25.709, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1435, 'x': 192.563, 'y': -0.188, 'z': 171.375, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.014, 'thr1': -86.987, 'thr2': 23.191, 'thr3': 23.491, 'thr4': 25.709, 'thr5': 25.709, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1435, 'x': 192.563, 'y': -0.188, 'z': 171.375, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.014, 'thr1': -86.987, 'thr2': 23.191, 'thr3': 23.491, 'thr4': 25.709, 'thr5': 25.709, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.2, 'rot0': 5, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1435, 'x': 192.563, 'y': -0.188, 'z': 171.375, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.014, 'thr1': -86.987, 'thr2': 23.191, 'thr3': 23.491, 'thr4': 25.709, 'thr5': 25.709, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.2, 'rot0': 5, 'rot1': 121, 'rot2': 103, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1435, 'x': 192.563, 'y': -0.188, 'z': 171.375, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.014, 'thr1': -86.987, 'thr2': 23.191, 'thr3': 23.491, 'thr4': 25.709, 'thr5': 25.709, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.2, 'rot0': 5, 'rot1': 121, 'rot2': 103, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221469232, 'lon': 127.667919674, 'time': 1802, 'x': 194.625, 'y': -0.688, 'z': 172.688, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.014, 'thr1': -86.987, 'thr2': 23.191, 'thr3': 23.491, 'thr4': 25.709, 'thr5': 25.709, 'cur0': 1.9, 'cur1': 0.2, 'cur2': 2.3, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.2, 'rot0': 5, 'rot1': 121, 'rot2': 103, 'rot3': 6, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
