{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221493324, 'lon': 127.667890492}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 1082, 'x': 267.625, 'y': -7.375}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 1082, 'x': 267.625, 'y': -7.375, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 24.093, 'thr4': 31.007, 'thr5': 33.493}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 1082, 'x': 267.625, 'y': -7.375, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 24.093, 'thr4': 31.007, 'thr5': 33.493, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 1082, 'x': 267.625, 'y': -7.375, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 24.093, 'thr4': 31.007, 'thr5': 33.493, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 1082, 'x': 267.625, 'y': -7.375, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 24.093, 'thr4': 31.007, 'thr5': 33.493, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 1082, 'x': 267.625, 'y': -7.375, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 24.093, 'thr4': 31.007, 'thr5': 33.493, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 1447, 'x': 267.625, 'y': -7.375, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.317, 'thr1': -273.15, 'thr2': 25.913, 'thr3': 24.093, 'thr4': 31.007, 'thr5': 33.493, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 1447, 'x': 267.625, 'y': -7.375, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 25.709, 'thr3': 23.992, 'thr4': 30.794, 'thr5': 33.493, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 1447, 'x': 267.625, 'y': -7.375, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 25.709, 'thr3': 23.992, 'thr4': 30.794, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 1447, 'x': 267.625, 'y': -7.375, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 25.709, 'thr3': 23.992, 'thr4': 30.794, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 2180, 'x': 267.625, 'y': -7.313, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.422, 'thr1': -273.15, 'thr2': 26.014, 'thr3': 24.294, 'thr4': 31.114, 'thr5': 33.603, 'cur0': 4.3, 'cur1': 0.1, 'cur2': 5.3, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.6, 'cel3': 3.0, 'cel4': 3.2, 'cel5': 3.3, 'rot0': 66, 'rot1': 150, 'rot2': 355, 'rot3': 361, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 2551, 'x': 267.625, 'y': -7.313, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.422, 'thr1': -273.15, 'thr2': 26.014, 'thr3': 24.294, 'thr4': 31.114, 'thr5': 33.603, 'cur0': 4.3, 'cur1': 0.1, 'cur2': 5.3, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.6, 'cel3': 3.0, 'cel4': 3.2, 'cel5': 3.3, 'rot0': 66, 'rot1': 150, 'rot2': 355, 'rot3': 361, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 2551, 'x': 267.625, 'y': -7.313, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.212, 'thr1': -86.987, 'thr2': 25.811, 'thr3': 24.294, 'thr4': 31.114, 'thr5': 33.603, 'cur0': 4.3, 'cur1': 0.1, 'cur2': 5.3, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.6, 'cel3': 3.0, 'cel4': 3.2, 'cel5': 3.3, 'rot0': 66, 'rot1': 150, 'rot2': 355, 'rot3': 361, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 2551, 'x': 267.625, 'y': -7.313, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.212, 'thr1': -86.987, 'thr2': 25.811, 'thr3': 24.193, 'thr4': 31.007, 'thr5': 33.493, 'cur0': 4.5, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.6, 'cel3': 3.0, 'cel4': 3.2, 'cel5': 3.3, 'rot0': 66, 'rot1': 150, 'rot2': 355, 'rot3': 361, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 2551, 'x': 267.625, 'y': -7.313, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.212, 'thr1': -86.987, 'thr2': 25.811, 'thr3': 24.193, 'thr4': 31.007, 'thr5': 33.493, 'cur0': 4.5, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.5, 'cel3': 3.0, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 66, 'rot1': 150, 'rot2': 355, 'rot3': 361, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
{'lat': 26.221493324, 'lon': 127.667890492, 'time': 2551, 'x': 267.625, 'y': -7.313, 'z': 172.188, 'watertmp': 27.3, 'depth': 0.1, 'thr0': 29.212, 'thr1': -86.987, 'thr2': 25.811, 'thr3': 24.193, 'thr4': 31.007, 'thr5': 33.493, 'cur0': 4.5, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.5, 'cel3': 3.0, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 102, 'rot1': 193, 'rot2': 563, 'rot3': 576, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2191}
