{}
{'lat': 'n/a'}
{'lat': 26.221523651, 'lon': 127.667952753}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1072, 'x': 177.063, 'y': 0.188, 'z': 173.875}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1072, 'x': 177.063, 'y': 0.188, 'z': 173.875, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1072, 'x': 177.063, 'y': 0.188, 'z': 173.875, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1072, 'x': 177.063, 'y': 0.188, 'z': 173.875, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.62}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1072, 'x': 177.063, 'y': 0.188, 'z': 173.875, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1072, 'x': 177.063, 'y': 0.188, 'z': 173.875, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1072, 'x': 177.063, 'y': 0.188, 'z': 173.875, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1072, 'x': 177.063, 'y': 0.188, 'z': 173.875, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1435, 'x': 176.563, 'y': -0.688, 'z': 173.5, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1435, 'x': 176.563, 'y': -0.688, 'z': 173.5, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.003, 'thr4': 30.476, 'thr5': 32.079, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1435, 'x': 176.563, 'y': -0.688, 'z': 173.5, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.003, 'thr4': 30.476, 'thr5': 32.079, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1435, 'x': 176.563, 'y': -0.688, 'z': 173.5, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.003, 'thr4': 30.476, 'thr5': 32.079, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1799, 'x': 176.313, 'y': -1.188, 'z': 172.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.003, 'thr4': 30.476, 'thr5': 32.079, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1799, 'x': 176.313, 'y': -1.188, 'z': 172.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.837, 'cur0': 10.5, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1799, 'x': 176.313, 'y': -1.188, 'z': 172.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.837, 'cur0': 10.5, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1799, 'x': 176.313, 'y': -1.188, 'z': 172.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.837, 'cur0': 10.5, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 9, 'rot1': 213, 'rot2': 180, 'rot3': 176, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 1799, 'x': 176.313, 'y': -1.188, 'z': 172.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.837, 'cur0': 10.5, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 9, 'rot1': 213, 'rot2': 180, 'rot3': 176, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
{'lat': 26.221523651, 'lon': 127.667952753, 'time': 2171, 'x': 174.875, 'y': -0.938, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.632, 'thr3': 29.212, 'thr4': 30.688, 'thr5': 32.837, 'cur0': 10.5, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 9, 'rot1': 213, 'rot2': 180, 'rot3': 176, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
