{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221497908, 'lon': 127.668013619}
{'lat': 26.221497908, 'lon': 127.668013619, 'time': 1072, 'x': 248.938, 'y': -4.25, 'z': 172.938}
{'lat': 26.221497908, 'lon': 127.668013619, 'time': 1072, 'x': 248.938, 'y': -4.25, 'z': 172.938, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.395}
{'lat': 26.221497908, 'lon': 127.668013619, 'time': 1072, 'x': 248.938, 'y': -4.25, 'z': 172.938, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.395, 'thr4': 26.934, 'thr5': 26.32}
{'lat': 26.221497908, 'lon': 127.668013619, 'time': 1072, 'x': 248.938, 'y': -4.25, 'z': 172.938, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.395, 'thr4': 26.934, 'thr5': 26.32, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221497908, 'lon': 127.668013619, 'time': 1435, 'x': 250.125, 'y': -2.75, 'z': 169.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.395, 'thr4': 26.934, 'thr5': 26.32, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221497908, 'lon': 127.668013619, 'time': 1435, 'x': 250.125, 'y': -2.75, 'z': 169.563, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 24.395, 'thr4': 26.934, 'thr5': 26.32, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221497908, 'lon': 127.668013619, 'time': 1435, 'x': 250.125, 'y': -2.75, 'z': 169.563, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.395, 'thr4': 26.934, 'thr5': 26.32, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221497908, 'lon': 127.668013619, 'time': 1435, 'x': 250.125, 'y': -2.75, 'z': 169.563, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.395, 'thr4': 26.422, 'thr5': 25.811, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221497908, 'lon': 127.668013619, 'time': 1435, 'x': 250.125, 'y': -2.75, 'z': 169.563, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.395, 'thr4': 26.422, 'thr5': 25.811, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221497908, 'lon': 127.668013619, 'time': 1435, 'x': 250.125, 'y': -2.75, 'z': 169.563, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.395, 'thr4': 26.422, 'thr5': 25.811, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 1435, 'x': 250.125, 'y': -2.75, 'z': 169.563, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.395, 'thr4': 26.422, 'thr5': 25.811, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 1800, 'x': 248.688, 'y': -1.438, 'z': 173.625, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.101, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.395, 'thr4': 26.422, 'thr5': 25.811, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 1800, 'x': 248.688, 'y': -1.438, 'z': 173.625, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.596, 'thr4': 26.627, 'thr5': 26.116, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 1800, 'x': 248.688, 'y': -1.438, 'z': 173.625, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.596, 'thr4': 26.627, 'thr5': 26.116, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 1800, 'x': 248.688, 'y': -1.438, 'z': 173.625, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.596, 'thr4': 26.627, 'thr5': 26.116, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 51, 'rot1': 100, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2172, 'x': 248.0, 'y': -1.438, 'z': 173.625, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.596, 'thr4': 26.627, 'thr5': 26.116, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 51, 'rot1': 100, 'rot2': 149, 'rot3': 250, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2172, 'x': 248.0, 'y': -0.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.193, 'thr3': 24.596, 'thr4': 26.627, 'thr5': 26.116, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 51, 'rot1': 100, 'rot2': 149, 'rot3': 250, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2172, 'x': 248.0, 'y': -0.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.596, 'thr4': 26.525, 'thr5': 25.608, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 51, 'rot1': 100, 'rot2': 149, 'rot3': 250, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2172, 'x': 248.0, 'y': -0.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.596, 'thr4': 26.525, 'thr5': 25.608, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 51, 'rot1': 100, 'rot2': 149, 'rot3': 250, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2172, 'x': 248.0, 'y': -0.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.596, 'thr4': 26.525, 'thr5': 25.608, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 4.1, 'rot0': 51, 'rot1': 100, 'rot2': 149, 'rot3': 250, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2172, 'x': 248.0, 'y': -0.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.596, 'thr4': 26.525, 'thr5': 25.608, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 66, 'rot1': 100, 'rot2': 149, 'rot3': 250, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2172, 'x': 248.0, 'y': -0.875, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.596, 'thr4': 26.525, 'thr5': 25.608, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 66, 'rot1': 152, 'rot2': 192, 'rot3': 426, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2547, 'x': 246.438, 'y': -1.813, 'z': 172.75, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.405, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.596, 'thr4': 26.525, 'thr5': 25.608, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 66, 'rot1': 152, 'rot2': 192, 'rot3': 426, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2184}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2547, 'x': 246.438, 'y': -1.813, 'z': 172.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.596, 'thr4': 26.525, 'thr5': 25.608, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 66, 'rot1': 152, 'rot2': 192, 'rot3': 426, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2184}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2547, 'x': 246.438, 'y': -1.813, 'z': 172.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.697, 'thr4': 26.627, 'thr5': 26.014, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 66, 'rot1': 152, 'rot2': 192, 'rot3': 426, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2184}
{'lat': 26.221500345, 'lon': 127.668005698, 'time': 2547, 'x': 246.438, 'y': -1.813, 'z': 172.313, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 25.202, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 24.697, 'thr4': 26.627, 'thr5': 26.014, 'cur0': 10.4, 'cur1': 0.3, 'cur2': 11.7, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.0, 'cel3': 3.4, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 66, 'rot1': 152, 'rot2': 192, 'rot3': 426, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2184}
