{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221494685, 'lon': 127.667997777}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1072, 'x': 226.25, 'y': -1.75, 'z': 174.375, 'watertmp': 26.4}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1072, 'x': 226.25, 'y': -1.75, 'z': 174.375, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 26.832}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1072, 'x': 226.25, 'y': -1.75, 'z': 174.375, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 26.832, 'thr4': 29.108, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1072, 'x': 226.25, 'y': -1.75, 'z': 174.375, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 26.832, 'thr4': 29.108, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1072, 'x': 226.25, 'y': -1.75, 'z': 174.375, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 26.832, 'thr4': 29.108, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1437, 'x': 226.625, 'y': -0.688, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 29.108, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1437, 'x': 226.625, 'y': -0.688, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.729, 'thr4': 29.003, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1437, 'x': 226.625, 'y': -0.688, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.729, 'thr4': 29.003, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1437, 'x': 226.625, 'y': -0.688, 'z': 171.375, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.729, 'thr4': 29.003, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1800, 'x': 226.75, 'y': -0.688, 'z': 173.5, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.729, 'thr4': 29.003, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1800, 'x': 226.75, 'y': -0.688, 'z': 173.5, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.551, 'thr1': -79.71, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 29.003, 'thr5': 29.422, 'cur0': 10.2, 'cur1': 0.3, 'cur2': 11.8, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1800, 'x': 226.75, 'y': -0.688, 'z': 173.5, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.551, 'thr1': -79.71, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 29.003, 'thr5': 29.422, 'cur0': 10.2, 'cur1': 0.3, 'cur2': 11.8, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.6, 'cel4': 3.7, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1800, 'x': 226.75, 'y': -0.688, 'z': 173.5, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.551, 'thr1': -79.71, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 29.003, 'thr5': 29.422, 'cur0': 10.2, 'cur1': 0.3, 'cur2': 11.8, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.6, 'cel4': 3.7, 'cel5': 4.0, 'rot0': 35, 'rot1': 123, 'rot2': 147, 'rot3': 221, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 1800, 'x': 226.75, 'y': -0.688, 'z': 173.5, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 27.551, 'thr1': -79.71, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 29.003, 'thr5': 29.422, 'cur0': 10.2, 'cur1': 0.3, 'cur2': 11.8, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.6, 'cel4': 3.7, 'cel5': 4.0, 'rot0': 35, 'rot1': 123, 'rot2': 147, 'rot3': 221, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221494685, 'lon': 127.667997777, 'time': 2172, 'x': 225.938, 'y': -1.125, 'z': 172.688, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.861, 'thr1': -71.829, 'thr2': 27.345, 'thr3': 27.037, 'thr4': 29.003, 'thr5': 29.422, 'cur0': 10.2, 'cur1': 0.3, 'cur2': 11.8, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.6, 'cel4': 3.7, 'cel5': 4.0, 'rot0': 35, 'rot1': 123, 'rot2': 147, 'rot3': 221, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
