{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221467824, 'lon': 127.667986244}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 724, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 724, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.512, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 27.037, 'thr4': 33.164, 'thr5': 31.864}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 724, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.512, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 27.037, 'thr4': 33.164, 'thr5': 31.864, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 724, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.512, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 27.037, 'thr4': 33.164, 'thr5': 31.864, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 1072, 'x': 163.25, 'y': 0.0, 'z': 0.0, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 32.512, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 27.037, 'thr4': 33.164, 'thr5': 31.864, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 1072, 'x': 163.25, 'y': 1.125, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 32.512, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 27.037, 'thr4': 33.164, 'thr5': 31.864, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 1072, 'x': 163.25, 'y': 1.125, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.2, 'thr0': 32.62, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 27.448, 'thr4': 33.274, 'thr5': 32.295, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 1434, 'x': 161.438, 'y': -0.563, 'z': 173.563, 'watertmp': 26.6, 'depth': 0.2, 'thr0': 32.62, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 27.448, 'thr4': 33.274, 'thr5': 32.295, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 1434, 'x': 161.438, 'y': -0.563, 'z': 174.813, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 32.403, 'thr1': -86.987, 'thr2': 27.757, 'thr3': 27.242, 'thr4': 33.274, 'thr5': 32.079, 'cur0': 12.4, 'cur1': 0.5, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 1434, 'x': 161.438, 'y': -0.563, 'z': 174.813, 'watertmp': 26.6, 'depth': 0.3, 'thr0': 32.403, 'thr1': -86.987, 'thr2': 27.757, 'thr3': 27.242, 'thr4': 33.274, 'thr5': 32.079, 'cur0': 12.4, 'cur1': 0.5, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.8, 'cel5': 4.0, 'rot0': 171, 'rot1': 202, 'rot2': 95, 'rot3': 150, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 1807, 'x': 159.875, 'y': -1.0, 'z': 173.313, 'watertmp': 26.6, 'depth': 0.2, 'thr0': 32.403, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 27.448, 'thr4': 33.055, 'thr5': 32.295, 'cur0': 12.1, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.8, 'cel5': 4.0, 'rot0': 171, 'rot1': 202, 'rot2': 95, 'rot3': 150, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 1807, 'x': 159.875, 'y': -1.0, 'z': 173.313, 'watertmp': 26.6, 'depth': 0.2, 'thr0': 32.403, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 27.448, 'thr4': 33.055, 'thr5': 32.295, 'cur0': 12.1, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.7, 'cel5': 3.9, 'rot0': 190, 'rot1': 341, 'rot2': 95, 'rot3': 150, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 1807, 'x': 159.875, 'y': -1.0, 'z': 173.313, 'watertmp': 26.6, 'depth': 0.2, 'thr0': 32.403, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 27.448, 'thr4': 33.055, 'thr5': 32.295, 'cur0': 12.1, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.7, 'cel5': 3.9, 'rot0': 190, 'rot1': 341, 'rot2': 179, 'rot3': 325, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221467824, 'lon': 127.667986244, 'time': 1807, 'x': 159.875, 'y': -1.0, 'z': 173.313, 'watertmp': 26.6, 'depth': 0.2, 'thr0': 32.403, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 27.448, 'thr4': 33.055, 'thr5': 32.295, 'cur0': 12.1, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.7, 'cel5': 3.9, 'rot0': 190, 'rot1': 341, 'rot2': 179, 'rot3': 325, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
