{}
{'lat': 26.221432134, 'lon': 127.668049613}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1071, 'x': 177.938, 'y': -1.188}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1071, 'x': 177.938, 'y': -1.188, 'z': 173.625, 'watertmp': 26.5, 'depth': 0.3}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1071, 'x': 177.938, 'y': -1.188, 'z': 173.625, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.375, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 29.317, 'thr4': 35.155, 'thr5': 33.603, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1071, 'x': 177.938, 'y': -1.188, 'z': 173.625, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.375, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 29.317, 'thr4': 35.155, 'thr5': 33.603, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1071, 'x': 177.938, 'y': -1.188, 'z': 173.625, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.375, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 29.317, 'thr4': 35.155, 'thr5': 33.603, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1071, 'x': 177.938, 'y': -1.188, 'z': 173.625, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.375, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 29.317, 'thr4': 35.155, 'thr5': 33.603, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1071, 'x': 177.938, 'y': -1.188, 'z': 173.625, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.375, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 29.317, 'thr4': 35.155, 'thr5': 33.603, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1435, 'x': 178.5, 'y': -1.5, 'z': 171.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.375, 'thr1': -273.15, 'thr2': 30.37, 'thr3': 29.317, 'thr4': 35.155, 'thr5': 33.603, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1435, 'x': 178.5, 'y': -1.5, 'z': 171.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.154, 'thr1': -273.15, 'thr2': 30.476, 'thr3': 29.317, 'thr4': 35.043, 'thr5': 33.383, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1435, 'x': 178.5, 'y': -1.5, 'z': 171.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.154, 'thr1': -273.15, 'thr2': 30.476, 'thr3': 29.317, 'thr4': 35.043, 'thr5': 33.383, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1799, 'x': 179.5, 'y': -1.313, 'z': 171.25, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.154, 'thr1': -273.15, 'thr2': 30.476, 'thr3': 29.317, 'thr4': 35.043, 'thr5': 33.383, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1799, 'x': 179.5, 'y': -1.313, 'z': 172.563, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.264, 'thr1': -273.15, 'thr2': 30.476, 'thr3': 29.317, 'thr4': 35.043, 'thr5': 33.383, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1799, 'x': 179.5, 'y': -1.313, 'z': 172.563, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.264, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 29.317, 'thr4': 35.267, 'thr5': 33.383, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 1799, 'x': 179.5, 'y': -1.313, 'z': 172.563, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.264, 'thr1': -273.15, 'thr2': 30.582, 'thr3': 29.317, 'thr4': 35.267, 'thr5': 33.603, 'cur0': 12.4, 'cur1': 0.4, 'cur2': 9.6, 'cel0': 0.0, 'cel1': 2.6, 'cel2': 3.0, 'cel3': 3.5, 'cel4': 3.8, 'cel5': 4.2, 'rot0': 128, 'rot1': 85, 'rot2': 226, 'rot3': 98, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
{'lat': 26.221432134, 'lon': 127.668049613, 'time': 2545, 'x': 182.125, 'y': -0.188, 'z': 173.563, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.375, 'thr1': -71.829, 'thr2': 30.582, 'thr3': 29.632, 'thr4': 35.267, 'thr5': 33.603, 'cur0': 12.5, 'cur1': 0.3, 'cur2': 9.0, 'cel0': 0.0, 'cel1': 2.7, 'cel2': 2.9, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.7, 'rot0': 171, 'rot1': 124, 'rot2': 289, 'rot3': 372, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2556}
{'lat': 26.221424036, 'lon': 127.668049613, 'time': 2545, 'x': 182.125, 'y': -0.188, 'z': 173.563, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.375, 'thr1': -71.829, 'thr2': 30.582, 'thr3': 29.632, 'thr4': 35.267, 'thr5': 33.603, 'cur0': 12.5, 'cur1': 0.3, 'cur2': 9.0, 'cel0': 0.0, 'cel1': 2.7, 'cel2': 2.9, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.7, 'rot0': 171, 'rot1': 124, 'rot2': 289, 'rot3': 372, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2556}
{'lat': 26.221424036, 'lon': 127.668049613, 'time': 3289, 'x': 185.375, 'y': -1.25, 'z': 171.188, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 34.154, 'thr1': -75.178, 'thr2': 30.794, 'thr3': 29.842, 'thr4': 35.38, 'thr5': 33.822, 'cur0': 12.5, 'cur1': 0.4, 'cur2': 8.9, 'cel0': 0.1, 'cel1': 2.7, 'cel2': 2.9, 'cel3': 3.3, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 191, 'rot1': 144, 'rot2': 319, 'rot3': 504, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2928}
