{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221451974, 'lon': 127.667945941}
{'lat': 26.221460071, 'lon': 127.667945941}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1072, 'x': 258.0}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1072, 'x': 258.0, 'y': -1.063, 'z': 173.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.944}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1072, 'x': 258.0, 'y': -1.063, 'z': 173.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.944, 'thr1': -273.15, 'thr2': 31.649, 'thr3': 30.264, 'thr4': 37.2, 'thr5': 35.83}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1072, 'x': 258.0, 'y': -1.063, 'z': 173.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.944, 'thr1': -273.15, 'thr2': 31.649, 'thr3': 30.264, 'thr4': 37.2, 'thr5': 35.83, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1072, 'x': 258.0, 'y': -1.063, 'z': 173.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.944, 'thr1': -273.15, 'thr2': 31.649, 'thr3': 30.264, 'thr4': 37.2, 'thr5': 35.83, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1072, 'x': 258.0, 'y': -1.063, 'z': 173.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.944, 'thr1': -273.15, 'thr2': 31.649, 'thr3': 30.264, 'thr4': 37.2, 'thr5': 35.83, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1072, 'x': 258.0, 'y': -1.063, 'z': 173.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.944, 'thr1': -273.15, 'thr2': 31.649, 'thr3': 30.264, 'thr4': 37.2, 'thr5': 35.83, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1072, 'x': 258.0, 'y': -1.063, 'z': 173.375, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.944, 'thr1': -273.15, 'thr2': 31.649, 'thr3': 30.264, 'thr4': 37.2, 'thr5': 35.83, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1436, 'x': 257.813, 'y': -0.313, 'z': 176.188, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.83, 'thr1': -273.15, 'thr2': 31.541, 'thr3': 30.264, 'thr4': 37.2, 'thr5': 35.83, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1436, 'x': 257.813, 'y': -0.313, 'z': 176.188, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.83, 'thr1': -273.15, 'thr2': 31.541, 'thr3': 30.053, 'thr4': 37.085, 'thr5': 35.605, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1436, 'x': 257.813, 'y': -0.313, 'z': 176.188, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.83, 'thr1': -273.15, 'thr2': 31.541, 'thr3': 30.053, 'thr4': 37.085, 'thr5': 35.605, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1800, 'x': 256.063, 'y': -0.75, 'z': 173.563, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.83, 'thr1': -273.15, 'thr2': 31.541, 'thr3': 30.053, 'thr4': 37.085, 'thr5': 35.605, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1800, 'x': 256.063, 'y': -0.75, 'z': 173.563, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.83, 'thr1': -273.15, 'thr2': 31.327, 'thr3': 30.264, 'thr4': 37.085, 'thr5': 35.83, 'cur0': 12.5, 'cur1': 0.4, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221460071, 'lon': 127.667945941, 'time': 1800, 'x': 256.063, 'y': -0.75, 'z': 173.563, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.83, 'thr1': -273.15, 'thr2': 31.327, 'thr3': 30.264, 'thr4': 37.085, 'thr5': 35.83, 'cur0': 12.5, 'cur1': 0.4, 'cur2': 9.9, 'cel0': 0.0, 'cel1': 2.7, 'cel2': 3.0, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 4.0, 'rot0': 145, 'rot1': 70, 'rot2': 214, 'rot3': 121, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221463228, 'lon': 127.667952056, 'time': 1800, 'x': 256.063, 'y': -0.75, 'z': 173.563, 'watertmp': 26.5, 'depth': 0.3, 'thr0': 35.83, 'thr1': -273.15, 'thr2': 31.327, 'thr3': 30.264, 'thr4': 37.085, 'thr5': 35.83, 'cur0': 12.5, 'cur1': 0.4, 'cur2': 9.9, 'cel0': 0.0, 'cel1': 2.7, 'cel2': 3.0, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 4.0, 'rot0': 145, 'rot1': 70, 'rot2': 214, 'rot3': 121, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221463228, 'lon': 127.667952056, 'time': 2172, 'x': 255.563, 'y': -1.813, 'z': 172.688, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 35.83, 'thr1': -273.15, 'thr2': 31.327, 'thr3': 30.264, 'thr4': 37.085, 'thr5': 35.83, 'cur0': 12.5, 'cur1': 0.4, 'cur2': 9.9, 'cel0': 0.0, 'cel1': 2.7, 'cel2': 3.0, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 4.0, 'rot0': 145, 'rot1': 70, 'rot2': 214, 'rot3': 121, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221463228, 'lon': 127.667952056, 'time': 2172, 'x': 255.563, 'y': -1.813, 'z': 172.688, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 36.284, 'thr1': -273.15, 'thr2': 31.864, 'thr3': 30.37, 'thr4': 37.431, 'thr5': 35.944, 'cur0': 12.5, 'cur1': 0.4, 'cur2': 9.9, 'cel0': 0.0, 'cel1': 2.7, 'cel2': 3.0, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 4.0, 'rot0': 145, 'rot1': 70, 'rot2': 214, 'rot3': 121, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
{'lat': 26.221463228, 'lon': 127.667952056, 'time': 2172, 'x': 255.563, 'y': -1.813, 'z': 172.688, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 36.284, 'thr1': -273.15, 'thr2': 31.864, 'thr3': 30.37, 'thr4': 37.431, 'thr5': 35.944, 'cur0': 12.4, 'cur1': 0.4, 'cur2': 9.9, 'cel0': 0.0, 'cel1': 2.7, 'cel2': 3.0, 'cel3': 3.4, 'cel4': 3.6, 'cel5': 3.8, 'rot0': 163, 'rot1': 70, 'rot2': 214, 'rot3': 121, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1811}
