{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221426818, 'lon': 127.668001389}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1082, 'x': 194.125}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1082, 'x': 194.125, 'y': -0.688, 'z': 172.0, 'watertmp': 26.4}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1082, 'x': 194.125, 'y': -0.688, 'z': 172.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.895, 'thr1': -273.15}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1082, 'x': 194.125, 'y': -0.688, 'z': 172.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.895, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 30.688, 'thr4': 39.784}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1082, 'x': 194.125, 'y': -0.688, 'z': 172.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.895, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 30.688, 'thr4': 39.784, 'thr5': 36.855, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1082, 'x': 194.125, 'y': -0.688, 'z': 172.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.895, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 30.688, 'thr4': 39.784, 'thr5': 36.855, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1082, 'x': 194.125, 'y': -0.688, 'z': 172.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.895, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 30.688, 'thr4': 39.784, 'thr5': 36.855, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1082, 'x': 194.125, 'y': -0.688, 'z': 172.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.895, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 30.688, 'thr4': 39.784, 'thr5': 36.855, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1082, 'x': 194.125, 'y': -0.688, 'z': 172.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.895, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 30.688, 'thr4': 39.784, 'thr5': 36.855, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1082, 'x': 194.125, 'y': -0.688, 'z': 172.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.895, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 30.688, 'thr4': 39.784, 'thr5': 36.855, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1445, 'x': 193.0, 'y': -0.75, 'z': 172.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.895, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 30.688, 'thr4': 39.784, 'thr5': 36.855, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1445, 'x': 193.0, 'y': -0.75, 'z': 174.625, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.431, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 30.688, 'thr4': 39.784, 'thr5': 36.855, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1445, 'x': 193.0, 'y': -0.75, 'z': 174.625, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.431, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 30.264, 'thr4': 38.951, 'thr5': 36.855, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1445, 'x': 193.0, 'y': -0.75, 'z': 174.625, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.431, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 30.264, 'thr4': 38.951, 'thr5': 36.284, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1445, 'x': 193.0, 'y': -0.75, 'z': 174.625, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.431, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 30.264, 'thr4': 38.951, 'thr5': 36.284, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1809, 'x': 192.25, 'y': -0.75, 'z': 174.625, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.431, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 30.264, 'thr4': 38.951, 'thr5': 36.284, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1809, 'x': 192.25, 'y': -0.063, 'z': 173.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.431, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 30.264, 'thr4': 38.951, 'thr5': 36.284, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1809, 'x': 192.25, 'y': -0.063, 'z': 173.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.431, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 30.158, 'thr4': 39.188, 'thr5': 36.626, 'cur0': 11.6, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1809, 'x': 192.25, 'y': -0.063, 'z': 173.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.431, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 30.158, 'thr4': 39.188, 'thr5': 36.626, 'cur0': 11.6, 'cur1': 0.4, 'cur2': 10.9, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221426818, 'lon': 127.668001389, 'time': 1809, 'x': 192.25, 'y': -0.063, 'z': 173.0, 'watertmp': 26.4, 'depth': 0.2, 'thr0': 37.431, 'thr1': -273.15, 'thr2': 32.295, 'thr3': 30.158, 'thr4': 39.188, 'thr5': 36.626, 'cur0': 11.6, 'cur1': 0.4, 'cur2': 10.9, 'cel0': 0.0, 'cel1': 2.7, 'cel2': 3.0, 'cel3': 3.5, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
