{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 45689, 'x': 190.438, 'y': -0.688}
{'lat': 'n/a', 'lon': 'n/a', 'time': 45689, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7}
{'lat': 'n/a', 'lon': 'n/a', 'time': 45689, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.796}
{'lat': 'n/a', 'lon': 'n/a', 'time': 45689, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 45689, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796}
{'lat': 'n/a', 'lon': 'n/a', 'time': 45689, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 45689, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9}
{'lat': 'n/a', 'lon': 'n/a', 'time': 45689, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 45700}
{'lat': 'n/a', 'lon': 'n/a', 'time': 46057, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 21.399, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 45700}
{'lat': 'n/a', 'lon': 'n/a', 'time': 46057, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 21.399, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 46067}
{'lat': 'n/a', 'lon': 'n/a', 'time': 46422, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.597, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.597, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 46067}
{'lat': 'n/a', 'lon': 'n/a', 'time': 46788, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.498, 'thr5': 21.895, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 46798}
{'lat': 'n/a', 'lon': 'n/a', 'time': 47155, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.498, 'thr5': 21.895, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 46798}
{'lat': 'n/a', 'lon': 'n/a', 'time': 47155, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.498, 'thr5': 21.895, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 46798}
{'lat': 'n/a', 'lon': 'n/a', 'time': 47155, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.597, 'thr4': 21.3, 'thr5': 21.895, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 46798}
{'lat': 'n/a', 'lon': 'n/a', 'time': 48253, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.994, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 21.201, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 48263}
{'lat': 'n/a', 'lon': 'n/a', 'time': 48618, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 21.3, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 48263}
{'lat': 'n/a', 'lon': 'n/a', 'time': 48986, 'x': 190.438, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 21.3, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 48628}
