{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493062, 'x': 189.75}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493062, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493062, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.597}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493062, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.597, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.3, 'cur0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493062, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.597, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.3, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493062, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.597, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.3, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493062, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.597, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.3, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493062, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.597, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.3, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493428, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.597, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 493072}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493428, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.597, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 493438}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493797, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.597, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 493438}
{'lat': 'n/a', 'lon': 'n/a', 'time': 493797, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.201, 'thr1': -273.15, 'thr2': 21.498, 'thr3': 21.201, 'thr4': 20.904, 'thr5': 21.3, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 493438}
{'lat': 'n/a', 'lon': 'n/a', 'time': 494166, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.597, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.201, 'thr4': 20.904, 'thr5': 21.3, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 493806}
{'lat': 'n/a', 'lon': 'n/a', 'time': 494166, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.597, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 21.3, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 493806}
{'lat': 'n/a', 'lon': 'n/a', 'time': 494534, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.597, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 21.3, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 494176}
{'lat': 'n/a', 'lon': 'n/a', 'time': 494534, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.2, 'thr0': 21.597, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 21.3, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 494176}
{'lat': 'n/a', 'lon': 'n/a', 'time': 494534, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.2, 'thr0': 21.597, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.498, 'thr4': 21.102, 'thr5': 21.498, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 494176}
{'lat': 'n/a', 'lon': 'n/a', 'time': 494903, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.498, 'thr3': 21.399, 'thr4': 21.102, 'thr5': 21.498, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 494544}
{'lat': 'n/a', 'lon': 'n/a', 'time': 494903, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.498, 'thr3': 21.399, 'thr4': 21.003, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 494544}
