{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 532822, 'x': 189.75, 'y': -0.625}
{'lat': 'n/a', 'lon': 'n/a', 'time': 532822, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1}
{'lat': 'n/a', 'lon': 'n/a', 'time': 532822, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.498}
{'lat': 'n/a', 'lon': 'n/a', 'time': 532822, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.498, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.399, 'cur0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 532822, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.498, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1}
{'lat': 'n/a', 'lon': 'n/a', 'time': 532822, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.498, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 532822, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.498, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 532822, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.498, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 532822, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.3, 'thr1': -273.15, 'thr2': 21.498, 'thr3': 21.3, 'thr4': 20.904, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 532832}
{'lat': 'n/a', 'lon': 'n/a', 'time': 533189, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 20.904, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 532832}
{'lat': 'n/a', 'lon': 'n/a', 'time': 533189, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 21.399, 'thr5': 21.895, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 532832}
{'lat': 'n/a', 'lon': 'n/a', 'time': 533559, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 21.399, 'thr5': 21.895, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 533199}
{'lat': 'n/a', 'lon': 'n/a', 'time': 533559, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.895, 'thr4': 21.498, 'thr5': 21.696, 'cur0': 5.9, 'cur1': 0.8, 'cur2': 4.6, 'cel0': 0.0, 'cel1': 1.9, 'cel2': 2.4, 'cel3': 3.0, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 533199}
{'lat': 'n/a', 'lon': 'n/a', 'time': 533559, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.895, 'thr4': 21.498, 'thr5': 21.696, 'cur0': 5.9, 'cur1': 0.8, 'cur2': 4.6, 'cel0': 0.0, 'cel1': 1.9, 'cel2': 2.4, 'cel3': 3.0, 'cel4': 3.5, 'cel5': 3.7, 'rot0': 17, 'rot1': 11, 'rot2': 11, 'rot3': 43, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 533199}
{'lat': 'n/a', 'lon': 'n/a', 'time': 533931, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.498, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.696, 'cur0': 4.9, 'cur1': 1.0, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.0, 'cel2': 2.5, 'cel3': 3.0, 'cel4': 3.5, 'cel5': 3.7, 'rot0': 17, 'rot1': 11, 'rot2': 11, 'rot3': 43, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 533570}
{'lat': 'n/a', 'lon': 'n/a', 'time': 534306, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.696, 'cur0': 4.9, 'cur1': 1.0, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.0, 'cel2': 2.5, 'cel3': 3.0, 'cel4': 3.4, 'cel5': 3.6, 'rot0': 46, 'rot1': 39, 'rot2': 154, 'rot3': 232, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 533942}
{'lat': 'n/a', 'lon': 'n/a', 'time': 534306, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.399, 'thr4': 21.102, 'thr5': 21.696, 'cur0': 4.9, 'cur1': 1.0, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.0, 'cel2': 2.5, 'cel3': 3.0, 'cel4': 3.4, 'cel5': 3.6, 'rot0': 46, 'rot1': 39, 'rot2': 154, 'rot3': 232, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 533942}
{'lat': 'n/a', 'lon': 'n/a', 'time': 534306, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.399, 'thr4': 21.102, 'thr5': 21.597, 'cur0': 4.6, 'cur1': 1.0, 'cur2': 4.7, 'cel0': 0.0, 'cel1': 1.9, 'cel2': 2.4, 'cel3': 3.0, 'cel4': 3.3, 'cel5': 3.5, 'rot0': 84, 'rot1': 73, 'rot2': 358, 'rot3': 450, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 534318}
{'lat': 'n/a', 'lon': 'n/a', 'time': 534679, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.399, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.399, 'thr4': 21.102, 'thr5': 21.597, 'cur0': 4.6, 'cur1': 1.0, 'cur2': 4.7, 'cel0': 0.0, 'cel1': 1.9, 'cel2': 2.4, 'cel3': 3.0, 'cel4': 3.3, 'cel5': 3.5, 'rot0': 84, 'rot1': 73, 'rot2': 358, 'rot3': 450, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 534318}
