{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 227250, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 227250, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 22.293}
{'lat': 'n/a', 'lon': 'n/a', 'time': 227250, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 227260}
{'lat': 'n/a', 'lon': 'n/a', 'time': 227617, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.592, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.994, 'thr4': 22.392, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 227260}
{'lat': 'n/a', 'lon': 'n/a', 'time': 227617, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.592, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.994, 'thr4': 22.392, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 227260}
{'lat': 'n/a', 'lon': 'n/a', 'time': 227617, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.592, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.994, 'thr4': 22.392, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 227260}
{'lat': 'n/a', 'lon': 'n/a', 'time': 227984, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.994, 'thr4': 22.392, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 227628}
{'lat': 'n/a', 'lon': 'n/a', 'time': 228353, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.895, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 227994}
{'lat': 'n/a', 'lon': 'n/a', 'time': 228353, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 227994}
{'lat': 'n/a', 'lon': 'n/a', 'time': 228353, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 228363}
{'lat': 'n/a', 'lon': 'n/a', 'time': 228721, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.592, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 22.193, 'thr4': 22.492, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 228363}
{'lat': 'n/a', 'lon': 'n/a', 'time': 229090, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.592, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 22.193, 'thr4': 22.492, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 228731}
{'lat': 'n/a', 'lon': 'n/a', 'time': 229090, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 22.392, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 229100}
{'lat': 'n/a', 'lon': 'n/a', 'time': 229458, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 22.392, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 229100}
{'lat': 'n/a', 'lon': 'n/a', 'time': 229458, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.895, 'thr4': 22.392, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 229100}
{'lat': 'n/a', 'lon': 'n/a', 'time': 229458, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.895, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 229100}
