{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 476113, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 21.994, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.696, 'thr5': 22.094, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 476113, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 21.994, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.696, 'thr5': 22.094, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 476124}
{'lat': 'n/a', 'lon': 'n/a', 'time': 476482, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.994, 'thr4': 22.293, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 476492}
{'lat': 'n/a', 'lon': 'n/a', 'time': 476851, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.994, 'thr4': 22.293, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 476492}
{'lat': 'n/a', 'lon': 'n/a', 'time': 476851, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.895, 'thr5': 22.094, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 476492}
{'lat': 'n/a', 'lon': 'n/a', 'time': 476851, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.895, 'thr5': 22.094, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 476861}
{'lat': 'n/a', 'lon': 'n/a', 'time': 477219, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 22.293, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 477230}
{'lat': 'n/a', 'lon': 'n/a', 'time': 477588, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 22.293, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 477230}
{'lat': 'n/a', 'lon': 'n/a', 'time': 477588, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 477230}
{'lat': 'n/a', 'lon': 'n/a', 'time': 477588, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 477598}
{'lat': 'n/a', 'lon': 'n/a', 'time': 477955, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 477598}
{'lat': 'n/a', 'lon': 'n/a', 'time': 477955, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 477598}
{'lat': 'n/a', 'lon': 'n/a', 'time': 477955, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.994, 'thr4': 22.094, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 477598}
{'lat': 'n/a', 'lon': 'n/a', 'time': 477955, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.994, 'thr4': 22.094, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 477965}
{'lat': 'n/a', 'lon': 'n/a', 'time': 478323, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.994, 'thr4': 22.094, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 477965}
{'lat': 'n/a', 'lon': 'n/a', 'time': 478323, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 22.094, 'thr4': 22.492, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 478333}
{'lat': 'n/a', 'lon': 'n/a', 'time': 478691, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.696, 'thr4': 21.895, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 478333}
{'lat': 'n/a', 'lon': 'n/a', 'time': 478691, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.696, 'thr4': 21.895, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 478333}
{'lat': 'n/a', 'lon': 'n/a', 'time': 478691, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.696, 'thr4': 21.895, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 478701}
