{}
{'lat': 26.221476609, 'lon': 127.667905638}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1081, 'x': 215.813, 'y': -1.438, 'z': 173.438}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1081, 'x': 215.813, 'y': -1.438, 'z': 173.438, 'watertmp': 26.1}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1081, 'x': 215.813, 'y': -1.438, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 23.491}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1081, 'x': 215.813, 'y': -1.438, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.792, 'thr4': 26.218, 'thr5': 26.014, 'cur0': 0.0}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1081, 'x': 215.813, 'y': -1.438, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.792, 'thr4': 26.218, 'thr5': 26.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1081, 'x': 215.813, 'y': -1.438, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.792, 'thr4': 26.218, 'thr5': 26.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1081, 'x': 215.813, 'y': -1.438, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.792, 'thr4': 26.218, 'thr5': 26.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1081, 'x': 215.813, 'y': -1.438, 'z': 173.438, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.792, 'thr4': 26.218, 'thr5': 26.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1445, 'x': 215.375, 'y': -0.875, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.792, 'thr4': 26.218, 'thr5': 26.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1445, 'x': 215.375, 'y': -0.875, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.691, 'thr4': 26.218, 'thr5': 26.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1445, 'x': 215.375, 'y': -0.875, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.691, 'thr4': 26.014, 'thr5': 26.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1809, 'x': 215.438, 'y': -0.813, 'z': 173.25, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 23.591, 'thr3': 23.691, 'thr4': 26.014, 'thr5': 26.014, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1809, 'x': 215.438, 'y': -0.813, 'z': 173.25, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.591, 'thr4': 26.116, 'thr5': 26.014, 'cur0': 2.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1809, 'x': 215.438, 'y': -0.813, 'z': 173.25, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.591, 'thr4': 26.116, 'thr5': 26.014, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 2.2, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 4, 'rot1': 119, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1809, 'x': 215.438, 'y': -0.813, 'z': 173.25, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.591, 'thr4': 26.116, 'thr5': 26.014, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 2.2, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 4, 'rot1': 119, 'rot2': 131, 'rot3': 9, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 1809, 'x': 215.438, 'y': -0.813, 'z': 173.25, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.591, 'thr4': 26.116, 'thr5': 26.014, 'cur0': 2.0, 'cur1': 0.2, 'cur2': 2.2, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 4, 'rot1': 119, 'rot2': 131, 'rot3': 9, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1820}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 2179, 'x': 218.0, 'y': -1.0, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.218, 'thr1': -86.987, 'thr2': 23.391, 'thr3': 23.491, 'thr4': 26.014, 'thr5': 26.014, 'cur0': 2.1, 'cur1': 0.2, 'cur2': 2.2, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 4, 'rot1': 119, 'rot2': 131, 'rot3': 9, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1820}
{'lat': 26.221476609, 'lon': 127.667905638, 'time': 2179, 'x': 218.0, 'y': -1.0, 'z': 172.75, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 26.218, 'thr1': -86.987, 'thr2': 23.391, 'thr3': 23.491, 'thr4': 26.014, 'thr5': 26.014, 'cur0': 2.1, 'cur1': 0.2, 'cur2': 2.2, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 11, 'rot1': 303, 'rot2': 306, 'rot3': 9, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1820}
