{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221525369, 'lon': 'n/a'}
{'lat': 26.221525369, 'lon': 127.667930795}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1082, 'x': 203.563, 'y': -0.813, 'z': 173.5}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1082, 'x': 203.563, 'y': -0.813, 'z': 173.5, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1082, 'x': 203.563, 'y': -0.813, 'z': 173.5, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.171, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1082, 'x': 203.563, 'y': -0.813, 'z': 173.5, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.171, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 3.0}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1082, 'x': 203.563, 'y': -0.813, 'z': 173.5, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.171, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1082, 'x': 203.563, 'y': -0.813, 'z': 173.5, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.171, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1445, 'x': 202.875, 'y': -1.125, 'z': 173.5, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.171, 'thr5': 27.139, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1445, 'x': 202.875, 'y': -1.125, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.275, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1445, 'x': 202.875, 'y': -1.125, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.275, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1445, 'x': 202.875, 'y': -1.125, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.275, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1445, 'x': 202.875, 'y': -1.125, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.275, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1810, 'x': 202.875, 'y': -1.125, 'z': 172.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.275, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1810, 'x': 202.625, 'y': -1.375, 'z': 172.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 23.091, 'thr3': 23.191, 'thr4': 28.275, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1810, 'x': 202.625, 'y': -1.375, 'z': 172.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.491, 'thr4': 28.378, 'thr5': 27.654, 'cur0': 10.3, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1810, 'x': 202.625, 'y': -1.375, 'z': 172.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.491, 'thr4': 28.378, 'thr5': 27.654, 'cur0': 10.3, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 4.0, 'cel5': 4.3, 'rot0': 10, 'rot1': 118, 'rot2': 181, 'rot3': 222, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221533466, 'lon': 127.667930795, 'time': 1810, 'x': 202.625, 'y': -1.375, 'z': 172.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 23.491, 'thr3': 23.491, 'thr4': 28.378, 'thr5': 27.654, 'cur0': 10.3, 'cur1': 0.4, 'cur2': 12.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 4.0, 'cel5': 4.3, 'rot0': 10, 'rot1': 118, 'rot2': 181, 'rot3': 222, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
