{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221516552, 'lon': 127.667916759}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1074, 'x': 0.0, 'y': 0.0}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1074, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1074, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 25.608}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1074, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 25.506, 'thr4': 31.541}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1074, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 25.506, 'thr4': 31.541, 'thr5': 33.493, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1074, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 25.506, 'thr4': 31.541, 'thr5': 33.493, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1074, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 29.003, 'thr1': -273.15, 'thr2': 25.608, 'thr3': 25.506, 'thr4': 31.541, 'thr5': 33.493, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1432, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 25.506, 'thr3': 25.405, 'thr4': 31.541, 'thr5': 33.493, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1432, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 25.506, 'thr3': 25.405, 'thr4': 31.327, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1432, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 25.506, 'thr3': 25.405, 'thr4': 31.327, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1083}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1432, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.899, 'thr1': -273.15, 'thr2': 25.506, 'thr3': 25.405, 'thr4': 31.327, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1441}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1792, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -75.178, 'thr2': 25.506, 'thr3': 25.608, 'thr4': 31.327, 'thr5': 33.274, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1441}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1792, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -75.178, 'thr2': 25.506, 'thr3': 25.608, 'thr4': 31.434, 'thr5': 33.603, 'cur0': 10.8, 'cur1': 0.4, 'cur2': 12.4, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1441}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1792, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -75.178, 'thr2': 25.506, 'thr3': 25.608, 'thr4': 31.434, 'thr5': 33.603, 'cur0': 10.8, 'cur1': 0.4, 'cur2': 12.4, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1441}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 1792, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -75.178, 'thr2': 25.506, 'thr3': 25.608, 'thr4': 31.434, 'thr5': 33.603, 'cur0': 10.8, 'cur1': 0.4, 'cur2': 12.4, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 18, 'rot1': 242, 'rot2': 99, 'rot3': 269, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1441}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 2157, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 25.304, 'thr3': 25.506, 'thr4': 31.22, 'thr5': 33.274, 'cur0': 10.8, 'cur1': 0.4, 'cur2': 12.4, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 18, 'rot1': 242, 'rot2': 99, 'rot3': 269, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1803}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 2157, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 25.304, 'thr3': 25.506, 'thr4': 31.22, 'thr5': 33.274, 'cur0': 10.6, 'cur1': 0.4, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.6, 'cel4': 3.8, 'cel5': 4.1, 'rot0': 18, 'rot1': 242, 'rot2': 99, 'rot3': 269, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1803}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 2157, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 25.304, 'thr3': 25.506, 'thr4': 31.22, 'thr5': 33.274, 'cur0': 10.6, 'cur1': 0.4, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 3.9, 'rot0': 18, 'rot1': 242, 'rot2': 99, 'rot3': 269, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1803}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 2157, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 25.304, 'thr3': 25.506, 'thr4': 31.22, 'thr5': 33.274, 'cur0': 10.6, 'cur1': 0.4, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 3.9, 'rot0': 34, 'rot1': 322, 'rot2': 200, 'rot3': 439, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1803}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 2526, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -79.71, 'thr2': 25.304, 'thr3': 25.608, 'thr4': 31.327, 'thr5': 33.383, 'cur0': 10.9, 'cur1': 0.4, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.2, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 3.9, 'rot0': 34, 'rot1': 322, 'rot2': 200, 'rot3': 439, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2168}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 2526, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -79.71, 'thr2': 25.304, 'thr3': 25.608, 'thr4': 31.327, 'thr5': 33.383, 'cur0': 10.9, 'cur1': 0.4, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.1, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 49, 'rot1': 414, 'rot2': 322, 'rot3': 439, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2168}
{'lat': 26.221516552, 'lon': 127.667916759, 'time': 2526, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.1, 'depth': 0.3, 'thr0': 28.794, 'thr1': -79.71, 'thr2': 25.304, 'thr3': 25.608, 'thr4': 31.327, 'thr5': 33.383, 'cur0': 10.9, 'cur1': 0.4, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 3.1, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 49, 'rot1': 414, 'rot2': 322, 'rot3': 620, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2537}
