{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221481351, 'lon': 127.667870341}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 724, 'x': 0.0, 'y': 0.0}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 724, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.1}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 724, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 33.933, 'thr3': 33.493, 'thr4': 31.114}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 724, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 33.933, 'thr3': 33.493, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 724, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 33.933, 'thr3': 33.493, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 724, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 33.933, 'thr3': 33.493, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.3, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 724, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 33.933, 'thr3': 33.493, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.3, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1072, 'x': 169.313, 'y': 0.688, 'z': 0.0, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 33.933, 'thr3': 33.493, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.3, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1072, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 33.933, 'thr3': 33.493, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.3, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1072, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.482, 'thr1': -273.15, 'thr2': 33.933, 'thr3': 33.493, 'thr4': 31.114, 'thr5': 32.62, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.3, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1072, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.482, 'thr1': -273.15, 'thr2': 34.597, 'thr3': 34.154, 'thr4': 31.327, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.6, 'cel2': 2.3, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1072, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.482, 'thr1': -273.15, 'thr2': 34.597, 'thr3': 34.154, 'thr4': 31.327, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.9, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1072, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.482, 'thr1': -273.15, 'thr2': 34.597, 'thr3': 34.154, 'thr4': 31.327, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1072, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.482, 'thr1': -273.15, 'thr2': 34.597, 'thr3': 34.154, 'thr4': 31.327, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1072, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.482, 'thr1': -273.15, 'thr2': 34.597, 'thr3': 34.154, 'thr4': 31.327, 'thr5': 33.055, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1436, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.375, 'thr3': 34.043, 'thr4': 31.434, 'thr5': 33.055, 'cur0': 4.9, 'cur1': 0.2, 'cur2': 6.2, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.2, 'cel3': 2.8, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1436, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.375, 'thr3': 34.043, 'thr4': 31.434, 'thr5': 33.055, 'cur0': 4.9, 'cur1': 0.2, 'cur2': 6.2, 'cel0': 0.0, 'cel1': 2.4, 'cel2': 2.7, 'cel3': 3.3, 'cel4': 3.4, 'cel5': 3.5, 'rot0': 15, 'rot1': 132, 'rot2': 202, 'rot3': 189, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1436, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.375, 'thr3': 34.043, 'thr4': 31.434, 'thr5': 33.055, 'cur0': 4.9, 'cur1': 0.2, 'cur2': 6.2, 'cel0': 0.0, 'cel1': 2.4, 'cel2': 2.7, 'cel3': 3.3, 'cel4': 3.4, 'cel5': 3.5, 'rot0': 15, 'rot1': 132, 'rot2': 202, 'rot3': 189, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1806, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.434, 'thr5': 33.055, 'cur0': 4.9, 'cur1': 0.2, 'cur2': 6.2, 'cel0': 0.0, 'cel1': 2.4, 'cel2': 2.7, 'cel3': 3.3, 'cel4': 3.4, 'cel5': 3.5, 'rot0': 15, 'rot1': 132, 'rot2': 202, 'rot3': 189, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1806, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.327, 'thr5': 32.837, 'cur0': 4.9, 'cur1': 0.2, 'cur2': 6.2, 'cel0': 0.0, 'cel1': 2.4, 'cel2': 2.7, 'cel3': 3.3, 'cel4': 3.4, 'cel5': 3.5, 'rot0': 15, 'rot1': 132, 'rot2': 202, 'rot3': 189, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1806, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.327, 'thr5': 32.837, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 5.5, 'cel0': 0.0, 'cel1': 2.4, 'cel2': 2.7, 'cel3': 3.3, 'cel4': 3.4, 'cel5': 3.5, 'rot0': 15, 'rot1': 132, 'rot2': 202, 'rot3': 189, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1806, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.327, 'thr5': 32.837, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 5.5, 'cel0': 0.0, 'cel1': 2.3, 'cel2': 2.6, 'cel3': 3.3, 'cel4': 3.4, 'cel5': 3.5, 'rot0': 15, 'rot1': 132, 'rot2': 202, 'rot3': 189, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1806, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.327, 'thr5': 32.837, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 5.5, 'cel0': 0.0, 'cel1': 2.3, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 15, 'rot1': 132, 'rot2': 202, 'rot3': 189, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1806, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.327, 'thr5': 32.837, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 5.5, 'cel0': 0.0, 'cel1': 2.3, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 48, 'rot1': 206, 'rot2': 391, 'rot3': 189, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1806, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.327, 'thr5': 32.837, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 5.5, 'cel0': 0.0, 'cel1': 2.3, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 48, 'rot1': 206, 'rot2': 391, 'rot3': 388, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 1806, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.327, 'thr5': 32.837, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 5.5, 'cel0': 0.0, 'cel1': 2.3, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.2, 'cel5': 3.2, 'rot0': 48, 'rot1': 206, 'rot2': 391, 'rot3': 388, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1817}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 2177, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 34.264, 'thr3': 33.933, 'thr4': 31.114, 'thr5': 32.946, 'cur0': 3.1, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.2, 'cel5': 3.1, 'rot0': 48, 'rot1': 206, 'rot2': 391, 'rot3': 388, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1817}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 2177, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 34.264, 'thr3': 33.933, 'thr4': 31.114, 'thr5': 32.946, 'cur0': 3.1, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.2, 'cel5': 3.1, 'rot0': 81, 'rot1': 206, 'rot2': 391, 'rot3': 388, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1817}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 2177, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 34.264, 'thr3': 33.933, 'thr4': 31.114, 'thr5': 32.946, 'cur0': 3.1, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.2, 'cel5': 3.1, 'rot0': 81, 'rot1': 271, 'rot2': 572, 'rot3': 590, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1817}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 2546, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.114, 'thr5': 32.946, 'cur0': 3.1, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.2, 'cel5': 3.1, 'rot0': 81, 'rot1': 271, 'rot2': 572, 'rot3': 590, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2188}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 2546, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.434, 'thr5': 33.274, 'cur0': 3.1, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.2, 'cel5': 3.1, 'rot0': 81, 'rot1': 271, 'rot2': 572, 'rot3': 590, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2188}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 2546, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.434, 'thr5': 33.274, 'cur0': 3.1, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.5, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.1, 'rot0': 114, 'rot1': 340, 'rot2': 572, 'rot3': 590, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2188}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 2546, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.275, 'thr1': -273.15, 'thr2': 34.486, 'thr3': 33.933, 'thr4': 31.434, 'thr5': 33.274, 'cur0': 3.1, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.5, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.1, 'rot0': 114, 'rot1': 340, 'rot2': 753, 'rot3': 791, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2188}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 2917, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.375, 'thr3': 33.933, 'thr4': 31.327, 'thr5': 32.946, 'cur0': 3.1, 'cur1': 0.1, 'cur2': 5.1, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.5, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.1, 'rot0': 114, 'rot1': 340, 'rot2': 753, 'rot3': 791, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2557}
{'lat': 26.221481351, 'lon': 127.667870341, 'time': 2917, 'x': 169.313, 'y': 0.688, 'z': 172.313, 'watertmp': 26.1, 'depth': 0.1, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 34.375, 'thr3': 33.933, 'thr4': 31.327, 'thr5': 32.946, 'cur0': 3.1, 'cur1': 0.1, 'cur2': 4.9, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.5, 'cel3': 3.1, 'cel4': 3.1, 'cel5': 3.1, 'rot0': 149, 'rot1': 408, 'rot2': 941, 'rot3': 997, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2557}
