{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221555108, 'lon': 127.667998474}
{'lat': 26.221554389, 'lon': 127.667984438, 'time': 6704, 'x': 201.5, 'y': -1.313, 'z': 171.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 26.116, 'thr4': 28.482}
{'lat': 26.221554389, 'lon': 127.667984438, 'time': 6704, 'x': 201.5, 'y': -1.313, 'z': 171.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 26.116, 'thr4': 28.482, 'thr5': 28.067, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.221554389, 'lon': 127.667984438, 'time': 6704, 'x': 201.5, 'y': -1.313, 'z': 171.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 26.116, 'thr4': 28.482, 'thr5': 28.067, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7}
{'lat': 26.221554389, 'lon': 127.667984438, 'time': 6704, 'x': 201.5, 'y': -1.313, 'z': 171.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 26.116, 'thr4': 28.482, 'thr5': 28.067, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0}
{'lat': 26.221554389, 'lon': 127.667984438, 'time': 6704, 'x': 201.5, 'y': -1.313, 'z': 171.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 26.116, 'thr4': 28.482, 'thr5': 28.067, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0}
{'lat': 26.221554389, 'lon': 127.667984438, 'time': 6704, 'x': 201.5, 'y': -1.313, 'z': 171.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 26.116, 'thr4': 28.482, 'thr5': 28.067, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221554389, 'lon': 127.667984438, 'time': 7802, 'x': 200.563, 'y': -0.875, 'z': 172.625, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 26.32, 'thr4': 28.69, 'thr5': 28.69, 'cur0': 10.1, 'cur1': 0.4, 'cur2': 12.2, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 3.9, 'rot0': 26, 'rot1': 91, 'rot2': 66, 'rot3': 404, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 7814}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8175, 'x': 198.75, 'y': -1.0, 'z': 172.938, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.242, 'thr1': -79.71, 'thr2': 26.729, 'thr3': 26.218, 'thr4': 28.586, 'thr5': 28.482, 'cur0': 10.5, 'cur1': 0.3, 'cur2': 11.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 41, 'rot1': 114, 'rot2': 93, 'rot3': 568, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8186}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8546, 'x': 196.875, 'y': -0.313, 'z': 170.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.242, 'thr1': -79.71, 'thr2': 26.729, 'thr3': 26.218, 'thr4': 28.586, 'thr5': 28.482, 'cur0': 10.5, 'cur1': 0.3, 'cur2': 11.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 41, 'rot1': 114, 'rot2': 93, 'rot3': 568, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8186}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8546, 'x': 196.875, 'y': -0.313, 'z': 170.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.116, 'thr4': 28.586, 'thr5': 28.482, 'cur0': 10.5, 'cur1': 0.3, 'cur2': 11.5, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 41, 'rot1': 114, 'rot2': 93, 'rot3': 568, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8186}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8546, 'x': 196.875, 'y': -0.313, 'z': 170.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.116, 'thr4': 28.482, 'thr5': 28.69, 'cur0': 10.1, 'cur1': 0.4, 'cur2': 12.3, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 41, 'rot1': 114, 'rot2': 93, 'rot3': 568, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8186}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8546, 'x': 196.875, 'y': -0.313, 'z': 170.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.116, 'thr4': 28.482, 'thr5': 28.69, 'cur0': 10.1, 'cur1': 0.4, 'cur2': 12.3, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 56, 'rot1': 114, 'rot2': 93, 'rot3': 568, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8186}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8546, 'x': 196.875, 'y': -0.313, 'z': 170.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.116, 'thr4': 28.482, 'thr5': 28.69, 'cur0': 10.1, 'cur1': 0.4, 'cur2': 12.3, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 56, 'rot1': 142, 'rot2': 117, 'rot3': 730, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8186}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8919, 'x': 195.063, 'y': -0.938, 'z': 170.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.116, 'thr4': 28.482, 'thr5': 28.69, 'cur0': 10.1, 'cur1': 0.4, 'cur2': 12.3, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 56, 'rot1': 142, 'rot2': 117, 'rot3': 730, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8557}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8919, 'x': 195.063, 'y': -0.938, 'z': 170.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.037, 'thr1': -79.71, 'thr2': 26.934, 'thr3': 26.116, 'thr4': 28.482, 'thr5': 28.69, 'cur0': 10.1, 'cur1': 0.4, 'cur2': 12.3, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 56, 'rot1': 142, 'rot2': 117, 'rot3': 730, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8557}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8919, 'x': 195.063, 'y': -0.938, 'z': 170.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.037, 'thr1': -79.71, 'thr2': 26.525, 'thr3': 26.32, 'thr4': 28.378, 'thr5': 28.69, 'cur0': 10.1, 'cur1': 0.4, 'cur2': 12.3, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 56, 'rot1': 142, 'rot2': 117, 'rot3': 730, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8557}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8919, 'x': 195.063, 'y': -0.938, 'z': 170.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.037, 'thr1': -79.71, 'thr2': 26.525, 'thr3': 26.32, 'thr4': 28.378, 'thr5': 28.482, 'cur0': 10.5, 'cur1': 0.4, 'cur2': 11.2, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.6, 'cel5': 3.7, 'rot0': 56, 'rot1': 142, 'rot2': 117, 'rot3': 730, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8557}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8919, 'x': 195.063, 'y': -0.938, 'z': 170.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.037, 'thr1': -79.71, 'thr2': 26.525, 'thr3': 26.32, 'thr4': 28.378, 'thr5': 28.482, 'cur0': 10.5, 'cur1': 0.4, 'cur2': 11.2, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 72, 'rot1': 142, 'rot2': 117, 'rot3': 730, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8557}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 8919, 'x': 195.063, 'y': -0.938, 'z': 170.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.037, 'thr1': -79.71, 'thr2': 26.525, 'thr3': 26.32, 'thr4': 28.378, 'thr5': 28.482, 'cur0': 10.5, 'cur1': 0.4, 'cur2': 11.2, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 72, 'rot1': 170, 'rot2': 142, 'rot3': 894, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8557}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 9290, 'x': 194.375, 'y': -0.938, 'z': 169.5, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 26.422, 'thr4': 28.69, 'thr5': 28.482, 'cur0': 10.5, 'cur1': 0.4, 'cur2': 11.2, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 72, 'rot1': 170, 'rot2': 142, 'rot3': 894, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8930}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 9290, 'x': 194.375, 'y': -0.938, 'z': 169.5, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 26.422, 'thr4': 28.69, 'thr5': 28.69, 'cur0': 11.3, 'cur1': 0.3, 'cur2': 10.8, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.0, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 72, 'rot1': 170, 'rot2': 142, 'rot3': 894, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8930}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 9290, 'x': 194.375, 'y': -0.938, 'z': 169.5, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 26.422, 'thr4': 28.69, 'thr5': 28.69, 'cur0': 11.3, 'cur1': 0.3, 'cur2': 10.8, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.0, 'cel3': 3.4, 'cel4': 3.4, 'cel5': 3.6, 'rot0': 89, 'rot1': 190, 'rot2': 169, 'rot3': 894, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 8930}
{'lat': 26.221551952, 'lon': 127.667992359, 'time': 9665, 'x': 192.0, 'y': 0.188, 'z': 167.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -86.987, 'thr2': 26.627, 'thr3': 26.32, 'thr4': 28.586, 'thr5': 28.586, 'cur0': 11.5, 'cur1': 0.4, 'cur2': 10.9, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.0, 'cel3': 3.3, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 105, 'rot1': 209, 'rot2': 200, 'rot3': 1200, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 9676}
{'lat': 26.221555108, 'lon': 127.667998474, 'time': 9665, 'x': 192.0, 'y': 0.188, 'z': 167.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -86.987, 'thr2': 26.627, 'thr3': 26.32, 'thr4': 28.586, 'thr5': 28.586, 'cur0': 11.5, 'cur1': 0.4, 'cur2': 10.9, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.0, 'cel3': 3.3, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 105, 'rot1': 209, 'rot2': 200, 'rot3': 1200, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 9676}
{'lat': 26.221555108, 'lon': 127.667998474, 'time': 10038, 'x': 191.5, 'y': 0.188, 'z': 167.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -86.987, 'thr2': 26.627, 'thr3': 26.32, 'thr4': 28.586, 'thr5': 28.586, 'cur0': 11.5, 'cur1': 0.4, 'cur2': 10.9, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.0, 'cel3': 3.3, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 105, 'rot1': 209, 'rot2': 200, 'rot3': 1200, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 9676}
{'lat': 26.221555108, 'lon': 127.667998474, 'time': 10038, 'x': 191.5, 'y': 0.375, 'z': 169.5, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -86.987, 'thr2': 26.627, 'thr3': 26.32, 'thr4': 28.586, 'thr5': 28.586, 'cur0': 11.5, 'cur1': 0.4, 'cur2': 10.9, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.0, 'cel3': 3.3, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 105, 'rot1': 209, 'rot2': 200, 'rot3': 1200, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 9676}
{'lat': 26.221555108, 'lon': 127.667998474, 'time': 10038, 'x': 191.5, 'y': 0.375, 'z': 169.5, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 26.729, 'thr3': 26.422, 'thr4': 28.794, 'thr5': 28.899, 'cur0': 11.5, 'cur1': 0.4, 'cur2': 10.9, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.0, 'cel3': 3.3, 'cel4': 3.5, 'cel5': 3.6, 'rot0': 105, 'rot1': 209, 'rot2': 200, 'rot3': 1200, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 9676}
