{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1072, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1072, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.697, 'thr1': -86.987, 'thr2': 25.0, 'thr3': 25.405}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1072, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.697, 'thr1': -86.987, 'thr2': 25.0, 'thr3': 25.405, 'thr4': 28.171, 'thr5': 24.596, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1072, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.697, 'thr1': -86.987, 'thr2': 25.0, 'thr3': 25.405, 'thr4': 28.171, 'thr5': 24.596, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1072, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.697, 'thr1': -86.987, 'thr2': 25.0, 'thr3': 25.405, 'thr4': 28.171, 'thr5': 24.596, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1072, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.697, 'thr1': -86.987, 'thr2': 25.0, 'thr3': 25.405, 'thr4': 28.171, 'thr5': 24.596, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1072, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.697, 'thr1': -86.987, 'thr2': 25.0, 'thr3': 25.405, 'thr4': 28.171, 'thr5': 24.596, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1072, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.697, 'thr1': -86.987, 'thr2': 25.0, 'thr3': 25.405, 'thr4': 28.171, 'thr5': 24.596, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1434, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 25.405, 'thr3': 25.405, 'thr4': 28.171, 'thr5': 24.596, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1434, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 25.405, 'thr3': 25.405, 'thr4': 28.378, 'thr5': 24.697, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1434, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 25.405, 'thr3': 25.405, 'thr4': 28.378, 'thr5': 24.697, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1434, 'x': 167.313, 'y': 0.813, 'z': 172.375, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 25.405, 'thr3': 25.405, 'thr4': 28.378, 'thr5': 24.697, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1798, 'x': 167.313, 'y': 0.813, 'z': 172.438, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 25.405, 'thr3': 25.405, 'thr4': 28.378, 'thr5': 24.697, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1798, 'x': 167.313, 'y': 0.813, 'z': 172.438, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.608, 'thr4': 28.378, 'thr5': 24.697, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1798, 'x': 167.313, 'y': 0.813, 'z': 172.438, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.608, 'thr4': 28.378, 'thr5': 24.697, 'cur0': 5.2, 'cur1': 0.1, 'cur2': 5.4, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1798, 'x': 167.313, 'y': 0.813, 'z': 172.438, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.608, 'thr4': 28.378, 'thr5': 24.697, 'cur0': 5.2, 'cur1': 0.1, 'cur2': 5.4, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.5, 'cel3': 3.0, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1798, 'x': 167.313, 'y': 0.813, 'z': 172.438, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.608, 'thr4': 28.378, 'thr5': 24.697, 'cur0': 5.2, 'cur1': 0.1, 'cur2': 5.4, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.5, 'cel3': 3.0, 'cel4': 3.2, 'cel5': 3.4, 'rot0': 16, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221449439, 'lon': 127.667849492, 'time': 1798, 'x': 167.313, 'y': 0.813, 'z': 172.438, 'watertmp': 27.9, 'depth': 0.1, 'thr0': 24.899, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.608, 'thr4': 28.378, 'thr5': 24.697, 'cur0': 5.2, 'cur1': 0.1, 'cur2': 5.4, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.5, 'cel3': 3.0, 'cel4': 3.2, 'cel5': 3.4, 'rot0': 16, 'rot1': 167, 'rot2': 144, 'rot3': 127, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
