{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221517126, 'lon': 127.66800028}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 1081, 'x': 169.875, 'y': -0.375, 'z': 171.063}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 1081, 'x': 169.875, 'y': -0.375, 'z': 171.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 1081, 'x': 169.875, 'y': -0.375, 'z': 171.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.139, 'thr4': 29.212, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 1081, 'x': 169.875, 'y': -0.375, 'z': 171.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.139, 'thr4': 29.212, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 1081, 'x': 169.875, 'y': -0.375, 'z': 171.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.139, 'thr4': 29.212, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 1081, 'x': 169.875, 'y': -0.375, 'z': 171.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 27.139, 'thr4': 29.212, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 2182, 'x': 167.875, 'y': -1.25, 'z': 171.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 27.139, 'thr3': 26.832, 'thr4': 29.003, 'thr5': 29.422, 'cur0': 10.1, 'cur1': 0.4, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 4.1, 'rot0': 45, 'rot1': 74, 'rot2': 132, 'rot3': 237, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 2182, 'x': 167.875, 'y': -1.25, 'z': 171.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 29.003, 'thr5': 29.212, 'cur0': 10.1, 'cur1': 0.4, 'cur2': 12.1, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 4.1, 'rot0': 45, 'rot1': 74, 'rot2': 132, 'rot3': 237, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 2182, 'x': 167.875, 'y': -1.25, 'z': 171.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 29.003, 'thr5': 29.212, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 11.9, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 4.1, 'rot0': 45, 'rot1': 74, 'rot2': 132, 'rot3': 237, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 2182, 'x': 167.875, 'y': -1.25, 'z': 171.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 29.003, 'thr5': 29.212, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 11.9, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 59, 'rot1': 74, 'rot2': 132, 'rot3': 237, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 2182, 'x': 167.875, 'y': -1.25, 'z': 171.875, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 29.003, 'thr5': 29.212, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 11.9, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 59, 'rot1': 100, 'rot2': 167, 'rot3': 408, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1821}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 2556, 'x': 166.063, 'y': -1.25, 'z': 171.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 29.003, 'thr5': 29.212, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 11.9, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 59, 'rot1': 100, 'rot2': 167, 'rot3': 408, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2193}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 2556, 'x': 166.063, 'y': -1.25, 'z': 171.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.654, 'thr1': -75.178, 'thr2': 27.037, 'thr3': 26.627, 'thr4': 28.69, 'thr5': 29.212, 'cur0': 10.0, 'cur1': 0.3, 'cur2': 11.9, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 59, 'rot1': 100, 'rot2': 167, 'rot3': 408, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2193}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 2556, 'x': 166.063, 'y': -1.25, 'z': 171.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.654, 'thr1': -75.178, 'thr2': 27.037, 'thr3': 26.627, 'thr4': 28.69, 'thr5': 29.003, 'cur0': 10.3, 'cur1': 0.3, 'cur2': 11.6, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.7, 'rot0': 74, 'rot1': 141, 'rot2': 193, 'rot3': 408, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2193}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 2556, 'x': 166.063, 'y': -1.25, 'z': 171.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.654, 'thr1': -75.178, 'thr2': 27.037, 'thr3': 26.627, 'thr4': 28.69, 'thr5': 29.003, 'cur0': 10.3, 'cur1': 0.3, 'cur2': 11.6, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.7, 'rot0': 74, 'rot1': 141, 'rot2': 193, 'rot3': 575, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2568}
{'lat': 26.221517126, 'lon': 127.66800028, 'time': 2928, 'x': 164.0, 'y': -0.625, 'z': 171.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.654, 'thr1': -75.178, 'thr2': 27.037, 'thr3': 26.627, 'thr4': 28.69, 'thr5': 29.003, 'cur0': 10.3, 'cur1': 0.3, 'cur2': 11.6, 'cel0': 0.0, 'cel1': 3.0, 'cel2': 3.1, 'cel3': 3.4, 'cel4': 3.5, 'cel5': 3.7, 'rot0': 74, 'rot1': 141, 'rot2': 193, 'rot3': 575, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2568}
