{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221507214, 'lon': 127.667917868}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1072}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1072, 'x': 76.875, 'y': 8.5, 'z': 173.125}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1072, 'x': 76.875, 'y': 8.5, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1072, 'x': 76.875, 'y': 8.5, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 28.899}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1072, 'x': 76.875, 'y': 8.5, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 28.899, 'thr4': 29.947, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1072, 'x': 76.875, 'y': 8.5, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 28.899, 'thr4': 29.947, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1072, 'x': 76.875, 'y': 8.5, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 28.899, 'thr4': 29.947, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1072, 'x': 76.875, 'y': 8.5, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 28.899, 'thr4': 29.947, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1435, 'x': 76.875, 'y': 8.5, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 28.899, 'thr4': 29.947, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1435, 'x': 76.875, 'y': 8.563, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.69, 'thr1': -86.987, 'thr2': 27.551, 'thr3': 28.899, 'thr4': 29.947, 'thr5': 29.422, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1435, 'x': 76.875, 'y': 8.563, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.69, 'thr1': -86.987, 'thr2': 27.654, 'thr3': 28.794, 'thr4': 29.632, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221507214, 'lon': 127.667917868, 'time': 1435, 'x': 76.875, 'y': 8.563, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.69, 'thr1': -86.987, 'thr2': 27.654, 'thr3': 28.794, 'thr4': 29.632, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221504057, 'lon': 127.667911753, 'time': 1435, 'x': 76.875, 'y': 8.563, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.69, 'thr1': -86.987, 'thr2': 27.654, 'thr3': 28.794, 'thr4': 29.632, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221504057, 'lon': 127.667911753, 'time': 1796, 'x': 76.875, 'y': 8.563, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -86.987, 'thr2': 27.654, 'thr3': 28.794, 'thr4': 29.632, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221504057, 'lon': 127.667911753, 'time': 1796, 'x': 76.875, 'y': 8.563, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 28.899, 'thr4': 30.158, 'thr5': 29.632, 'cur0': 5.1, 'cur1': 0.1, 'cur2': 6.4, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.3, 'cel5': 3.4, 'rot0': 13, 'rot1': 37, 'rot2': 110, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1445}
{'lat': 26.221504057, 'lon': 127.667911753, 'time': 1796, 'x': 76.875, 'y': 8.563, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 28.899, 'thr4': 30.158, 'thr5': 29.632, 'cur0': 5.1, 'cur1': 0.1, 'cur2': 6.4, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.3, 'cel5': 3.4, 'rot0': 13, 'rot1': 37, 'rot2': 110, 'rot3': 96, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1807}
{'lat': 26.221504057, 'lon': 127.667911753, 'time': 2162, 'x': 76.875, 'y': 8.563, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 28.899, 'thr4': 30.158, 'thr5': 29.632, 'cur0': 5.1, 'cur1': 0.1, 'cur2': 6.4, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.3, 'cel5': 3.4, 'rot0': 13, 'rot1': 37, 'rot2': 110, 'rot3': 96, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1807}
{'lat': 26.221504057, 'lon': 127.667911753, 'time': 2162, 'x': 76.875, 'y': 8.563, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.212, 'thr4': 30.158, 'thr5': 29.632, 'cur0': 5.1, 'cur1': 0.1, 'cur2': 6.4, 'cel0': 0.0, 'cel1': 2.2, 'cel2': 2.6, 'cel3': 3.1, 'cel4': 3.3, 'cel5': 3.4, 'rot0': 13, 'rot1': 37, 'rot2': 110, 'rot3': 96, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1807}
{'lat': 26.221504057, 'lon': 127.667911753, 'time': 2162, 'x': 76.875, 'y': 8.563, 'z': 173.125, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 29.212, 'thr4': 29.947, 'thr5': 29.737, 'cur0': 4.1, 'cur1': 0.1, 'cur2': 5.3, 'cel0': 0.0, 'cel1': 2.1, 'cel2': 2.5, 'cel3': 3.1, 'cel4': 3.3, 'cel5': 3.4, 'rot0': 13, 'rot1': 37, 'rot2': 110, 'rot3': 96, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1807}
