{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221452416, 'lon': 127.668010007}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1072, 'x': 180.625, 'y': 0.25, 'z': 171.875, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 27.139, 'thr1': -273.15, 'thr2': 26.116, 'thr3': 26.116, 'thr4': 28.899, 'thr5': 27.551, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1434, 'x': 181.0, 'y': -0.5, 'z': 171.875, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 27.139, 'thr1': -273.15, 'thr2': 26.116, 'thr3': 26.116, 'thr4': 28.899, 'thr5': 27.551, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1434, 'x': 181.0, 'y': -0.5, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 26.116, 'thr3': 26.116, 'thr4': 28.899, 'thr5': 27.551, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1434, 'x': 181.0, 'y': -0.5, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 26.014, 'thr3': 25.913, 'thr4': 28.586, 'thr5': 27.551, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1081}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1434, 'x': 181.0, 'y': -0.5, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 26.014, 'thr3': 25.913, 'thr4': 28.586, 'thr5': 27.448, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1799, 'x': 181.0, 'y': -0.625, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 26.832, 'thr1': -273.15, 'thr2': 26.014, 'thr3': 25.913, 'thr4': 28.586, 'thr5': 27.448, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1799, 'x': 181.0, 'y': -0.625, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 26.934, 'thr1': -86.987, 'thr2': 26.116, 'thr3': 25.913, 'thr4': 28.586, 'thr5': 27.448, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1799, 'x': 181.0, 'y': -0.625, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 26.934, 'thr1': -86.987, 'thr2': 26.116, 'thr3': 26.116, 'thr4': 28.899, 'thr5': 27.551, 'cur0': 11.2, 'cur1': 0.4, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1799, 'x': 181.0, 'y': -0.625, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 26.934, 'thr1': -86.987, 'thr2': 26.116, 'thr3': 26.116, 'thr4': 28.899, 'thr5': 27.551, 'cur0': 11.2, 'cur1': 0.4, 'cur2': 12.4, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.0, 'cel3': 3.5, 'cel4': 2.7, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1799, 'x': 181.0, 'y': -0.625, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 26.934, 'thr1': -86.987, 'thr2': 26.116, 'thr3': 26.116, 'thr4': 28.899, 'thr5': 27.551, 'cur0': 11.2, 'cur1': 0.4, 'cur2': 12.4, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.0, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 3.9, 'rot0': 70, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1444}
{'lat': 26.221452416, 'lon': 127.668010007, 'time': 1799, 'x': 181.0, 'y': -0.625, 'z': 172.75, 'watertmp': 26.5, 'depth': 0.2, 'thr0': 26.934, 'thr1': -86.987, 'thr2': 26.116, 'thr3': 26.116, 'thr4': 28.899, 'thr5': 27.551, 'cur0': 11.2, 'cur1': 0.4, 'cur2': 12.4, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.0, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 3.9, 'rot0': 70, 'rot1': 290, 'rot2': 241, 'rot3': 155, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1810}
