{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221487961, 'lon': 127.668016122}
{'lat': 26.221485524, 'lon': 127.668024044}
{'lat': 26.221488681, 'lon': 127.668030159}
{'lat': 26.221478147, 'lon': 127.668030159}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 6695, 'x': 186.125, 'y': 0.0, 'z': 173.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 27.551}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 6695, 'x': 186.125, 'y': 0.0, 'z': 173.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 27.551, 'thr4': 28.69, 'thr5': 27.654, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6705}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 7059, 'x': 185.75, 'y': -0.688, 'z': 171.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 27.448, 'thr4': 29.003, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7068}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 7422, 'x': 184.25, 'y': -2.313, 'z': 173.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 27.448, 'thr4': 29.003, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7068}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 7422, 'x': 184.25, 'y': -2.313, 'z': 173.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -86.987, 'thr2': 27.757, 'thr3': 27.654, 'thr4': 29.003, 'thr5': 28.275, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7068}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 7422, 'x': 184.25, 'y': -2.313, 'z': 173.563, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.345, 'thr1': -86.987, 'thr2': 27.757, 'thr3': 27.654, 'thr4': 29.003, 'thr5': 28.378, 'cur0': 10.4, 'cur1': 0.3, 'cur2': 11.6, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7068}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 7794, 'x': 182.438, 'y': -1.875, 'z': 172.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.242, 'thr1': -86.987, 'thr2': 27.448, 'thr3': 27.654, 'thr4': 29.003, 'thr5': 28.378, 'cur0': 10.4, 'cur1': 0.3, 'cur2': 11.6, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 4.0, 'rot0': 42, 'rot1': 60, 'rot2': 157, 'rot3': 126, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7434}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 7794, 'x': 182.438, 'y': -1.875, 'z': 172.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.242, 'thr1': -86.987, 'thr2': 27.448, 'thr3': 27.448, 'thr4': 28.586, 'thr5': 28.067, 'cur0': 10.4, 'cur1': 0.3, 'cur2': 11.6, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.7, 'cel5': 4.0, 'rot0': 42, 'rot1': 60, 'rot2': 157, 'rot3': 126, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7434}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 7794, 'x': 182.438, 'y': -1.875, 'z': 172.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.242, 'thr1': -86.987, 'thr2': 27.448, 'thr3': 27.448, 'thr4': 28.586, 'thr5': 28.067, 'cur0': 10.1, 'cur1': 0.3, 'cur2': 11.3, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 42, 'rot1': 60, 'rot2': 157, 'rot3': 126, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7434}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 7794, 'x': 182.438, 'y': -1.875, 'z': 172.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.242, 'thr1': -86.987, 'thr2': 27.448, 'thr3': 27.448, 'thr4': 28.586, 'thr5': 28.067, 'cur0': 10.1, 'cur1': 0.3, 'cur2': 11.3, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 56, 'rot1': 84, 'rot2': 184, 'rot3': 126, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7434}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 7794, 'x': 182.438, 'y': -1.875, 'z': 172.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.242, 'thr1': -86.987, 'thr2': 27.448, 'thr3': 27.448, 'thr4': 28.586, 'thr5': 28.067, 'cur0': 10.1, 'cur1': 0.3, 'cur2': 11.3, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 56, 'rot1': 84, 'rot2': 184, 'rot3': 309, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 7434}
{'lat': 26.221478147, 'lon': 127.66803808, 'time': 8167, 'x': 179.875, 'y': -1.563, 'z': 172.063, 'watertmp': 26.4, 'depth': 0.3, 'thr0': 27.242, 'thr1': -86.987, 'thr2': 27.448, 'thr3': 27.448, 'thr4': 28.586, 'thr5': 28.067, 'cur0': 10.1, 'cur1': 0.3, 'cur2': 11.3, 'cel0': 0.0, 'cel1': 2.9, 'cel2': 3.1, 'cel3': 3.5, 'cel4': 3.6, 'cel5': 3.9, 'rot0': 56, 'rot1': 84, 'rot2': 184, 'rot3': 309, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 7805}
