{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 3.0, 'cel5': 3.1}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1082, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.399, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1447, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 21.3, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.3, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1458}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1810, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.3, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1820}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2176, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 21.498, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1820}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2176, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 21.498, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1820}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2538, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.696, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 21.498, 'thr5': 21.696, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2186}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2903, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.597, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.399, 'thr4': 21.003, 'thr5': 21.399, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2548}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2903, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.193, 'thr4': 21.796, 'thr5': 21.895, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2548}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3267, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.193, 'thr4': 21.796, 'thr5': 21.895, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2913}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3267, 'x': 189.75, 'y': -0.625, 'z': 172.438, 'watertmp': 25.6, 'depth': 0.1, 'thr0': 21.796, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 21.3, 'thr5': 21.796, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2913}
