{}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.8}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.492}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 21.895}
{'lat': 'n/a', 'lon': 'n/a', 'time': 735, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 3.1, 'cel5': 3.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 744}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1446, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.796, 'thr4': 22.193, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1446, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.796, 'thr4': 22.193, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 3.0, 'cel5': 3.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1809, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 3.0, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2538, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 22.094, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2547}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2902, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 21.696, 'thr3': 21.498, 'thr4': 21.895, 'thr5': 22.094, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2912}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3630, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 22.193, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3276}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3995, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.696, 'thr3': 21.498, 'thr4': 21.796, 'thr5': 22.094, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4004}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4358, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 22.293, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4367}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4723, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 22.492, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 22.293, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4367}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4723, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 25.8, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 22.293, 'thr5': 22.293, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4367}
