{}
{'lat': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 276947, 'x': 189.438, 'y': -0.563, 'z': 172.563}
{'lat': 'n/a', 'lon': 'n/a', 'time': 276947, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 21.994, 'thr5': 22.193}
{'lat': 'n/a', 'lon': 'n/a', 'time': 276947, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5}
{'lat': 'n/a', 'lon': 'n/a', 'time': 276947, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 276958}
{'lat': 'n/a', 'lon': 'n/a', 'time': 277317, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.696, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 276958}
{'lat': 'n/a', 'lon': 'n/a', 'time': 277317, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.895, 'thr4': 22.293, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 276958}
{'lat': 'n/a', 'lon': 'n/a', 'time': 278052, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.592, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 22.094, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 277695}
{'lat': 'n/a', 'lon': 'n/a', 'time': 278421, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.895, 'thr3': 21.498, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 278062}
{'lat': 'n/a', 'lon': 'n/a', 'time': 278789, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.592, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.994, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 278430}
{'lat': 'n/a', 'lon': 'n/a', 'time': 278789, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.592, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.994, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 278798}
{'lat': 'n/a', 'lon': 'n/a', 'time': 279156, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.592, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.994, 'thr4': 22.293, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 278798}
{'lat': 'n/a', 'lon': 'n/a', 'time': 279156, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 21.994, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.498, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 278798}
{'lat': 'n/a', 'lon': 'n/a', 'time': 279526, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 279166}
{'lat': 'n/a', 'lon': 'n/a', 'time': 279526, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 279535}
{'lat': 'n/a', 'lon': 'n/a', 'time': 279895, 'x': 189.438, 'y': -0.563, 'z': 172.563, 'watertmp': 26.0, 'depth': 0.1, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.498, 'thr4': 21.895, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.8, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 279535}
