{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.22145472, 'lon': 127.667982632, 'time': 726, 'x': 0.0}
{'lat': 26.22145472, 'lon': 127.667982632, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.5}
{'lat': 26.22145472, 'lon': 127.667982632, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 24.899, 'thr4': 29.737, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.22145472, 'lon': 127.667982632, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 24.899, 'thr4': 29.737, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.8}
{'lat': 26.22145472, 'lon': 127.667982632, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 24.899, 'thr4': 29.737, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.5, 'cel5': 4.2, 'rot0': 34, 'rot1': 0}
{'lat': 26.22145472, 'lon': 127.667982632, 'time': 726, 'x': 0.0, 'y': 0.0, 'z': 0.0, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 24.899, 'thr4': 29.737, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.5, 'cel5': 4.2, 'rot0': 34, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.22145472, 'lon': 127.667982632, 'time': 1074, 'x': 176.438, 'y': 0.0, 'z': 172.125, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 24.899, 'thr4': 29.737, 'thr5': 28.899, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.5, 'cel5': 4.2, 'rot0': 34, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.22145472, 'lon': 127.667982632, 'time': 1074, 'x': 176.438, 'y': 0.0, 'z': 172.125, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 25.405, 'thr4': 30.053, 'thr5': 29.108, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.5, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.5, 'cel5': 4.2, 'rot0': 34, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.22145472, 'lon': 127.667982632, 'time': 1074, 'x': 176.438, 'y': 0.0, 'z': 172.125, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 25.405, 'thr4': 30.053, 'thr5': 29.108, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.5, 'cel5': 4.2, 'rot0': 34, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 735}
{'lat': 26.221462817, 'lon': 127.667982632, 'time': 1439, 'x': 175.813, 'y': -0.938, 'z': 172.125, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 29.108, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 25.405, 'thr4': 30.053, 'thr5': 29.108, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 72, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1084}
{'lat': 26.221462817, 'lon': 127.667982632, 'time': 1439, 'x': 175.813, 'y': -0.938, 'z': 173.25, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 24.798, 'thr4': 30.053, 'thr5': 29.317, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 5.9, 'cel3': 5.2, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 72, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1084}
{'lat': 26.221462817, 'lon': 127.667982632, 'time': 1439, 'x': 175.813, 'y': -0.938, 'z': 173.25, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 24.798, 'thr4': 30.053, 'thr5': 29.317, 'cur0': 12.5, 'cur1': 0.3, 'cur2': 10.7, 'cel0': 10.5, 'cel1': 8.5, 'cel2': 6.8, 'cel3': 6.1, 'cel4': 5.6, 'cel5': 4.2, 'rot0': 72, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1084}
{'lat': 26.221462817, 'lon': 127.667982632, 'time': 1439, 'x': 175.813, 'y': -0.938, 'z': 173.25, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 24.798, 'thr4': 30.053, 'thr5': 29.317, 'cur0': 12.5, 'cur1': 0.3, 'cur2': 10.7, 'cel0': 10.5, 'cel1': 8.5, 'cel2': 6.8, 'cel3': 6.1, 'cel4': 5.6, 'cel5': 5.5, 'rot0': 269, 'rot1': 192, 'rot2': 237, 'rot3': 212, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1451}
{'lat': 26.221462817, 'lon': 127.667982632, 'time': 1816, 'x': 175.75, 'y': -0.938, 'z': 173.25, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 27.345, 'thr3': 24.798, 'thr4': 30.053, 'thr5': 29.317, 'cur0': 12.5, 'cur1': 0.3, 'cur2': 10.7, 'cel0': 10.5, 'cel1': 8.5, 'cel2': 6.8, 'cel3': 6.1, 'cel4': 5.6, 'cel5': 5.5, 'rot0': 269, 'rot1': 192, 'rot2': 237, 'rot3': 212, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1451}
{'lat': 26.221462817, 'lon': 127.667982632, 'time': 1816, 'x': 175.75, 'y': -1.313, 'z': 172.625, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 24.294, 'thr4': 29.947, 'thr5': 29.317, 'cur0': 12.5, 'cur1': 0.3, 'cur2': 10.7, 'cel0': 10.5, 'cel1': 8.5, 'cel2': 6.8, 'cel3': 6.1, 'cel4': 5.6, 'cel5': 5.5, 'rot0': 269, 'rot1': 192, 'rot2': 237, 'rot3': 212, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1451}
{'lat': 26.221462817, 'lon': 127.667982632, 'time': 1816, 'x': 175.75, 'y': -1.313, 'z': 172.625, 'watertmp': 25.5, 'depth': 0.4, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 24.294, 'thr4': 29.947, 'thr5': 28.067, 'cur0': 12.1, 'cur1': 0.2, 'cur2': 10.7, 'cel0': 10.5, 'cel1': 8.5, 'cel2': 6.8, 'cel3': 6.1, 'cel4': 5.6, 'cel5': 5.5, 'rot0': 269, 'rot1': 192, 'rot2': 237, 'rot3': 212, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1451}
