{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221485161, 'lon': 127.667880765}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1073, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1073, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 29.527, 'thr3': 25.811, 'thr4': 28.378, 'thr5': 27.654, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.3, 'cel2': 5.8}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1073, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 29.527, 'thr3': 25.811, 'thr4': 28.378, 'thr5': 27.654, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.3, 'cel2': 5.8, 'cel3': 5.1, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1438, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 25.913, 'thr4': 28.69, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.4, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1082}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1804, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 25.913, 'thr4': 28.69, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.4, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1804, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 25.913, 'thr4': 28.69, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.4, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1804, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 25.709, 'thr4': 28.171, 'thr5': 27.964, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.4, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1804, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 25.709, 'thr4': 28.171, 'thr5': 27.654, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.4, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1804, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 25.709, 'thr4': 28.171, 'thr5': 27.654, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 2.5, 'cel0': 11.1, 'cel1': 7.4, 'cel2': 5.8, 'cel3': 5.2, 'cel4': 4.4, 'cel5': 4.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1804, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 25.709, 'thr4': 28.171, 'thr5': 27.654, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 2.5, 'cel0': 11.1, 'cel1': 7.4, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.3, 'rot0': 29, 'rot1': 62, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 1804, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 25.709, 'thr4': 28.171, 'thr5': 27.654, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 2.5, 'cel0': 11.1, 'cel1': 7.4, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.3, 'rot0': 29, 'rot1': 62, 'rot2': 133, 'rot3': 161, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 2174, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 25.709, 'thr4': 28.171, 'thr5': 27.654, 'cur0': 3.0, 'cur1': 0.1, 'cur2': 2.5, 'cel0': 11.1, 'cel1': 7.4, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.3, 'rot0': 29, 'rot1': 62, 'rot2': 133, 'rot3': 161, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1815}
{'lat': 26.221485161, 'lon': 127.667880765, 'time': 2174, 'x': 287.938, 'y': -8.75, 'z': 173.5, 'watertmp': 25.5, 'depth': 0.2, 'thr0': 26.729, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 24.899, 'thr4': 27.757, 'thr5': 25.913, 'cur0': 2.7, 'cur1': 0.1, 'cur2': 2.5, 'cel0': 11.1, 'cel1': 7.4, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.6, 'cel5': 4.3, 'rot0': 29, 'rot1': 62, 'rot2': 133, 'rot3': 161, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1815}
