{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221450844, 'lon': 127.66796248}
{'lat': 26.22143959, 'lon': 127.667956365}
{'lat': 26.22143959, 'lon': 127.667956365, 'time': 6705, 'x': 209.125, 'y': -1.375}
{'lat': 26.22143959, 'lon': 127.667956365, 'time': 6705, 'x': 209.125, 'y': -1.375, 'z': 173.438, 'watertmp': 25.7, 'depth': 0.3}
{'lat': 26.22143959, 'lon': 127.667956365, 'time': 6705, 'x': 209.125, 'y': -1.375, 'z': 173.438, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 27.757, 'thr4': 27.242, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0}
{'lat': 26.22143959, 'lon': 127.667956365, 'time': 6705, 'x': 209.125, 'y': -1.375, 'z': 173.438, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 27.757, 'thr4': 27.242, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.0, 'cel2': 5.3, 'cel3': 4.8}
{'lat': 26.22143959, 'lon': 127.667956365, 'time': 6705, 'x': 209.125, 'y': -1.375, 'z': 173.438, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 27.757, 'thr4': 27.242, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.0, 'cel2': 5.3, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 26.22143959, 'lon': 127.667956365, 'time': 6705, 'x': 209.125, 'y': -1.375, 'z': 173.438, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 27.757, 'thr4': 27.242, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.0, 'cel2': 5.3, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.22143959, 'lon': 127.667956365, 'time': 7069, 'x': 209.125, 'y': -1.188, 'z': 173.438, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 26.934, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 28.378, 'thr4': 27.242, 'thr5': 27.757, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.0, 'cel2': 5.3, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.22143959, 'lon': 127.667956365, 'time': 7069, 'x': 209.125, 'y': -1.188, 'z': 173.438, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 26.934, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 28.378, 'thr4': 27.551, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.1, 'cel2': 5.4, 'cel3': 4.8, 'cel4': 4.1, 'cel5': 3.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.22143959, 'lon': 127.667956365, 'time': 7069, 'x': 209.125, 'y': -1.188, 'z': 173.438, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 26.934, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 28.378, 'thr4': 27.551, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.1, 'cel2': 5.4, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221437153, 'lon': 127.667964286, 'time': 7436, 'x': 209.188, 'y': -0.938, 'z': 173.063, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 26.934, 'thr1': -273.15, 'thr2': 29.422, 'thr3': 28.378, 'thr4': 27.551, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.1, 'cel2': 5.4, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7079}
{'lat': 26.221437153, 'lon': 127.667964286, 'time': 7436, 'x': 209.188, 'y': -0.938, 'z': 173.063, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 27.964, 'thr4': 27.242, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.1, 'cel2': 5.4, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7079}
{'lat': 26.221437153, 'lon': 127.667964286, 'time': 7436, 'x': 209.188, 'y': -0.938, 'z': 173.063, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 27.964, 'thr4': 27.242, 'thr5': 27.964, 'cur0': 9.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.1, 'cel2': 5.4, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7079}
{'lat': 26.221437153, 'lon': 127.667964286, 'time': 7436, 'x': 209.188, 'y': -0.938, 'z': 173.063, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 27.964, 'thr4': 27.242, 'thr5': 27.964, 'cur0': 9.0, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.9, 'cel1': 7.1, 'cel2': 5.4, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7079}
{'lat': 26.221437153, 'lon': 127.667964286, 'time': 7436, 'x': 209.188, 'y': -0.938, 'z': 173.063, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 27.964, 'thr4': 27.242, 'thr5': 27.964, 'cur0': 9.0, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.4, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 4.8, 'cel4': 4.2, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7079}
{'lat': 26.221437153, 'lon': 127.667964286, 'time': 7436, 'x': 209.188, 'y': -0.938, 'z': 173.063, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 27.964, 'thr4': 27.242, 'thr5': 27.964, 'cur0': 9.0, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.4, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.4, 'cel4': 4.9, 'cel5': 3.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7079}
{'lat': 26.221437153, 'lon': 127.667964286, 'time': 7436, 'x': 209.188, 'y': -0.938, 'z': 173.063, 'watertmp': 25.7, 'depth': 0.3, 'thr0': 26.525, 'thr1': -273.15, 'thr2': 29.108, 'thr3': 27.964, 'thr4': 27.242, 'thr5': 27.964, 'cur0': 9.0, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.4, 'cel1': 7.6, 'cel2': 6.0, 'cel3': 5.4, 'cel4': 4.9, 'cel5': 4.7, 'rot0': 62, 'rot1': 81, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7079}
