{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 205.625, 'y': -0.813}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 205.625, 'y': -0.813, 'z': 173.313, 'watertmp': 26.0, 'depth': 0.3}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 205.625, 'y': -0.813, 'z': 173.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 24.697}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 205.625, 'y': -0.813, 'z': 173.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 23.091}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 205.625, 'y': -0.813, 'z': 173.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 23.091, 'thr4': 23.291, 'thr5': 30.37, 'cur0': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 205.625, 'y': -0.813, 'z': 173.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 23.091, 'thr4': 23.291, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 205.625, 'y': -0.813, 'z': 173.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 23.091, 'thr4': 23.291, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.3, 'cel2': 5.7, 'cel3': 5.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1073, 'x': 205.625, 'y': -0.813, 'z': 173.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 23.091, 'thr4': 23.291, 'thr5': 30.37, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.3, 'cel2': 5.7, 'cel3': 5.0, 'cel4': 4.5, 'cel5': 4.1, 'rot0': 0, 'rot1': 0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1438, 'x': 205.5, 'y': -0.625, 'z': 173.563, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 23.091, 'thr4': 23.191, 'thr5': 30.053, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.9, 'cel1': 7.3, 'cel2': 5.7, 'cel3': 5.0, 'cel4': 4.5, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1447}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1804, 'x': 205.313, 'y': -0.563, 'z': 171.875, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 22.891, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 21.399, 'thr4': 23.191, 'thr5': 27.861, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.1, 'cel0': 10.5, 'cel1': 8.3, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.2, 'cel5': 5.0, 'rot0': 26, 'rot1': 66, 'rot2': 129, 'rot3': 137, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1815}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2546, 'x': 205.813, 'y': -0.375, 'z': 172.438, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 22.193, 'thr4': 23.191, 'thr5': 29.737, 'cur0': 8.9, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.1, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.7, 'rot0': 58, 'rot1': 102, 'rot2': 176, 'rot3': 453, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2557}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2918, 'x': 205.875, 'y': -1.125, 'z': 172.438, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.798, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 22.193, 'thr4': 23.191, 'thr5': 29.737, 'cur0': 8.9, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.1, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.7, 'rot0': 58, 'rot1': 102, 'rot2': 176, 'rot3': 453, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2557}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2918, 'x': 205.875, 'y': -1.125, 'z': 171.688, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 21.994, 'thr4': 23.291, 'thr5': 29.842, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.3, 'cel0': 10.1, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.7, 'rot0': 58, 'rot1': 102, 'rot2': 176, 'rot3': 453, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2557}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2918, 'x': 205.875, 'y': -1.125, 'z': 171.688, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 21.994, 'thr4': 23.291, 'thr5': 29.842, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.0, 'cel0': 10.0, 'cel1': 8.0, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 58, 'rot1': 102, 'rot2': 176, 'rot3': 453, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2557}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2918, 'x': 205.875, 'y': -1.125, 'z': 171.688, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 21.994, 'thr4': 23.291, 'thr5': 29.842, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.0, 'cel0': 10.0, 'cel1': 8.0, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 74, 'rot1': 119, 'rot2': 198, 'rot3': 618, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2557}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2918, 'x': 205.875, 'y': -1.125, 'z': 171.688, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 21.994, 'thr4': 23.291, 'thr5': 29.842, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.0, 'cel0': 10.0, 'cel1': 8.0, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 74, 'rot1': 119, 'rot2': 198, 'rot3': 618, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2929}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3290, 'x': 206.125, 'y': -1.0, 'z': 171.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 24.697, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 21.994, 'thr4': 23.291, 'thr5': 29.842, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.0, 'cel0': 10.0, 'cel1': 8.0, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 74, 'rot1': 119, 'rot2': 198, 'rot3': 618, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2929}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3290, 'x': 206.125, 'y': -1.0, 'z': 171.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 22.691, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 21.498, 'thr4': 23.191, 'thr5': 27.861, 'cur0': 8.8, 'cur1': 0.3, 'cur2': 7.0, 'cel0': 10.0, 'cel1': 8.0, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 74, 'rot1': 119, 'rot2': 198, 'rot3': 618, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2929}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3290, 'x': 206.125, 'y': -1.0, 'z': 171.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 22.691, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 21.498, 'thr4': 23.191, 'thr5': 27.861, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 7.1, 'cel0': 10.5, 'cel1': 8.4, 'cel2': 6.5, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 74, 'rot1': 119, 'rot2': 198, 'rot3': 618, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2929}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3290, 'x': 206.125, 'y': -1.0, 'z': 171.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 22.691, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 21.498, 'thr4': 23.191, 'thr5': 27.861, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 7.1, 'cel0': 10.5, 'cel1': 8.4, 'cel2': 6.5, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 91, 'rot1': 138, 'rot2': 224, 'rot3': 789, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2929}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 3290, 'x': 206.125, 'y': -1.0, 'z': 171.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 22.691, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 21.498, 'thr4': 23.191, 'thr5': 27.861, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 7.1, 'cel0': 10.5, 'cel1': 8.4, 'cel2': 6.5, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 91, 'rot1': 138, 'rot2': 224, 'rot3': 789, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3301}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 3663, 'x': 206.75, 'y': -1.0, 'z': 169.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 22.691, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 21.498, 'thr4': 23.191, 'thr5': 27.861, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 7.1, 'cel0': 10.5, 'cel1': 8.4, 'cel2': 6.5, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 91, 'rot1': 138, 'rot2': 224, 'rot3': 789, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3301}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 3663, 'x': 206.75, 'y': -1.0, 'z': 169.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 23.792, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 21.201, 'thr4': 23.191, 'thr5': 28.171, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 7.1, 'cel0': 10.5, 'cel1': 8.4, 'cel2': 6.5, 'cel3': 5.6, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 91, 'rot1': 138, 'rot2': 224, 'rot3': 789, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3301}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 3663, 'x': 206.75, 'y': -1.0, 'z': 169.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 23.792, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 21.201, 'thr4': 23.191, 'thr5': 28.171, 'cur0': 8.7, 'cur1': 0.4, 'cur2': 7.0, 'cel0': 9.7, 'cel1': 8.4, 'cel2': 6.6, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.8, 'rot0': 91, 'rot1': 138, 'rot2': 224, 'rot3': 789, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3301}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 3663, 'x': 206.75, 'y': -1.0, 'z': 169.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 23.792, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 21.201, 'thr4': 23.191, 'thr5': 28.171, 'cur0': 8.7, 'cur1': 0.4, 'cur2': 7.0, 'cel0': 9.7, 'cel1': 8.4, 'cel2': 6.6, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 110, 'rot1': 155, 'rot2': 243, 'rot3': 966, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3675}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 4035, 'x': 206.813, 'y': -1.563, 'z': 170.375, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.495, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 22.392, 'thr4': 22.891, 'thr5': 28.171, 'cur0': 8.7, 'cur1': 0.4, 'cur2': 7.0, 'cel0': 9.7, 'cel1': 8.4, 'cel2': 6.6, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 110, 'rot1': 155, 'rot2': 243, 'rot3': 966, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3675}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 4035, 'x': 206.813, 'y': -1.563, 'z': 170.375, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.495, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 22.392, 'thr4': 22.891, 'thr5': 30.053, 'cur0': 8.9, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 10.2, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.7, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 110, 'rot1': 155, 'rot2': 243, 'rot3': 966, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3675}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 4035, 'x': 206.813, 'y': -1.563, 'z': 170.375, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.495, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 22.392, 'thr4': 22.891, 'thr5': 30.053, 'cur0': 8.9, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 10.2, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 129, 'rot1': 172, 'rot2': 265, 'rot3': 1130, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4046}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 4409, 'x': 207.063, 'y': -1.188, 'z': 170.0, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 24.495, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 22.392, 'thr4': 22.891, 'thr5': 30.053, 'cur0': 8.9, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 10.2, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 129, 'rot1': 172, 'rot2': 265, 'rot3': 1130, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4046}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 4409, 'x': 207.063, 'y': -1.188, 'z': 170.0, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 22.891, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 21.498, 'thr4': 22.991, 'thr5': 28.586, 'cur0': 8.9, 'cur1': 0.3, 'cur2': 7.2, 'cel0': 10.2, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 129, 'rot1': 172, 'rot2': 265, 'rot3': 1130, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4046}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 4409, 'x': 207.063, 'y': -1.188, 'z': 170.0, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 22.891, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 21.498, 'thr4': 22.991, 'thr5': 28.586, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 6.9, 'cel0': 10.2, 'cel1': 7.9, 'cel2': 6.3, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 129, 'rot1': 172, 'rot2': 265, 'rot3': 1130, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4046}
{'lat': 26.221512729, 'lon': 127.667995274, 'time': 4409, 'x': 207.063, 'y': -1.188, 'z': 170.0, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 22.891, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 21.498, 'thr4': 22.991, 'thr5': 28.586, 'cur0': 8.6, 'cur1': 0.3, 'cur2': 6.9, 'cel0': 10.5, 'cel1': 8.4, 'cel2': 6.6, 'cel3': 5.5, 'cel4': 5.1, 'cel5': 4.6, 'rot0': 129, 'rot1': 172, 'rot2': 265, 'rot3': 1130, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4046}
