{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221439656, 'lon': 127.667966092}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1083, 'x': 188.813, 'y': 0.0, 'z': 172.313, 'watertmp': 25.9, 'depth': 0.3}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1083, 'x': 188.813, 'y': 0.0, 'z': 172.313, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 27.448}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1083, 'x': 188.813, 'y': 0.0, 'z': 172.313, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 26.627}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1083, 'x': 188.813, 'y': 0.0, 'z': 172.313, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 26.729, 'thr4': 27.139, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.7, 'cel1': 7.1, 'cel2': 5.6}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1083, 'x': 188.813, 'y': 0.0, 'z': 172.313, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 26.729, 'thr4': 27.139, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.7, 'cel1': 7.1, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1446, 'x': 189.625, 'y': -0.313, 'z': 172.313, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 27.448, 'thr1': -273.15, 'thr2': 26.627, 'thr3': 26.729, 'thr4': 27.139, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.7, 'cel1': 7.1, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1446, 'x': 189.625, 'y': -0.313, 'z': 172.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 26.729, 'thr3': 26.729, 'thr4': 27.139, 'thr5': 29.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.7, 'cel1': 7.1, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1446, 'x': 189.625, 'y': -0.313, 'z': 172.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 26.729, 'thr3': 27.242, 'thr4': 27.345, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.7, 'cel1': 7.1, 'cel2': 5.6, 'cel3': 5.0, 'cel4': 4.3, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1446, 'x': 189.625, 'y': -0.313, 'z': 172.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 26.729, 'thr3': 27.242, 'thr4': 27.345, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.7, 'cel1': 7.1, 'cel2': 5.7, 'cel3': 5.0, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1092}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1446, 'x': 189.625, 'y': -0.313, 'z': 172.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 26.729, 'thr3': 27.242, 'thr4': 27.345, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.7, 'cel1': 7.1, 'cel2': 5.7, 'cel3': 5.0, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1812, 'x': 189.563, 'y': -0.938, 'z': 172.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.654, 'thr1': -273.15, 'thr2': 26.729, 'thr3': 27.242, 'thr4': 27.345, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.7, 'cel1': 7.1, 'cel2': 5.7, 'cel3': 5.0, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1812, 'x': 189.563, 'y': -0.938, 'z': 173.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 27.242, 'thr4': 27.345, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.7, 'cel1': 7.1, 'cel2': 5.7, 'cel3': 5.0, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1812, 'x': 189.563, 'y': -0.938, 'z': 173.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.218, 'thr4': 27.654, 'thr5': 28.794, 'cur0': 8.5, 'cur1': 0.2, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 7.1, 'cel2': 5.7, 'cel3': 5.0, 'cel4': 4.4, 'cel5': 4.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1812, 'x': 189.563, 'y': -0.938, 'z': 173.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.218, 'thr4': 27.654, 'thr5': 28.794, 'cur0': 8.5, 'cur1': 0.2, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 8.2, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.0, 'cel5': 4.9, 'rot0': 19, 'rot1': 31, 'rot2': 115, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1457}
{'lat': 26.221442093, 'lon': 127.667958171, 'time': 1812, 'x': 189.563, 'y': -0.938, 'z': 173.0, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.218, 'thr4': 27.654, 'thr5': 28.794, 'cur0': 8.5, 'cur1': 0.2, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 8.2, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.0, 'cel5': 4.9, 'rot0': 19, 'rot1': 31, 'rot2': 115, 'rot3': 128, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221439656, 'lon': 127.667966092, 'time': 2183, 'x': 189.688, 'y': -1.125, 'z': 173.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 26.218, 'thr4': 27.654, 'thr5': 28.794, 'cur0': 8.5, 'cur1': 0.2, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 8.2, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.0, 'cel5': 4.9, 'rot0': 19, 'rot1': 31, 'rot2': 115, 'rot3': 128, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221439656, 'lon': 127.667966092, 'time': 2183, 'x': 189.688, 'y': -1.125, 'z': 173.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.014, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 24.395, 'thr4': 27.242, 'thr5': 27.345, 'cur0': 8.5, 'cur1': 0.3, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 8.2, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.0, 'cel5': 4.9, 'rot0': 19, 'rot1': 31, 'rot2': 115, 'rot3': 128, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221439656, 'lon': 127.667966092, 'time': 2183, 'x': 189.688, 'y': -1.125, 'z': 173.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.014, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 24.395, 'thr4': 27.242, 'thr5': 27.345, 'cur0': 8.5, 'cur1': 0.3, 'cur2': 6.8, 'cel0': 10.3, 'cel1': 8.2, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 34, 'rot1': 31, 'rot2': 115, 'rot3': 128, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1823}
{'lat': 26.221439656, 'lon': 127.667966092, 'time': 2183, 'x': 189.688, 'y': -1.125, 'z': 173.063, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.014, 'thr1': -273.15, 'thr2': 26.525, 'thr3': 24.395, 'thr4': 27.242, 'thr5': 27.345, 'cur0': 8.5, 'cur1': 0.3, 'cur2': 6.8, 'cel0': 10.3, 'cel1': 8.2, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 34, 'rot1': 47, 'rot2': 137, 'rot3': 276, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2194}
{'lat': 26.221439656, 'lon': 127.667966092, 'time': 2555, 'x': 190.563, 'y': -1.188, 'z': 172.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 25.709, 'thr4': 27.345, 'thr5': 27.345, 'cur0': 8.5, 'cur1': 0.3, 'cur2': 6.8, 'cel0': 10.3, 'cel1': 8.2, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 34, 'rot1': 47, 'rot2': 137, 'rot3': 276, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2194}
{'lat': 26.221439656, 'lon': 127.667966092, 'time': 2555, 'x': 190.563, 'y': -1.188, 'z': 172.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 25.709, 'thr4': 27.345, 'thr5': 28.794, 'cur0': 8.7, 'cur1': 0.3, 'cur2': 6.8, 'cel0': 10.3, 'cel1': 8.2, 'cel2': 6.5, 'cel3': 5.7, 'cel4': 5.0, 'cel5': 4.7, 'rot0': 34, 'rot1': 47, 'rot2': 137, 'rot3': 276, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2194}
{'lat': 26.221439656, 'lon': 127.667966092, 'time': 2555, 'x': 190.563, 'y': -1.188, 'z': 172.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 25.709, 'thr4': 27.345, 'thr5': 28.794, 'cur0': 8.7, 'cur1': 0.3, 'cur2': 6.9, 'cel0': 9.8, 'cel1': 8.1, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.0, 'cel5': 4.6, 'rot0': 51, 'rot1': 65, 'rot2': 159, 'rot3': 458, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2194}
{'lat': 26.221439656, 'lon': 127.667966092, 'time': 2926, 'x': 190.75, 'y': -1.25, 'z': 171.75, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 26.832, 'thr3': 25.709, 'thr4': 27.345, 'thr5': 28.794, 'cur0': 8.7, 'cur1': 0.3, 'cur2': 6.9, 'cel0': 9.8, 'cel1': 8.1, 'cel2': 6.4, 'cel3': 5.7, 'cel4': 5.0, 'cel5': 4.6, 'rot0': 51, 'rot1': 65, 'rot2': 159, 'rot3': 458, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 2567}
