{}
{'lat': 'n/a'}
{'lat': 26.221464733, 'lon': 127.667989856}
{'lat': 26.22146717, 'lon': 127.667989856}
{'lat': 26.22146717, 'lon': 127.667981935}
{'lat': 26.22146717, 'lon': 127.667981935, 'time': 1082, 'x': 244.063, 'y': -3.688, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.3}
{'lat': 26.22146717, 'lon': 127.667981935, 'time': 1082, 'x': 244.063, 'y': -3.688, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 29.527}
{'lat': 26.22146717, 'lon': 127.667981935, 'time': 1082, 'x': 244.063, 'y': -3.688, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 29.527, 'thr4': 27.861, 'thr5': 28.171, 'cur0': 0.0}
{'lat': 26.22146717, 'lon': 127.667981935, 'time': 1082, 'x': 244.063, 'y': -3.688, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 29.527, 'thr4': 27.861, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 26.22146717, 'lon': 127.667981935, 'time': 1082, 'x': 244.063, 'y': -3.688, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 29.527, 'thr4': 27.861, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7}
{'lat': 26.22146717, 'lon': 127.667981935, 'time': 1082, 'x': 244.063, 'y': -3.688, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 29.527, 'thr4': 27.861, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0}
{'lat': 26.22146717, 'lon': 127.667981935, 'time': 1082, 'x': 244.063, 'y': -3.688, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 29.527, 'thr4': 27.861, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221464014, 'lon': 127.667975819, 'time': 1082, 'x': 244.063, 'y': -3.688, 'z': 174.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 29.527, 'thr4': 27.861, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221464014, 'lon': 127.667975819, 'time': 1445, 'x': 244.125, 'y': -1.438, 'z': 173.688, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.242, 'thr1': -273.15, 'thr2': 27.654, 'thr3': 29.527, 'thr4': 27.861, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221464014, 'lon': 127.667975819, 'time': 1445, 'x': 244.125, 'y': -1.438, 'z': 173.688, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.108, 'thr4': 27.861, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221464014, 'lon': 127.667975819, 'time': 1445, 'x': 244.125, 'y': -1.438, 'z': 173.688, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.108, 'thr4': 27.757, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221464014, 'lon': 127.667975819, 'time': 1445, 'x': 244.125, 'y': -1.438, 'z': 173.688, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.108, 'thr4': 27.757, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221464014, 'lon': 127.667975819, 'time': 1445, 'x': 244.125, 'y': -1.438, 'z': 173.688, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.108, 'thr4': 27.757, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221472111, 'lon': 127.667975819, 'time': 1445, 'x': 244.125, 'y': -1.438, 'z': 173.688, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.108, 'thr4': 27.757, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221472111, 'lon': 127.667975819, 'time': 1809, 'x': 244.125, 'y': -1.438, 'z': 173.688, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.108, 'thr4': 27.757, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221472111, 'lon': 127.667975819, 'time': 1809, 'x': 244.063, 'y': 0.813, 'z': 173.688, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.345, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.108, 'thr4': 27.757, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
{'lat': 26.221472111, 'lon': 127.667975819, 'time': 1809, 'x': 244.063, 'y': 0.813, 'z': 173.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.037, 'thr1': -273.15, 'thr2': 27.448, 'thr3': 29.108, 'thr4': 27.757, 'thr5': 27.861, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1456}
