{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221458354, 'lon': 127.667967898}
{'lat': 26.221450257, 'lon': 127.667967898}
{'lat': 26.221452694, 'lon': 127.667959977}
{'lat': 26.221449537, 'lon': 127.667953862}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12348}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12348, 'x': 176.75, 'y': 0.0, 'z': 172.375, 'watertmp': 25.8, 'depth': 0.3}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12348, 'x': 176.75, 'y': 0.0, 'z': 172.375, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 27.757}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12348, 'x': 176.75, 'y': 0.0, 'z': 172.375, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 27.757, 'thr4': 28.69, 'thr5': 30.053, 'cur0': 0.0}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12348, 'x': 176.75, 'y': 0.0, 'z': 172.375, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 27.757, 'thr4': 28.69, 'thr5': 30.053, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.6}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12348, 'x': 176.75, 'y': 0.0, 'z': 172.375, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 27.757, 'thr4': 28.69, 'thr5': 30.053, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.6, 'cel1': 6.8, 'cel2': 5.1, 'cel3': 4.6, 'cel4': 4.0}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12348, 'x': 176.75, 'y': 0.0, 'z': 172.375, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 27.757, 'thr4': 28.69, 'thr5': 30.053, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.6, 'cel1': 6.8, 'cel2': 5.1, 'cel3': 4.6, 'cel4': 4.0, 'cel5': 3.7, 'rot0': 0, 'rot1': 0}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12348, 'x': 176.75, 'y': 0.0, 'z': 172.375, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 27.757, 'thr4': 28.69, 'thr5': 30.053, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.6, 'cel1': 6.8, 'cel2': 5.1, 'cel3': 4.6, 'cel4': 4.0, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12715, 'x': 177.375, 'y': -0.75, 'z': 172.375, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 27.757, 'thr4': 28.69, 'thr5': 30.053, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.6, 'cel1': 6.8, 'cel2': 5.1, 'cel3': 4.6, 'cel4': 4.0, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12357}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12715, 'x': 177.375, 'y': -0.75, 'z': 172.938, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 28.171, 'thr4': 29.108, 'thr5': 30.053, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.6, 'cel1': 6.8, 'cel2': 5.1, 'cel3': 4.6, 'cel4': 4.0, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12357}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12715, 'x': 177.375, 'y': -0.75, 'z': 172.938, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 28.171, 'thr4': 29.108, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.6, 'cel1': 6.9, 'cel2': 5.3, 'cel3': 4.7, 'cel4': 4.0, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12357}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 12715, 'x': 177.375, 'y': -0.75, 'z': 172.938, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.794, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 28.171, 'thr4': 29.108, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 10.6, 'cel1': 6.9, 'cel2': 5.3, 'cel3': 4.7, 'cel4': 4.1, 'cel5': 3.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12724}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 13081, 'x': 178.0, 'y': -1.438, 'z': 173.5, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 28.378, 'thr1': -273.15, 'thr2': 27.242, 'thr3': 26.832, 'thr4': 28.899, 'thr5': 29.108, 'cur0': 8.5, 'cur1': 0.3, 'cur2': 6.9, 'cel0': 9.7, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.5, 'rot0': 80, 'rot1': 64, 'rot2': 17, 'rot3': 118, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 13092}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 13452, 'x': 178.688, 'y': -1.375, 'z': 173.563, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.422, 'thr1': -273.15, 'thr2': 27.037, 'thr3': 27.448, 'thr4': 28.899, 'thr5': 29.108, 'cur0': 8.5, 'cur1': 0.3, 'cur2': 6.9, 'cel0': 9.7, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.5, 'rot0': 80, 'rot1': 64, 'rot2': 17, 'rot3': 118, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 13092}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 13452, 'x': 178.688, 'y': -1.375, 'z': 173.563, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.422, 'thr1': -273.15, 'thr2': 27.037, 'thr3': 27.448, 'thr4': 28.482, 'thr5': 28.794, 'cur0': 8.3, 'cur1': 0.3, 'cur2': 6.9, 'cel0': 9.7, 'cel1': 7.7, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.5, 'rot0': 80, 'rot1': 64, 'rot2': 17, 'rot3': 118, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 13092}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 13452, 'x': 178.688, 'y': -1.375, 'z': 173.563, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.422, 'thr1': -273.15, 'thr2': 27.037, 'thr3': 27.448, 'thr4': 28.482, 'thr5': 28.794, 'cur0': 8.3, 'cur1': 0.1, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 8.0, 'cel2': 6.0, 'cel3': 5.3, 'cel4': 4.8, 'cel5': 4.5, 'rot0': 80, 'rot1': 64, 'rot2': 17, 'rot3': 118, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 13092}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 13452, 'x': 178.688, 'y': -1.375, 'z': 173.563, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.422, 'thr1': -273.15, 'thr2': 27.037, 'thr3': 27.448, 'thr4': 28.482, 'thr5': 28.794, 'cur0': 8.3, 'cur1': 0.1, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 8.0, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.5, 'rot0': 80, 'rot1': 64, 'rot2': 17, 'rot3': 118, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 13092}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 13452, 'x': 178.688, 'y': -1.375, 'z': 173.563, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.422, 'thr1': -273.15, 'thr2': 27.037, 'thr3': 27.448, 'thr4': 28.482, 'thr5': 28.794, 'cur0': 8.3, 'cur1': 0.1, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 8.0, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.6, 'rot0': 94, 'rot1': 80, 'rot2': 17, 'rot3': 118, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 13092}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 13452, 'x': 178.688, 'y': -1.375, 'z': 173.563, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.422, 'thr1': -273.15, 'thr2': 27.037, 'thr3': 27.448, 'thr4': 28.482, 'thr5': 28.794, 'cur0': 8.3, 'cur1': 0.1, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 8.0, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.6, 'rot0': 94, 'rot1': 80, 'rot2': 38, 'rot3': 284, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 13092}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 13826, 'x': 179.688, 'y': -0.938, 'z': 173.125, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 27.448, 'thr4': 28.482, 'thr5': 28.794, 'cur0': 8.3, 'cur1': 0.1, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 8.0, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.6, 'rot0': 94, 'rot1': 80, 'rot2': 38, 'rot3': 284, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 13463}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 13826, 'x': 179.688, 'y': -0.938, 'z': 173.125, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 28.067, 'thr4': 29.737, 'thr5': 30.582, 'cur0': 8.3, 'cur1': 0.1, 'cur2': 6.9, 'cel0': 10.4, 'cel1': 8.0, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.6, 'rot0': 94, 'rot1': 80, 'rot2': 38, 'rot3': 284, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 13463}
{'lat': 26.221449537, 'lon': 127.667953862, 'time': 13826, 'x': 179.688, 'y': -0.938, 'z': 173.125, 'watertmp': 25.8, 'depth': 0.3, 'thr0': 26.32, 'thr1': -273.15, 'thr2': 26.934, 'thr3': 28.067, 'thr4': 29.737, 'thr5': 30.582, 'cur0': 8.3, 'cur1': 0.1, 'cur2': 7.2, 'cel0': 10.4, 'cel1': 8.1, 'cel2': 6.2, 'cel3': 5.4, 'cel4': 4.7, 'cel5': 4.5, 'rot0': 112, 'rot1': 97, 'rot2': 38, 'rot3': 284, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 13463}
