{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221466517, 'lon': 127.667977626}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 6704, 'x': 235.563}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 6704, 'x': 235.563, 'y': -1.875, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 6704, 'x': 235.563, 'y': -1.875, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 31.327, 'thr4': 28.067, 'thr5': 28.171, 'cur0': 0.0}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 6704, 'x': 235.563, 'y': -1.875, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 31.327, 'thr4': 28.067, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 6704, 'x': 235.563, 'y': -1.875, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 31.327, 'thr4': 28.067, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 6704, 'x': 235.563, 'y': -1.875, 'z': 173.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 31.327, 'thr4': 28.067, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 7068, 'x': 236.438, 'y': -0.563, 'z': 175.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 29.842, 'thr3': 31.327, 'thr4': 28.067, 'thr5': 28.171, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 7068, 'x': 236.438, 'y': -0.563, 'z': 175.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.053, 'thr3': 31.434, 'thr4': 28.067, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.4, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 7068, 'x': 236.438, 'y': -0.563, 'z': 175.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.053, 'thr3': 31.434, 'thr4': 28.067, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 6714}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 7432, 'x': 237.375, 'y': -0.875, 'z': 175.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.053, 'thr3': 31.434, 'thr4': 28.067, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 7432, 'x': 237.375, 'y': -0.875, 'z': 175.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 31.541, 'thr4': 28.067, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 7432, 'x': 237.375, 'y': -0.875, 'z': 175.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 31.541, 'thr4': 28.171, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 1.2, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7078}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 7432, 'x': 237.375, 'y': -0.875, 'z': 175.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 31.541, 'thr4': 28.171, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 1.2, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7442}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 7797, 'x': 238.0, 'y': -1.25, 'z': 175.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 30.158, 'thr3': 31.541, 'thr4': 28.171, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 1.2, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7442}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 7797, 'x': 238.0, 'y': -1.25, 'z': 175.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 29.947, 'thr3': 31.327, 'thr4': 28.171, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 1.2, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7442}
{'lat': 26.221466517, 'lon': 127.667977626, 'time': 7797, 'x': 238.0, 'y': -1.25, 'z': 175.313, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 29.947, 'thr3': 31.327, 'thr4': 28.275, 'thr5': 28.378, 'cur0': 0.0, 'cur1': 1.6, 'cur2': 0.1, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 7442}
