{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221423594, 'lon': 127.667985547}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1081, 'x': 201.25, 'y': -0.125, 'z': 172.625, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 32.512, 'thr3': 31.114, 'thr4': 26.116}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1081, 'x': 201.25, 'y': -0.125, 'z': 172.625, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 32.512, 'thr3': 31.114, 'thr4': 26.116, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1081, 'x': 201.25, 'y': -0.125, 'z': 172.625, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 32.512, 'thr3': 31.114, 'thr4': 26.116, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1081, 'x': 201.25, 'y': -0.125, 'z': 172.625, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 32.512, 'thr3': 31.114, 'thr4': 26.116, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1081, 'x': 201.25, 'y': -0.125, 'z': 172.625, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 32.512, 'thr3': 31.114, 'thr4': 26.116, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1445, 'x': 201.688, 'y': -0.625, 'z': 172.625, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.116, 'thr1': -273.15, 'thr2': 32.512, 'thr3': 31.114, 'thr4': 26.116, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1445, 'x': 201.688, 'y': -0.625, 'z': 172.938, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 32.512, 'thr3': 31.114, 'thr4': 26.116, 'thr5': 27.037, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.1, 'cel3': 2.7, 'cel4': 2.9, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1445, 'x': 201.688, 'y': -0.625, 'z': 172.938, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 31.22, 'thr4': 26.014, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1091}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1809, 'x': 202.188, 'y': -2.688, 'z': 174.625, 'watertmp': 25.9, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 31.22, 'thr4': 26.014, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1455}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1809, 'x': 202.188, 'y': -2.688, 'z': 174.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 32.729, 'thr3': 31.22, 'thr4': 26.014, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1455}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1809, 'x': 202.188, 'y': -2.688, 'z': 174.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 31.327, 'thr4': 26.014, 'thr5': 26.934, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1455}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1809, 'x': 202.188, 'y': -2.688, 'z': 174.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 31.327, 'thr4': 26.32, 'thr5': 27.242, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1455}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 1809, 'x': 202.188, 'y': -2.688, 'z': 174.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 31.327, 'thr4': 26.32, 'thr5': 27.242, 'cur0': 0.0, 'cur1': 1.5, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 2174, 'x': 202.375, 'y': -4.0, 'z': 174.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 25.913, 'thr1': -273.15, 'thr2': 32.403, 'thr3': 31.327, 'thr4': 26.32, 'thr5': 27.242, 'cur0': 0.0, 'cur1': 1.5, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
{'lat': 26.221423594, 'lon': 127.667985547, 'time': 2174, 'x': 202.375, 'y': -4.0, 'z': 174.938, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 26.218, 'thr1': -273.15, 'thr2': 32.62, 'thr3': 31.327, 'thr4': 26.116, 'thr5': 26.832, 'cur0': 0.1, 'cur1': 1.5, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.3, 'cel2': 2.0, 'cel3': 2.7, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1819}
